player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-10-20,14:33:56,NA,NA,NA,NA,Undefined,BAY_BEA,"Atkinson, Charlie",830342,Right,BAY_BEA,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,81.28971,-1.525076,-0.953066,2855.948516,188.453789,12:15:00,4.8903,0.71671,14.081,-11.50946,18.73229,2.64162,2.73261,0.18802,74.2838,-4.153272,-0.392867,0.395799,101.81373,-3.998982,-11.784743,NA,NA,NA,NA,36.59221,35.12371,-11.482366,0.237872,-2.18925,14.17556,-0.77558,50,4.97439,2.04307,-119.74305,-2.71954,-3.12787,26.56498,-11.92088,BAY_BEA,NA,Baylor,NA,NA,20251020-Baylor-BP-5,b8c58e80-adeb-11f0-bac0-218bf050c755,95.23124,3.01493,NA,7.00591,NA,NA,NA,2.19969,3.01493,-0.13002,a214dc91-73e6-433f-9d00-9360fdd7add5,2025-10-20,19:33:56,2025-10-20T19:33:56Z,2025-10-20T19:33:56Z,GroundBall,v3,3033,NA,NA,NA,NA,Undefined,BAY_BEA,a86a161d-8c61-4b50-b244-b1108753a2d5,46.42288,-118.94682,13.28249,4.88753,-3.07685,-5.96044,-0.71575,1.94932,-1.56393,154.878587,2.20158,145.71795,-17.77644,NA,NA,NA,NA,NA,NA,3.01485,-10.40965,-9.51949,NA,NA,NA,NA,NA,NA,-0.13008,-30.42016,1.44882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-10-20,14:34:04,NA,NA,NA,NA,Undefined,BAY_BEA,"Atkinson, Charlie",830342,Right,BAY_BEA,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,80.9108,-1.489531,-1.573939,3142.093751,182.070995,12:00:00,4.8864,0.73105,14.10737,-11.67674,18.6204,0.64095,2.74312,-0.45163,74.43908,-4.139862,-1.438004,0.396161,93.2786,11.13764,27.338978,2803.659774,93.87026,13.4426,57.34358,193.38116,193.38116,34.950252,1.793707,-0.93173,14.07489,-0.8298,50,4.96928,3.28684,-119.13799,-2.63088,-1.32857,24.58316,-12.10495,BAY_BEA,NA,Baylor,NA,NA,20251020-Baylor-BP-5,bd76ba80-adeb-11f0-bac0-218bf050c755,95.14417,13.57307,NA,6.47172,NA,NA,NA,1.29573,2.71595,0.38289,a214dc91-73e6-433f-9d00-9360fdd7add5,2025-10-20,19:34:04,2025-10-20T19:34:04Z,2025-10-20T19:34:04Z,LineDrive,v3,3033,NA,NA,NA,NA,Undefined,BAY_BEA,fb376815-c5ba-4b76-8fef-46e94c19fba8,46.39732,-118.39227,12.29158,4.8839,-2.99807,-6.05247,-0.73071,3.24654,-0.66428,247.390943,1.29573,119.23918,-25.89251,6.54137,-1.58281,0.47885,-0.18518,0.05706,-0.00806,2.71596,26.42581,-16.46975,0.35875,0.30997,-0.34656,0.23767,-0.0892,0.01346,0.38289,61.64674,-0.55688,0.50858,-0.23775,0.13301,-0.07521,0.02678,-0.00396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-10-20,14:34:16,NA,NA,NA,NA,Undefined,BAY_BEA,"Atkinson, Charlie",830342,Right,BAY_BEA,Undefined,1,Bottom,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,NA,80.70708,-1.688973,-1.289501,3319.553123,190.31367,12:15:00,4.8894,0.735,14.13872,-10.32603,21.12434,3.61406,2.70299,0.02424,71.80766,-4.136422,-0.52229,0.403631,87.939940000000007,35.882072,8.838743,3758.788113,107.82470000000001,62.17517,21.76754,323.72123,215.08734,17.821681,4.460653,-3.09862,16.11639,-0.81531,50,4.98279,2.73475,-118.96455,-3.02636,-4.23001,32.87984,-10.17317,BAY_BEA,NA,Baylor,NA,NA,20251020-Baylor-BP-5,c512f880-adeb-11f0-bac0-218bf050c755,93.38343,75.61384,NA,8.89942,NA,NA,NA,3.0104,1.50381,-0.86623000000000006,a214dc91-73e6-433f-9d00-9360fdd7add5,2025-10-20,19:34:16,2025-10-20T19:34:16Z,2025-10-20T19:34:16Z,FlyBall,v3,3033,NA,NA,NA,NA,Undefined,BAY_BEA,2addb260-cfb2-4e9a-87ef-880fe49a882e,46.36173,-117.95471,16.43992,4.88504,-3.33881,-5.08658,-0.73331,2.60483,-2.11501,234.17183,3.011,103.25062,-15.03481,3.24183,-0.73519,0.18722,-0.04752,0.00763,-5e-4,1.50436,75.58004,-22.54244,2.13855,-0.24803,-0.04395,0.02749,-0.00462,2.7e-4,-0.86608,16.05418,3.87077,-1.31624,0.35937,-0.07808,0.01257,-0.00119,4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-10-20,14:34:23,NA,NA,NA,NA,Undefined,BAY_BEA,"Atkinson, Charlie",830342,Right,BAY_BEA,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,79.60114,-1.200602,-0.493162,3085.298441,185.937616,12:15:00,4.88254,0.7058,14.0992,-11.68745,20.42056,1.99835,2.96558,0.48504,71.381,-3.923364,-0.069175,0.407829,90.46911,35.793745,6.755078,4099.924574,108.05797,70.74712,20.57695,334.38812,334.38812,18.173198,4.896774,-1.60685,15.36308,-0.73602,50,4.94476,1.04236,-117.34458,-1.96412,-2.15471,30.11311,-11.57289,BAY_BEA,NA,Baylor,NA,NA,20251020-Baylor-BP-5,c908c3c0-adeb-11f0-bac0-218bf050c755,92.42216,88.38961,NA,8.22014,NA,NA,NA,2.41803,3.10577,-0.48021,a214dc91-73e6-433f-9d00-9360fdd7add5,2025-10-20,19:34:23,2025-10-20T19:34:23Z,2025-10-20T19:34:23Z,FlyBall,v3,3033,NA,NA,NA,NA,Undefined,BAY_BEA,f6560ca8-4c7c-4dac-bc53-81ce6881cf33,46.40208,-116.41762,15.05656,4.87882,-2.32037,-5.78645,-0.70495,0.97603,-1.07736,209.017339,2.4216,106.80344,-23.52329,6.45869,-1.22597,0.15082,-0.01121,6.9e-4,-4e-5,3.10576,77.59757,-19.28006,0.33628,0.5034,-0.26004,0.068,-0.00906,4.7e-4,-0.48094,12.67537,4.90883,-1.37177,0.26536,-0.03349,0.00253,-1.4e-4,1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-10-20,14:34:30,NA,NA,NA,NA,Undefined,BAY_BEA,"Atkinson, Charlie",830342,Right,BAY_BEA,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,81.50563,-2.015518,-1.231644,2923.319674,181.327309,12:00:00,4.88819,0.73377,13.99919,-11.29296,19.66391,0.42736,2.35979,-0.20013,72.75707,-4.645966,-1.141198,0.400451,97.07246,-12.334388,-4.761502,NA,NA,NA,NA,11.47625,10.52641,-3.59543,0.072071,-0.8063,15.1195,-0.80862,50,4.99892,2.5881,-120.07672,-3.75061,-1.12523,32.78962,-11.07359,BAY_BEA,NA,Baylor,NA,NA,20251020-Baylor-BP-5,cd0a9cf0-adeb-11f0-bac0-218bf050c755,94.12487,2.19514,NA,8.74856,NA,NA,NA,1.44944,2.19514,0.11362,a214dc91-73e6-433f-9d00-9360fdd7add5,2025-10-20,19:34:30,2025-10-20T19:34:30Z,2025-10-20T19:34:30Z,GroundBall,v3,3033,NA,NA,NA,NA,Undefined,BAY_BEA,6300d0a7-9bf0-4d03-ab6d-0c6dd480ee32,46.50174,-119.11761,16.39481,4.88447,-4.07451,-5.53679,-0.7334,2.55519,-0.56261,180,1.44706,138.81147,NA,NA,NA,NA,NA,NA,NA,2.19566,-30.4582,NA,NA,NA,NA,NA,NA,NA,0.11382,-11.56241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-10-20,14:34:38,NA,NA,NA,NA,Undefined,BAY_BEA,"Atkinson, Charlie",830342,Right,BAY_BEA,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,82.23698,-1.658435,-1.476976,2922.060271,189.715156,12:15:00,4.88452,0.74135,14.02458,-10.27997,19.98237,3.22303,2.72253,-0.15212,73.60263,-4.067662,-0.794562,0.395934,100.53755,12.284227,-7.650005,4556.050888,109.11887,20.66124,-13.8949,285.76935,285.76935,-7.15518,2.672444,-2.86252,15.17997,-0.83085,50,4.97418,3.17565,-121.16578,-3.04932,-4.08435,32.52951,-10.51475,BAY_BEA,NA,Baylor,NA,NA,20251020-Baylor-BP-5,d251a050-adeb-11f0-bac0-218bf050c755,95.19882,22.96859,NA,8.63435,NA,NA,NA,1.84271,2.82755,0.13059,a214dc91-73e6-433f-9d00-9360fdd7add5,2025-10-20,19:34:38,2025-10-20T19:34:38Z,2025-10-20T19:34:38Z,LineDrive,v3,3033,NA,NA,NA,NA,Undefined,BAY_BEA,705e25e3-f9db-4839-b2cc-ea416bb0a620,46.47685,-120.21619,16.26476,4.88069,-3.35626,-5.25738,-0.73989,3.05642,-2.04218,184.673294,1.84272,142.79594,-22.94221,5.24055,-1.08861,0.21545,-0.03797,0.00482,-3e-4,2.82755,31.37279,-12.00012,-0.39642,0.26432,-0.0943,0.02568,-0.00439,3.4e-4,0.13059,-19.17988,3.82767,-1.02252,0.24517,-0.05561,0.01116,-0.00162,1.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-10-20,14:35:09,NA,NA,NA,NA,Undefined,BAY_BEA,"Atkinson, Charlie",830342,Right,BAY_BEA,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,81.26519,-1.565581,-1.027028,2923.851373,174.778924,11:45:00,4.87014,0.73233,14.04265,-13.27965,17.21127,-1.47961,2.532,-0.1986,73.89572,-4.576377,-1.34053,0.397427,42.76127,-55.97825,-44.078281,NA,NA,NA,NA,3.51927,3.51927,-17.061055,0.049264,0.69504,13.1165,-0.79603,50,4.95591,2.11935,-119.70981,-2.77042,0.98573,27.99256,-13.5721,BAY_BEA,NA,Baylor,NA,NA,20251020-Baylor-BP-5,e496c010-adeb-11f0-bac0-218bf050c755,94.84126,2.58715,NA,7.36948,NA,NA,NA,2.10973,2.58715,0.18241,a214dc91-73e6-433f-9d00-9360fdd7add5,2025-10-20,19:35:09,2025-10-20T19:35:09Z,2025-10-20T19:35:09Z,GroundBall,v3,3033,NA,NA,NA,NA,Undefined,BAY_BEA,cd882e75-ea1d-4cfe-a94b-c92e3a42b296,46.46041,-118.87924,13.99628,4.86773,-3.17312,-6.78605,-0.73271,2.14859,0.49287,NA,2.10767,25.46804,NA,NA,NA,NA,NA,NA,NA,2.59139,-52.51606,NA,NA,NA,NA,NA,NA,NA,0.1844,-24.66153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-10-20,14:35:15,NA,NA,NA,NA,Undefined,BAY_BEA,"Atkinson, Charlie",830342,Right,BAY_BEA,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,79.80585,-1.391908,-1.382703,3184.464647,186.831973,12:15:00,4.88939,0.74616,14.05145,-12.20457,19.27103,2.18736,2.77759,-0.15876,72.81628,-4.176583,-0.919275,0.403793,54.81035,-49.004394,-47.013138,NA,NA,NA,NA,3.81086,3.51593,-25.742302,0.050441,-2.01039,14.51926,-0.83116,50,4.96413,2.87758,-117.54241,-2.3764,-2.76255,25.97963,-12.22271,BAY_BEA,NA,Baylor,NA,NA,20251020-Baylor-BP-5,e7cd0be0-adeb-11f0-bac0-218bf050c755,93.34603,3.08324,NA,6.98957,NA,NA,NA,1.60548,3.08324,0.30515,a214dc91-73e6-433f-9d00-9360fdd7add5,2025-10-20,19:35:15,2025-10-20T19:35:15Z,2025-10-20T19:35:15Z,GroundBall,v3,3033,NA,NA,NA,NA,Undefined,BAY_BEA,70a240a5-69a2-408c-9ce0-b4777e1ad9ed,46.45216,-116.75562,12.98982,4.88656,-2.74657,-6.11136,-0.74528,2.79392,-1.38128,NA,1.60331,36.22361,NA,NA,NA,NA,NA,NA,NA,3.0869,-61.12508,NA,NA,NA,NA,NA,NA,NA,0.30748,-38.86293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2025-10-20,14:35:20,NA,NA,NA,NA,Undefined,BAY_BEA,"Atkinson, Charlie",830342,Right,BAY_BEA,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,79.9587,-1.296897,-0.976344,3093.653517,181.465832,12:00:00,4.8493,0.7524,14.18613,-12.33509,18.96261,0.45839,2.80457,0.02529,72.64047,-4.12642,-0.878912,0.40265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.66327,14.33938,-0.81492,50,4.92009,2.01636,-117.82253,-2.1591,-0.91087,27.20031,-12.48201,BAY_BEA,NA,Baylor,NA,NA,20251020-Baylor-BP-5,eb227870-adeb-11f0-bac0-218bf050c755,93.61098,NA,NA,7.31823,NA,NA,NA,NA,NA,NA,a214dc91-73e6-433f-9d00-9360fdd7add5,2025-10-20,19:35:20,2025-10-20T19:35:20Z,2025-10-20T19:35:20Z,NA,v3,3033,NA,NA,NA,NA,Undefined,BAY_BEA,ed2f73d7-d884-4c17-a7d7-2ffaffb7d867,46.31634,-116.96904,13.60016,4.8462,-2.55076,-6.241,-0.7521,1.98779,-0.45544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2025-10-20,14:35:26,NA,NA,NA,NA,Undefined,BAY_BEA,"Atkinson, Charlie",830342,Right,BAY_BEA,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,78.79673,-1.275552,-0.935183,3051.812643,175.400656,11:45:00,4.88156,0.72015,14.10579,-13.00603,19.34631,-1.46882,2.79588,-0.1366,71.58492,-4.248737,-1.2468,0.409378,86.99167,11.424802,-2.432713,1787.910041,109.9381,15.08453,-3.6886,208.44078,208.44078,-1.268826,2.099728,0.71795,14.5841,-0.77923,50,4.94942,1.86914,-116.09976,-2.07662,0.957,26.48117,-12.73429,BAY_BEA,NA,Baylor,NA,NA,20251020-Baylor-BP-5,ee5e6990-adeb-11f0-bac0-218bf050c755,92.07253,15.08444,NA,7.21181,NA,NA,NA,1.06539,2.82825,0.1397,a214dc91-73e6-433f-9d00-9360fdd7add5,2025-10-20,19:35:26,2025-10-20T19:35:26Z,2025-10-20T19:35:26Z,LineDrive,v3,3033,NA,NA,NA,NA,Undefined,BAY_BEA,ede16425-faa9-4814-b2f9-9ad4216e3a4d,46.39688,-115.275,13.24058,4.87856,-2.47323,-6.36715,-0.72055,1.89895,0.4785,185.078713,1.06542,124.94452,-17.95173,3.64047,-0.61831,0.06501,-0.00424,0.00146,-3e-4,2.82821,25.27583,-13.33007,0.36876,-0.12561,0.08475,-0.02429,0.00292,-1e-5,0.13973,-5.31061,1.35994,0.12537,-0.00731,-0.03757,0.01432,-0.00165,-4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
