player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-02-14,16:02:45,1,1,"Murphy, Tyler",804805,Right,FAU_OWL,"Berkland, Drew",804994,Right,NOT_IRI,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,91.11192,-1.191738,-3.739155,2125.414583,236.021949,01:45:00,5.5924,1.89035,4.73895,-21.96604,14.42816,19.12505,2.62881,-0.06799,80.5783,-5.301917,-0.386779,0.434198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.62591,7.90902,-1.53113,50,5.4539,7.59614,-131.33182,-3.56215,-17.99145,35.73038,-18.78275,FAU_OWL,NOT_IRI,FAUBaseballStadium,D1,AMER,20260214-FAUBaseballStadium-2,83faa420-09e8-11f1-9027-e158a06f9123,86.8094,NA,NA,10.53362,NA,NA,NA,NA,NA,NA,d97af04a-649f-46a2-92f3-ae909fa1883e,2026-02-14,21:02:45,2026-02-14T21:02:45Z,2026-02-14T21:02:45Z,NA,v3,339,225,NA,"Gramesty, TJ",813124,Right,FAU_OWL,aece04dc-41d5-4467-b907-ea9d17abfbcc,55.75418,-132.88809,17.86519,5.59124,-2.74404,-9.39137,-1.87905,8.37977,-8.99572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-02-14,16:02:58,1,2,"Murphy, Tyler",804805,Right,FAU_OWL,"Berkland, Drew",804994,Right,NOT_IRI,Undefined,1,Top,0,0,1,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,NA,91.47244,-0.688805,-2.986079,2176.281895,236.337554,02:00:00,5.57582,1.78289,4.68614,-23.291,12.87284,17.03202,2.97993,0.36424,80.82657,-5.029489,-4.44e-4,0.432821,87.53607,30.038006,19.976498,5051.09677,99.98011,55.55295,45.86806,295.96775,289.84284,33.498137,4.292166,-9.42229,6.96304,-1.49565,50,5.48596,6.01412,-131.95872,-2.49232,-16.07259,36.59861,-20.2965,FAU_OWL,NOT_IRI,FAUBaseballStadium,D1,AMER,20260214-FAUBaseballStadium-2,8bef8970-09e8-11f1-9027-e158a06f9123,87.08543,65.77141,NA,10.64587,NA,NA,NA,0.87812,2.97087,-0.33889,d97af04a-649f-46a2-92f3-ae909fa1883e,2026-02-14,21:02:58,2026-02-14T21:02:58Z,2026-02-14T21:02:58Z,FlyBall,v3,339,225,NA,"Gramesty, TJ",813124,Right,FAU_OWL,27ae464f-45fe-4b66-95ef-1f28b6b6abac,55.80846,-133.55998,18.29931,5.57558,-1.60431,-10.14825,-1.77416,6.71732,-8.0363,217.228093,0.87752,104.47008,-23.82097,6.0615,-1.45686,0.33915,-0.06447,0.00769,-4e-4,2.97151,64.25158,-17.97059,0.78152,0.09035,-0.08143,0.0211,-0.00238,9e-5,-0.33909,37.97538,0.96065,-0.55604,0.15887,-0.0286,0.00306,-2e-4,1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-02-14,16:03:29,2,1,"Murphy, Tyler",804805,Right,FAU_OWL,"Watters, Bino",827639,Left,NOT_IRI,Undefined,1,Top,1,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,90.86714,-0.812164,-3.982509,2212.109783,231.679711,01:45:00,5.5221,1.9512100000000001,4.66888,-20.83363,16.24556,18.42391,3.01261,-0.30235,79.48381,-4.748984,-0.759526,0.438265,111.07712,17.932901,40.111577,2786.904442,79.75813,28.52562,75.75372,296.25728,263.11078,51.436587,2.699667,-10.61847,8.70772,-1.5628,50,5.4219,8.17374,-130.80502,-2.61839,-17.62718,38.32874,-17.7188,FAU_OWL,NOT_IRI,FAUBaseballStadium,D1,AMER,20260214-FAUBaseballStadium-2,9de9e490-09e8-11f1-9027-e158a06f9123,86.00384,32.2922,NA,11.38333,NA,NA,NA,2.66278,3.0017,0.6863,d97af04a-649f-46a2-92f3-ae909fa1883e,2026-02-14,21:03:29,2026-02-14T21:03:29Z,2026-02-14T21:03:29Z,LineDrive,v3,339,225,NA,"Gramesty, TJ",813124,Right,FAU_OWL,69796b9f-923c-49b8-b11f-f34b37711aab,55.82511,-132.50091,19.16437,5.52041,-1.83441,-8.8594,-1.94171,8.95367,-8.81359,NA,2.66279,118.5406,-30.22361,7.09047,-1.74915,0.39114,-0.07507,0.00999,-6.4e-4,3.00171,50.16108,-24.67211,3.40323,-0.79018,0.17552,-0.03198,0.0042,-2.8e-4,0.68629,99.86239,-4.52076,-0.9728,0.53143,-0.1733,0.03805,-0.00542,3.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-02-14,16:03:44,2,2,"Murphy, Tyler",804805,Right,FAU_OWL,"Watters, Bino",827639,Left,NOT_IRI,Undefined,1,Top,1,0,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,85.33191,-0.665594,-3.374346,1650.800934,233.254938,01:45:00,5.32523,2.09779,4.65523,-31.96143,9.22398,10.21209,2.02828,-0.26083,76.42208,-6.516177,-1.586121,0.461895,66.68895,13.519031,-169.910863,1504.231032,NA,NA,NA,104.34107,51.58052,-170.823676,1.271957,-6.15209,5.17461,-1.76269,50,5.22884,6.78541,-123.21227,-2.66399,-9.25252,29.42512,-24.39162,FAU_OWL,NOT_IRI,FAUBaseballStadium,D1,AMER,20260214-FAUBaseballStadium-2,a76060d0-09e8-11f1-9027-e158a06f9123,81.60393,8.49065,NA,8.90984,NA,NA,NA,1.97512,2.03252,0.27164,d97af04a-649f-46a2-92f3-ae909fa1883e,2026-02-14,21:03:44,2026-02-14T21:03:44Z,2026-02-14T21:03:44Z,GroundBall,v3,339,225,NA,"Gramesty, TJ",813124,Right,FAU_OWL,fc548905-44f3-4cfd-a79a-67bb5da60fbf,55.84132,-124.59946,14.71256,5.32732,-1.51409,-12.19581,-2.09286,7.2216,-4.62626,25.152159,1.97512,-93.62961,9.4926,-0.82623,0.21081,-0.03397,0.00487,-0.00109,1.4e-4,2.03252,22.86495,-21.19163,1.82265,-0.29453,0.06808,-0.01011,0.00125,-1.3e-4,0.27164,-16.65966,2.99651,-0.34851,0.07018,-0.01262,0.00194,-3.5e-4,4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-02-14,16:04:13,2,3,"Murphy, Tyler",804805,Right,FAU_OWL,"Watters, Bino",827639,Left,NOT_IRI,Undefined,1,Top,1,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.37778,0.426141,-3.524481,2213.616354,353.760701,05:45:00,5.32947,2.11015,5.16345,-48.8055,-3.75551,0.57996,1.66421,-1.163,73.15461,-8.422613,-3.421949,0.48308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.38854,-1.55965,-1.78145,50,5.33188,7.14146,-116.34046,-0.89954,-1.88112,24.17957,-34.28698,FAU_OWL,NOT_IRI,FAUBaseballStadium,D1,AMER,20260214-FAUBaseballStadium-2,b8a54ea0-09e8-11f1-9027-e158a06f9123,78.02533,NA,NA,7.22318,NA,NA,NA,NA,NA,NA,d97af04a-649f-46a2-92f3-ae909fa1883e,2026-02-14,21:04:13,2026-02-14T21:04:13Z,2026-02-14T21:04:13Z,NA,v3,339,225,NA,"Gramesty, TJ",813124,Right,FAU_OWL,b4e6d7b3-a1f2-4178-bf55-7123352e3401,55.33643,-117.44431,12.08979,5.33722,0.66574,-17.14349,-2.10944,7.22734,-0.94056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-02-14,16:04:26,2,4,"Murphy, Tyler",804805,Right,FAU_OWL,"Watters, Bino",827639,Left,NOT_IRI,Undefined,1,Top,1,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.78705,0.481887,-4.493582,2118.651081,246.825669,02:15:00,5.50574,2.29706,4.70705,-28.93754,8.54634,16.35276,3.5531,-0.6142,79.51825,-4.850456,-1.634279,0.44065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.49918,4.45461,-1.85651,50,5.52976,9.32828,-129.34724,-0.07136,-15.64599,33.96303,-24.83694,FAU_OWL,NOT_IRI,FAUBaseballStadium,D1,AMER,20260214-FAUBaseballStadium-2,c0172140-09e8-11f1-9027-e158a06f9123,85.53827,NA,NA,10.26881,NA,NA,NA,NA,NA,NA,d97af04a-649f-46a2-92f3-ae909fa1883e,2026-02-14,21:04:26,2026-02-14T21:04:26Z,2026-02-14T21:04:26Z,NA,v3,339,225,NA,"Gramesty, TJ",813124,Right,FAU_OWL,82afa5c1-144d-4267-9040-8be410c7ba4b,55.78599,-130.85767,16.98152,5.50838,1.0332,-12.41847,-2.28683,10.0241,-7.82299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-02-14,16:04:40,2,5,"Murphy, Tyler",804805,Right,FAU_OWL,"Watters, Bino",827639,Left,NOT_IRI,Undefined,1,Top,1,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,80.25487,-0.20062,-3.074506,2118.457127,252.610898,02:30:00,5.25553,2.15843,4.88451,-43.62557,2.31244,1.97563,1.43,-0.58847,72.50099,-8.121555,-2.726805,0.487818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.99646,1.65992,-1.85817,50,5.19924,6.14882,-116.0482,-2.00163,-2.67332,25.38186,-29.95139,FAU_OWL,NOT_IRI,FAUBaseballStadium,D1,AMER,20260214-FAUBaseballStadium-2,c8c74040-09e8-11f1-9027-e158a06f9123,77.2675,NA,NA,7.75388,NA,NA,NA,NA,NA,NA,d97af04a-649f-46a2-92f3-ae909fa1883e,2026-02-14,21:04:40,2026-02-14T21:04:40Z,2026-02-14T21:04:40Z,NA,v3,339,225,NA,"Gramesty, TJ",813124,Right,FAU_OWL,61e42291-c5cd-4afb-9ff6-fb8e70aded3a,55.61371,-117.26959,12.69093,5.26088,-0.56035,-14.9757,-2.15716,6.27746,-1.33666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.36746,NA,NA,0.901245,NA,NA,NA,3.20788,4.84673,-2.08523,81.0937,5.53073,-43.69555,3.24291,91.62754,-5.80778,4.88342,13.57077,-14.24598,-2.15652,-52.98913,7.62779,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-02-14,16:05:10,3,1,"Murphy, Tyler",804805,Right,FAU_OWL,"Quatrani, Mark",805544,Right,NOT_IRI,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.26484,0.239514,-3.609436,2103.492795,321.598008,04:45:00,5.36735,1.87938,4.95073,-46.01518,0.24717,1.24949,1.75953,-1.43167,71.89344,-8.134153,-3.38952,0.489536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.89599,0.61075,-1.52991,50,5.35332,7.25434,-115.87028,-1.20906,-2.50999,26.94515,-31.3655,FAU_OWL,NOT_IRI,FAUBaseballStadium,D1,AMER,20260214-FAUBaseballStadium-2,da164030-09e8-11f1-9027-e158a06f9123,76.99618,NA,NA,8.37139,NA,NA,NA,NA,NA,NA,d97af04a-649f-46a2-92f3-ae909fa1883e,2026-02-14,21:05:10,2026-02-14T21:05:10Z,2026-02-14T21:05:10Z,NA,v3,339,225,NA,"Gramesty, TJ",813124,Right,FAU_OWL,e25e7420-f6d1-43a6-b293-5e0e8bd961d0,55.54432,-117.15249,13.47257,5.37534,0.2835,-15.68275,-1.87796,7.37378,-1.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-02-14,16:05:22,3,2,"Murphy, Tyler",804805,Right,FAU_OWL,"Quatrani, Mark",805544,Right,NOT_IRI,Undefined,1,Top,2,1,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,91.27255,-0.223378,-3.119775,2155.999886,234.489077,01:45:00,5.5084,2.2104,4.75352,-22.81478,12.88505,16.17292,3.39501,0.59651,81.77259,-4.455405,-0.282368,0.430035,101.11956,0.494303,-59.965629,4368.533763,NA,NA,NA,52.96154,52.96154,-59.53902,0.374295,-8.97378,6.7667,-1.91205,50,5.46672,6.38656,-131.93099,-1.40023,-15.53388,32.74528,-20.46069,FAU_OWL,NOT_IRI,FAUBaseballStadium,D1,AMER,20260214-FAUBaseballStadium-2,e1ac8ac0-09e8-11f1-9027-e158a06f9123,87.64961,3.42565,NA,9.49996,NA,NA,NA,1.89226,3.41279,-0.57967,d97af04a-649f-46a2-92f3-ae909fa1883e,2026-02-14,21:05:22,2026-02-14T21:05:22Z,2026-02-14T21:05:22Z,GroundBall,v3,339,225,NA,"Gramesty, TJ",813124,Right,FAU_OWL,53be43c0-f512-4b3a-82a9-091902a5c198,55.74411,-133.34906,16.37264,5.50818,-0.51416,-10.23034,-2.20319,7.05927,-7.76694,NA,1.9038,73.81401,-19.2292,NA,NA,NA,NA,NA,NA,3.4282,0.72477,-26.50976,NA,NA,NA,NA,NA,NA,-0.58744,-128.11249,20.66571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-02-14,16:05:50,3,3,"Murphy, Tyler",804805,Right,FAU_OWL,"Quatrani, Mark",805544,Right,NOT_IRI,Undefined,1,Top,2,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.66077,-0.22437000000000001,-3.85821,2120.177294,44.186274,07:30:00,5.26591,2.16931,4.92089,-43.73943,1.09512,-0.33846,1.40834,-1.51216,73.94036,-8.117726,-3.917713,0.481923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.93909,1.02992,-1.79223,50,5.20753,7.88763,-116.74339,-2.07529,-1.29223,22.57683,-30.75682,FAU_OWL,NOT_IRI,FAUBaseballStadium,D1,AMER,20260214-FAUBaseballStadium-2,f26c6a10-09e8-11f1-9027-e158a06f9123,78.21254,NA,NA,6.7204,NA,NA,NA,NA,NA,NA,d97af04a-649f-46a2-92f3-ae909fa1883e,2026-02-14,21:05:50,2026-02-14T21:05:50Z,2026-02-14T21:05:50Z,NA,v3,339,225,NA,"Gramesty, TJ",813124,Right,FAU_OWL,fc328462-ead9-47ec-a86b-f79e15593b47,55.57893,-117.81735,11.28842,5.27145,-0.61221,-15.37841,-2.1689,7.9491,-0.64612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
