player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,2026-02-15,15:07:02,1,1,"Oakes, Ryan",1000299833,Right,NEV_WOL,"Utermark, Judd",824607,Right,OLE_REB,Undefined,4,Bottom,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.11537,-0.124433,-3.234977,2221.665452,96.045659,09:15:00,5.82961,2.50799,6.19889,-40.34349,2.43055,-11.68705,2.3526,-1.45546,74.36836,-7.555352,-5.338861,0.470719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.21925,1.68807,-2.25883,50,5.80006,6.99917,-116.39597,-1.47527,7.21105,20.39445,-29.8418,OLE_REB,NEV_WOL,OleMiss,D1,SEC,20260215-OleMiss-1,46c8d7a0-0ab2-11f1-a52e-2d23c3e704db,80.07422,NA,NA,5.74701,NA,NA,NA,NA,NA,NA,104284e6-3296-457c-8810-79ea288b868c,2026-02-15,21:07:02,2026-02-15T21:07:02Z,2026-02-15T21:07:02Z,NA,v3,5322,471377,291b1ba036fa4449aab021911465bdaa,"Harvey, Jake",833440,Right,NEV_WOL,5430d535-3171-4b2a-9c80-bc4a96dcf59d,54.30263,-117.14744,10.19722,5.83416,-0.3757,-14.9209,-2.51183,6.73347,3.60553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,2026-02-15,15:07:19,1,2,"Oakes, Ryan",1000299833,Right,NEV_WOL,"Utermark, Judd",824607,Right,OLE_REB,Undefined,4,Bottom,0,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,81.5765,-0.598971,-3.138863,2327.177996,89.446611,09:00:00,5.7597,2.54211,6.01285,-40.85632,1.15347,-15.6317,1.79927,-1.67126,75.0509,-8.103306,-5.94384,0.466495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.10532,1.19921,-2.2874,50,5.69064,7.08718,-118.37155,-2.54692,10.03381,23.58971,-30.48056,OLE_REB,NEV_WOL,OleMiss,D1,SEC,20260215-OleMiss-1,50bb3aa0-0ab2-11f1-a52e-2d23c3e704db,80.79929,NA,NA,6.5256,NA,NA,NA,NA,NA,NA,104284e6-3296-457c-8810-79ea288b868c,2026-02-15,21:07:19,2026-02-15T21:07:19Z,2026-02-15T21:07:19Z,NA,v3,5322,471377,291b1ba036fa4449aab021911465bdaa,"Harvey, Jake",833440,Right,NEV_WOL,358ab908-dc1a-40ff-a26b-f2944fd8a7a6,54.48766,-119.26252,11.79486,5.76509,-1.39568,-15.24028,-2.54792,6.7082,5.0169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,2026-02-15,15:07:38,1,3,"Oakes, Ryan",1000299833,Right,NEV_WOL,"Utermark, Judd",824607,Right,OLE_REB,Undefined,4,Bottom,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.62168,-0.737193,-3.432154,2137.221292,194.578475,12:30:00,5.96065,2.28806,6.67465,-15.4858,19.33907,4.72496,3.99451,-0.46183,80.39673,-3.756558,-2.574201,0.424733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.49106,10.72556,-2.05969,50,5.90438,7.52659,-128.57207,-1.99759,-5.80234,28.41978,-14.34754,OLE_REB,NEV_WOL,OleMiss,D1,SEC,20260215-OleMiss-1,5bf511c0-0ab2-11f1-a52e-2d23c3e704db,88.74383,NA,NA,8.22494,NA,NA,NA,NA,NA,NA,104284e6-3296-457c-8810-79ea288b868c,2026-02-15,21:07:38,2026-02-15T21:07:38Z,2026-02-15T21:07:38Z,NA,v3,5322,471377,291b1ba036fa4449aab021911465bdaa,"Harvey, Jake",833440,Right,NEV_WOL,d20a9f0e-c6c1-424f-9aa5-69f59f78b154,53.82219,-129.41418,14.20989,5.95728,-1.57246,-7.17377,-2.28525,7.69852,-2.90117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,2026-02-15,15:07:57,1,4,"Oakes, Ryan",1000299833,Right,NEV_WOL,"Utermark, Judd",824607,Right,OLE_REB,Undefined,4,Bottom,0,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,88.70792,-3.295206,-4.002474,2073.518159,201.514635,12:45:00,5.82289,2.35337,6.67138,-17.87253,16.92206,6.21272,1.30803,-0.79672,80.9694,-6.717897,-2.874927,0.424548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.43252,10.22957,-2.08713,50,5.59396,8.75552,-128.4827,-7.86119,-7.37913,27.63354,-15.14412,OLE_REB,NEV_WOL,OleMiss,D1,SEC,20260215-OleMiss-1,673b6c00-0ab2-11f1-a52e-2d23c3e704db,88.78246,NA,NA,7.73851,NA,NA,NA,NA,NA,NA,104284e6-3296-457c-8810-79ea288b868c,2026-02-15,21:07:57,2026-02-15T21:07:57Z,2026-02-15T21:07:57Z,NA,v3,5322,471377,291b1ba036fa4449aab021911465bdaa,"Harvey, Jake",833440,Right,NEV_WOL,47847deb-6d30-4ec3-b0d8-8c56c506dba8,53.82762,-129.30331,13.81677,5.82073,-7.41147,-7.57206,-2.35039,8.97465,-3.68957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,2026-02-15,15:08:31,2,1,"Oakes, Ryan",1000299833,Right,NEV_WOL,"Furniss, Will",702645,Left,OLE_REB,Undefined,4,Bottom,0,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,82.37157,-1.031564,-2.480194,2330.519165,243.21379,02:00:00,5.59954,2.03956,6.18654,-32.05553,8.86993,14.88438,1.97475,0.98838,75.21058,-7.018905,0.206519,0.460435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.37902,5.32075,-1.85939,50,5.50563,4.60853,-119.56488,-3.11708,-12.06844,24.13584,-24.5105,OLE_REB,NEV_WOL,OleMiss,D1,SEC,20260215-OleMiss-1,7bae8f50-0ab2-11f1-a52e-2d23c3e704db,81.8627,NA,NA,7.161,NA,NA,NA,NA,NA,NA,104284e6-3296-457c-8810-79ea288b868c,2026-02-15,21:08:31,2026-02-15T21:08:31Z,2026-02-15T21:08:31Z,NA,v3,5322,471377,291b1ba036fa4449aab021911465bdaa,"Harvey, Jake",833440,Right,NEV_WOL,d2d05674-1233-4e66-82df-1af4ee801c8d,54.31222,-120.43222,12.06792,5.60182,-2.23628,-12.25525,-2.0328,5.04222,-6.03422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,2026-02-15,15:08:54,2,2,"Oakes, Ryan",1000299833,Right,NEV_WOL,"Furniss, Will",702645,Left,OLE_REB,Undefined,4,Bottom,0,0,1,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,NA,81.2566,-0.122455,-1.599541,1165.435114,94.96986,09:15:00,5.71513,1.9461,5.89575,-40.09644,2.48484,-12.51615,2.26003,-0.58237,74.26376,-7.518113,-3.846417,0.469657,85.72896,36.761615,-12.464228,4730.491619,104.91428,72.48785,-33.06024,251.34688,204.01729,-25.237352,4.940738,5.98571,1.67362,-1.80987,50,5.68211,3.76492,-117.99,-1.53165,8.36384,24.29496,-29.83549,OLE_REB,NEV_WOL,OleMiss,D1,SEC,20260215-OleMiss-1,89783910-0ab2-11f1-a52e-2d23c3e704db,80.25528,83.25719,NA,6.99284,NA,NA,NA,1.26432,2.38704,0.5793,104284e6-3296-457c-8810-79ea288b868c,2026-02-15,21:08:54,2026-02-15T21:08:54Z,2026-02-15T21:08:54Z,FlyBall,v3,5322,471377,291b1ba036fa4449aab021911465bdaa,"Harvey, Jake",833440,Right,NEV_WOL,6fcb3b69-3482-435a-9dd2-748299bfa567,54.60546,-118.93452,12.14748,5.71911,-0.37174,-14.91774,-1.94991,3.43976,4.18192,150.303783,1.26812,98.28558,-23.74396,5.22866,-0.90334,0.14721,-0.03489,0.00649,-4.6e-4,2.39159,75.14851,-19.4273,0.56128,0.54996,-0.33526,0.09431,-0.01267,6.5e-4,0.57707,-21.69179,-3.24389,2.0229,-0.76573,0.249,-0.05868,0.0078,-4.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,2026-02-15,15:09:34,3,1,"Oakes, Ryan",1000299833,Right,NEV_WOL,"Pacella, Daniel",834972,Left,OLE_REB,Undefined,4,Bottom,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,82.3208,-0.857751,-2.28415,2109.857041,254.685791,02:30:00,5.67941,2.05137,6.41312,-34.6838,5.95626,16.82588,1.99978,1.35236,75.16478,-7.343939,0.767821,0.458827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.4052,3.80079,-1.89487,50,5.60262,4.1441,-119.56485,-2.8122,-13.52577,24.46207,-26.70805,OLE_REB,NEV_WOL,OleMiss,D1,SEC,20260215-OleMiss-1,a1865d70-0ab2-11f1-a52e-2d23c3e704db,82.14962,NA,NA,7.15602,NA,NA,NA,NA,NA,NA,104284e6-3296-457c-8810-79ea288b868c,2026-02-15,21:09:34,2026-02-15T21:09:34Z,2026-02-15T21:09:34Z,NA,v3,5322,471377,291b1ba036fa4449aab021911465bdaa,"Harvey, Jake",833440,Right,NEV_WOL,acd6ebe2-6517-4104-9d77-1e7dae275af5,54.08631,-120.39798,12.23104,5.6829,-1.90258,-13.35403,-2.04386,4.60476,-6.76289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,2026-02-15,15:09:56,3,2,"Oakes, Ryan",1000299833,Right,NEV_WOL,"Pacella, Daniel",834972,Left,OLE_REB,Undefined,4,Bottom,1,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,82.55005,-2.484851,-2.803407,2248.051059,246.60129,02:15:00,5.62946,1.95365,6.35053,-32.5364,8.39075,15.98245,0.62661,0.70293,74.93541,-8.571761,0.092195,0.460444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.26634,5.59359,-1.75736,50,5.43368,5.27567,-119.66425,-6.14207,-13.23156,26.37315,-24.18686,OLE_REB,NEV_WOL,OleMiss,D1,SEC,20260215-OleMiss-1,ae409300-0ab2-11f1-a52e-2d23c3e704db,81.861,NA,NA,7.61464,NA,NA,NA,NA,NA,NA,104284e6-3296-457c-8810-79ea288b868c,2026-02-15,21:09:56,2026-02-15T21:09:56Z,2026-02-15T21:09:56Z,NA,v3,5322,471377,291b1ba036fa4449aab021911465bdaa,"Harvey, Jake",833440,Right,NEV_WOL,6676b18c-0eab-46c9-adb9-14bcc8ae0cfd,54.14921,-120.57524,13.18658,5.63141,-5.3066,-12.09343,-1.94749,5.73272,-6.61578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,2026-02-15,15:10:26,3,3,"Oakes, Ryan",1000299833,Right,NEV_WOL,"Pacella, Daniel",834972,Left,OLE_REB,Undefined,4,Bottom,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.82717,-0.861657,-1.117475,2115.243202,194.581572,12:30:00,5.87845,1.798,6.49281,-17.7728,16.92426,4.10839,3.60616,1.11438,80.90482,-4.278336,-0.371813,0.423953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.45992,9.43599,-1.72126,50,5.80991,2.35494,-129.07972,-2.39886,-4.13384,27.86227,-16.31714,OLE_REB,NEV_WOL,OleMiss,D1,SEC,20260215-OleMiss-1,c005ad50-0ab2-11f1-a52e-2d23c3e704db,88.9071,NA,NA,7.92236,NA,NA,NA,NA,NA,NA,104284e6-3296-457c-8810-79ea288b868c,2026-02-15,21:10:26,2026-02-15T21:10:26Z,2026-02-15T21:10:26Z,NA,v3,5322,471377,291b1ba036fa4449aab021911465bdaa,"Harvey, Jake",833440,Right,NEV_WOL,ade0491a-a244-404a-96ea-29fecd552b09,54.00488,-129.94131,13.93114,5.87629,-1.89428,-8.15857,-1.79605,2.48277,-2.06692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.4584,1.723372,0.808602,0.914771,-0.93304,3.42666,-1.09981,-1.89422,5.77932,0.48414,65.94577,-0.71097,58.83189,-1.8476,83.24251,-10.11768,5.78037,2.56831,-10.57165,0.49662,67.20914,-3.79621,High,High,High,NA,NA,High,Medium,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,2026-02-15,15:10:54,3,4,"Oakes, Ryan",1000299833,Right,NEV_WOL,"Pacella, Daniel",834972,Left,OLE_REB,Undefined,4,Bottom,1,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,88.61981,-1.917495,-1.962166,2283.845834,202.891762,12:45:00,5.85023,1.81056,6.60123,-14.83332,20.05143,7.96406,2.85578,0.67595,80.45291,-4.811735,-0.514528,0.425098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.73981,11.43662,-1.67949,50,5.71261,4.09502,-128.65524,-4.63464,-7.88439,28.57037,-13.14982,OLE_REB,NEV_WOL,OleMiss,D1,SEC,20260215-OleMiss-1,d1264a40-0ab2-11f1-a52e-2d23c3e704db,88.66762,NA,NA,8.1669,NA,NA,NA,NA,NA,NA,104284e6-3296-457c-8810-79ea288b868c,2026-02-15,21:10:54,2026-02-15T21:10:54Z,2026-02-15T21:10:54Z,NA,v3,5322,471377,291b1ba036fa4449aab021911465bdaa,"Harvey, Jake",833440,Right,NEV_WOL,2b2fb6b2-3d88-40e3-881d-2a50d2061695,53.89608,-129.51755,14.28519,5.8465,-4.23775,-6.57491,-1.80668,4.33299,-3.94219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
