player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-02-15,13:00:27,2,4,"Brennan, Isaiah",1000359347,Right,IOW_CEN,"Morin, Blake",10323338,Left,SAU_VAL1,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,89.28025,-2.841443,-2.791301,2234.831057,207.915946,01:00:00,5.97327,1.08161,6.24582,-14.31524,20.42072,10.21382,2.15438,-0.64371,81.48714,-5.606754,-0.948631,0.424191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.07315,11.73154,-0.87864,50,5.75422,5.89732,-129.46688,-6.78488,-10.29119,27.43819,-12.29448,IOW_CEN,SAU_VAL1,HarlanRogersSportsComplex,JUCO,NJCAA,20260215-HarlanRogersSportsComplex-1,976c5360-0aa0-11f1-b732-a5025c2637c8,88.85731,NA,NA,7.79311,NA,NA,NA,NA,NA,NA,457aea7a-9fda-4e31-961b-cdf11fcbb6fc,2026-02-15,19:00:27,2026-02-15T19:00:27Z,2026-02-15T19:00:27Z,NA,v3,643-147393,72614a82-0fbd-4f07-b3a9-0374c33cc3ed,NA,"Book, Jaxson",10320485,Right,IOW_CEN,51735c74-da91-43d4-9107-31a564577b72,54.25222,-130.36495,13.71909,5.96971,-6.38247,-6.14724,-1.07717,6.23416,-5.14559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-02-15,13:00:42,2,5,"Brennan, Isaiah",1000359347,Right,IOW_CEN,"Morin, Blake",10323338,Left,SAU_VAL1,Undefined,1,Top,1,2,2,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,80.87846,-1.083351,-1.497991,2404.003977,100.601218,09:15:00,6.21648,1.21614,5.76577,-40.3088,2.42689,-6.17544,1.84869,-0.69296,74.79534,-8.460054,-2.605215,0.470508,76.50841,-34.276152,60.059128,NA,NA,NA,NA,5.11973,2.95007,37.617183,0.031844,2.78626,1.84969,-1.08821,50,6.10196,3.30369,-117.52992,-3.53161,3.90867,21.66393,-29.57925,IOW_CEN,SAU_VAL1,HarlanRogersSportsComplex,JUCO,NJCAA,20260215-HarlanRogersSportsComplex-1,a07fa100-0aa0-11f1-b732-a5025c2637c8,80.11012,2.01738,NA,6.08311,NA,NA,NA,2.57801,2.01738,0.56002,457aea7a-9fda-4e31-961b-cdf11fcbb6fc,2026-02-15,19:00:42,2026-02-15T19:00:42Z,2026-02-15T19:00:42Z,GroundBall,v3,643-147393,72614a82-0fbd-4f07-b3a9-0374c33cc3ed,NA,"Book, Jaxson",10320485,Right,IOW_CEN,870fd5a7-209c-4f72-b827-eda4b8f81c08,54.73563,-118.3996,10.83197,6.2199,-2.34417,-14.78962,-1.21769,3.14678,1.95433,NA,2.57743,46.39306,NA,NA,NA,NA,NA,NA,NA,2.01818,-63.3511,NA,NA,NA,NA,NA,NA,NA,0.55901,80.54699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,2026-02-15,13:27:15,3,2,"Brennan, Isaiah",1000359347,Right,IOW_CEN,"Foley, Kevin",10878801,Right,SAU_VAL1,Undefined,2,Top,1,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,90.10403,-3.270555,-2.686028,2347.195195,221.499264,01:30:00,6.00786,1.03575,6.2776,-15.39465,18.70572,15.54713,1.70374,-0.14632,82.23525,-6.226074,0.122255,0.420292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.82119,10.98288,-0.84448,50,5.75823,5.49451,-130.6388,-7.87358,-15.20617,28.16538,-13.24149,IOW_CEN,SAU_VAL1,HarlanRogersSportsComplex,JUCO,NJCAA,20260215-HarlanRogersSportsComplex-1,56068c20-0aa4-11f1-b732-a5025c2637c8,89.68161,NA,NA,7.86878,NA,NA,NA,NA,NA,NA,457aea7a-9fda-4e31-961b-cdf11fcbb6fc,2026-02-15,19:27:15,2026-02-15T19:27:15Z,2026-02-15T19:27:15Z,NA,v3,643-147393,72614a82-0fbd-4f07-b3a9-0374c33cc3ed,NA,"Book, Jaxson",10320485,Right,IOW_CEN,878b458b-7a42-4b38-aa16-1696284c6adb,54.22109,-131.54571,14.08269,6.00489,-7.44721,-6.62074,-1.02928,5.98414,-7.60309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,2026-02-15,13:27:42,3,4,"Brennan, Isaiah",1000359347,Right,IOW_CEN,"Foley, Kevin",10878801,Right,SAU_VAL1,Undefined,2,Top,1,1,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,81.38451,-1.140976,-2.80498,1728.015102,232.274647,01:45:00,5.58929,1.13014,6.61263,-28.85065,12.76363,14.56678,2.13865,-0.22711,73.64269,-6.622863,-0.156123,0.464294,73.28412,0.370268,-53.488875,2880.114868,NA,NA,NA,41.48748,40.32775,-51.700565,0.378774,-8.60583,7.51394,-0.94499,50,5.49974,5.28102,-118.10534,-3.10437,-11.9702,25.69282,-21.72264,IOW_CEN,SAU_VAL1,HarlanRogersSportsComplex,JUCO,NJCAA,20260215-HarlanRogersSportsComplex-1,66321ab0-0aa4-11f1-b732-a5025c2637c8,81.18234,2.43477,NA,7.74181,NA,NA,NA,2.89496,2.42897,-0.06445,457aea7a-9fda-4e31-961b-cdf11fcbb6fc,2026-02-15,19:27:42,2026-02-15T19:27:42Z,2026-02-15T19:27:42Z,GroundBall,v3,643-147393,72614a82-0fbd-4f07-b3a9-0374c33cc3ed,NA,"Book, Jaxson",10320485,Right,IOW_CEN,1cf1a4cb-eb36-4f97-91a1-79e25631829b,53.88574,-118.94765,12.84641,5.58984,-2.39222,-10.86132,-1.12456,5.67345,-5.9851,NA,2.89657,63.89243,-9.66165,NA,NA,NA,NA,NA,NA,2.43148,0.6067,-18.56697,NA,NA,NA,NA,NA,NA,-0.06305,-86.43608,1.6921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,2026-02-15,14:49:27,6,5,"Boelens, Carson",10182634,Right,SAU_VAL1,"Sejnoha, Sam",1000151006,Left,IOW_CEN,Undefined,5,Bottom,2,2,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,73.89076,-1.360195,-2.986973,1085.059414,228.431602,01:30:00,5.65425,2.26066,6.71786,-37.27026,12.38375,12.17213,1.30316,0.54223,67.99818,-8.365847,-0.76856,0.507164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.28993,7.41099,-2.06727,50,5.54956,5.22725,-107.33433,-3.4439,-8.49543,18.75994,-23.53754,IOW_CEN,SAU_VAL1,HarlanRogersSportsComplex,JUCO,NJCAA,20260215-HarlanRogersSportsComplex-1,d216f330-0aaf-11f1-b732-a5025c2637c8,74.32001,NA,NA,5.89259,NA,NA,NA,NA,NA,NA,457aea7a-9fda-4e31-961b-cdf11fcbb6fc,2026-02-15,20:49:27,2026-02-15T20:49:27Z,2026-02-15T20:49:27Z,NA,v3,643-147393,72614a82-0fbd-4f07-b3a9-0374c33cc3ed,NA,"Burgess, James",1000217986,Right,SAU_VAL1,ca53d780-7e67-46a5-a3ad-27409a7c167c,53.7812,-107.99319,9.37997,5.656,-2.61725,-11.76877,-2.2561,5.52562,-4.24771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,2026-02-15,15:26:53,6,1,"Ohl, Clayton",10964339,Right,SAU_VAL1,"Perrin, Tate",10287431,Right,IOW_CEN,Undefined,6,Bottom,2,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,76.0065,0.790138,-3.320579,1769.607714,209.468242,01:00:00,5.16851,1.4691,6.39331,-32.12281,15.53875,7.90902,3.21959,-0.92928,69.34263,-5.279592,-1.891482,0.496885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.0391,8.3465,-1.23367,50,5.21053,6.12471,-110.26525,0.70978,-6.1889,20.05071,-21.92306,IOW_CEN,SAU_VAL1,HarlanRogersSportsComplex,JUCO,NJCAA,20260215-HarlanRogersSportsComplex-1,0cd52690-0ab5-11f1-b732-a5025c2637c8,75.85753,NA,NA,6.66387,NA,NA,NA,NA,NA,NA,457aea7a-9fda-4e31-961b-cdf11fcbb6fc,2026-02-15,21:26:53,2026-02-15T21:26:53Z,2026-02-15T21:26:53Z,NA,v3,643-147393,72614a82-0fbd-4f07-b3a9-0374c33cc3ed,NA,"Burgess, James",1000217986,Right,SAU_VAL1,2955c660-0c01-4d08-8506-adace2c35c46,54.10272,-111.00879,10.02535,5.16913,1.52275,-10.96153,-1.46505,6.35421,-3.09445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,2026-02-15,15:27:10,6,2,"Ohl, Clayton",10964339,Right,SAU_VAL1,"Perrin, Tate",10287431,Right,IOW_CEN,Undefined,6,Bottom,2,0,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,68.61331,1.737808,-1.53073,1916.031831,104.823309,09:30:00,5.05279,1.79576,5.61955,-55.99334,3.77358,-7.53111,2.00954,-0.26071,63.43438,-8.507081,-2.87518,0.556419,75.3446,-10.344155,-47.478193,NA,NA,NA,NA,13.77667,3.78235,-37.823127,0.109178,3.43988,1.91736,-1.66006,50,5.16466,2.90893,-99.64224,1.44565,3.46878,15.55948,-30.24057,IOW_CEN,SAU_VAL1,HarlanRogersSportsComplex,JUCO,NJCAA,20260215-HarlanRogersSportsComplex-1,16a35fc0-0ab5-11f1-b732-a5025c2637c8,67.74113,2.17168,NA,5.17893,NA,NA,NA,2.84089,2.17168,0.32074,457aea7a-9fda-4e31-961b-cdf11fcbb6fc,2026-02-15,21:27:10,2026-02-15T21:27:10Z,2026-02-15T21:27:10Z,GroundBall,v3,643-147393,72614a82-0fbd-4f07-b3a9-0374c33cc3ed,NA,"Burgess, James",1000217986,Right,SAU_VAL1,5a31aa63-8566-4214-9e30-0de44ec764cd,54.88121,-100.40157,7.77974,5.0581,2.92143,-15.12029,-1.79788,2.73965,1.73439,NA,2.83772,73.65409,NA,NA,NA,NA,NA,NA,NA,2.17254,-19.89117,NA,NA,NA,NA,NA,NA,NA,0.3242,-80.31795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287,2026-02-15,15:27:46,6,3,"Ohl, Clayton",10964339,Right,SAU_VAL1,"Perrin, Tate",10287431,Right,IOW_CEN,Undefined,6,Bottom,2,0,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,77.54874,3.009959,-4.235746,1851.817267,215.574668,01:15:00,5.13119,1.67963,6.14065,-35.36837,11.02591,6.83575,4.97564,-1.67231,70.54595,-3.608876,-3.01025,0.490234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.69024,5.30051,-1.35955,50,5.34327,8.06118,-112.21486,4.92436,-5.97427,20.50198,-25.42244,IOW_CEN,SAU_VAL1,HarlanRogersSportsComplex,JUCO,NJCAA,20260215-HarlanRogersSportsComplex-1,2c395830-0ab5-11f1-b732-a5025c2637c8,76.88658,NA,NA,7.00279,NA,NA,NA,NA,NA,NA,457aea7a-9fda-4e31-961b-cdf11fcbb6fc,2026-02-15,21:27:46,2026-02-15T21:27:46Z,2026-02-15T21:27:46Z,NA,v3,643-147393,72614a82-0fbd-4f07-b3a9-0374c33cc3ed,NA,"Burgess, James",1000217986,Right,SAU_VAL1,57d23f99-5f01-480d-84a8-b55261f27e60,54.35576,-113.00787,10.25099,5.13378,5.90769,-12.71122,-1.67582,8.29226,-2.98714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,2026-02-15,15:28:09,6,4,"Ohl, Clayton",10964339,Right,SAU_VAL1,"Perrin, Tate",10287431,Right,IOW_CEN,Undefined,6,Bottom,2,1,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,76.22185,2.766786,-1.598523,1696.881643,228.417048,01:30:00,5.04038,1.89501,6.36701,-36.7603,11.15288,10.67977,4.52597,1.31366,68.68791,-4.184291,0.332893,0.498194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.98835,5.44933,-1.78372,50,5.22382,2.70112,-110.48485,4.36875,-7.30413,22.11559,-25.52739,IOW_CEN,SAU_VAL1,HarlanRogersSportsComplex,JUCO,NJCAA,20260215-HarlanRogersSportsComplex-1,39bb98b0-0ab5-11f1-b732-a5025c2637c8,75.6581,NA,NA,7.53394,NA,NA,NA,NA,NA,NA,457aea7a-9fda-4e31-961b-cdf11fcbb6fc,2026-02-15,21:28:09,2026-02-15T21:28:09Z,2026-02-15T21:28:09Z,NA,v3,643-147393,72614a82-0fbd-4f07-b3a9-0374c33cc3ed,NA,"Burgess, James",1000217986,Right,SAU_VAL1,2549a8db-ecb4-4ddc-b17b-a20c21b728e0,54.12727,-111.30793,11.0578,5.04355,5.31881,-12.76369,-1.88931,2.97296,-3.65206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,2026-02-15,15:28:29,6,5,"Ohl, Clayton",10964339,Right,SAU_VAL1,"Perrin, Tate",10287431,Right,IOW_CEN,Undefined,6,Bottom,2,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,67.53829,-0.162728,-2.513297,1876.852147,84.888945,08:45:00,4.9144,1.81413,5.49555,-61.31881,1.23862,-8.8052,-0.34786,-1.27208,62.44978,-11.285481,-4.083478,0.56926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.76953,1.1152,-1.58781,50,4.85817,4.58336,-97.98159,-2.00845,3.63786,16.53323,-31.09781,IOW_CEN,SAU_VAL1,HarlanRogersSportsComplex,JUCO,NJCAA,20260215-HarlanRogersSportsComplex-1,45ae86a0-0ab5-11f1-b732-a5025c2637c8,66.21301,NA,NA,5.08851,NA,NA,NA,NA,NA,NA,457aea7a-9fda-4e31-961b-cdf11fcbb6fc,2026-02-15,21:28:29,2026-02-15T21:28:29Z,2026-02-15T21:28:29Z,NA,v3,643-147393,72614a82-0fbd-4f07-b3a9-0374c33cc3ed,NA,"Burgess, James",1000217986,Right,SAU_VAL1,a7628007-71ce-4330-b0fd-30e7a34018b8,55.00586,-98.82266,8.26662,4.9201,-0.42646,-15.5489,-1.81626,4.3983,1.81893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
