player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,2026-02-17,16:37:32,1,2,"Marks, Caleb",1000211292,Right,APP_MOU,"Albright, Tyler",703486,Right,DUK_BLU,Undefined,2,Bottom,0,0,1,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.01648,-1.091451,-1.973116,2249.508791,52.69694,07:45:00,6.19995,1.1196,5.81134,-43.21904,-2.74543,-5.54618,1.58272,-1.17806,76.048,-9.02935,-2.968563,0.457886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15441,-0.57291,-0.9546,50,6.08519,4.42146,-121.76118,-3.81535,3.16725,28.53288,-33.01631,DUK_BLU,APP_MOU,JackCoombs,D1,ACC,20260217-JackCoombs-1,e0387110-0c48-11f1-8b27-c974bf0c1568,82.31839,NA,NA,7.96847,NA,NA,NA,NA,NA,NA,3c048461-ed98-4b7f-a609-0a6ee6ff7eb6,2026-02-17,21:37:32,2026-02-17T21:37:32Z,2026-02-17T21:37:32Z,NA,v3,471284,471230,eaba674aaec141f5a1b6fd4e0944be04,"Denton, Colton",10107048,Right,APP_MOU,c9f751d7-3d4b-4e05-a30f-f8f668b37fab,54.68493,-122.85411,14.26644,6.20711,-2.55068,-16.50815,-1.12164,4.30014,1.58363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,2026-02-17,16:37:46,1,3,"Marks, Caleb",1000211292,Right,APP_MOU,"Albright, Tyler",703486,Right,DUK_BLU,Undefined,2,Bottom,0,1,1,ChangeUp,Splitter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,83.28367,-1.470278,-1.717248,1148.045773,250.62345,02:15:00,6.48205,0.99552,6.45174,-33.41392,6.45701,14.39796,2.34592,0.61724,75.68946,-7.732752,0.897884,0.454464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.01355,4.28366,-0.8796,50,6.36345,3.08327,-120.90569,-4.0860900000000004,-11.7116,26.36217,-25.9136,DUK_BLU,APP_MOU,JackCoombs,D1,ACC,20260217-JackCoombs-1,e91174d0-0c48-11f1-8b27-c974bf0c1568,82.93819,NA,NA,7.59421,NA,NA,NA,NA,NA,NA,3c048461-ed98-4b7f-a609-0a6ee6ff7eb6,2026-02-17,21:37:46,2026-02-17T21:37:46Z,2026-02-17T21:37:46Z,NA,v3,471284,471230,eaba674aaec141f5a1b6fd4e0944be04,"Denton, Colton",10107048,Right,APP_MOU,b407fbd5-55aa-4b08-8aca-75910fc9b9e4,54.04447,-121.78435,13.18109,6.48525,-3.22238,-12.9568,-0.98887,3.47363,-5.8558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,2026-02-17,16:46:18,1,1,"Lemke, Peter",1000278061,Right,DUK_BLU,"Miller, Kameron",10108328,Right,APP_MOU,Undefined,3,Top,0,0,0,Fastball,NA,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DUK_BLU,APP_MOU,JackCoombs,D1,ACC,20260217-JackCoombs-1,25b4dfc0-0c4a-11f1-8b27-c974bf0c1568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3c048461-ed98-4b7f-a609-0a6ee6ff7eb6,2026-02-17,21:46:18,2026-02-17T21:46:18Z,2026-02-17T21:46:18Z,NA,v3,471284,471230,eaba674aaec141f5a1b6fd4e0944be04,"Strand, Matthew",1000068590,Right,DUK_BLU,25b4b8b0-0c4a-11f1-8b27-c974bf0c1568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,2026-02-17,17:24:25,2,1,"Mastroianni, Marcello",811689,Left,DUK_BLU,"Soul, Nico",1000275968,Right,APP_MOU,Undefined,4,Top,1,0,0,Slider,NA,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DUK_BLU,APP_MOU,JackCoombs,D1,ACC,20260217-JackCoombs-1,76a5e7d1-0c4f-11f1-8b27-c974bf0c1568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3c048461-ed98-4b7f-a609-0a6ee6ff7eb6,2026-02-17,22:24:25,2026-02-17T22:24:25Z,2026-02-17T22:24:25Z,NA,v3,471284,471230,eaba674aaec141f5a1b6fd4e0944be04,"Strand, Matthew",1000068590,Right,DUK_BLU,76a5e7d0-0c4f-11f1-8b27-c974bf0c1568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,2026-02-17,17:25:27,2,3,"Mastroianni, Marcello",811689,Left,DUK_BLU,"Soul, Nico",1000275968,Right,APP_MOU,Undefined,4,Top,1,0,2,Slider,NA,InPlay,Undefined,Popup,Out,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DUK_BLU,APP_MOU,JackCoombs,D1,ACC,20260217-JackCoombs-1,884e0441-0c4f-11f1-8b27-c974bf0c1568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3c048461-ed98-4b7f-a609-0a6ee6ff7eb6,2026-02-17,22:25:27,2026-02-17T22:25:27Z,2026-02-17T22:25:27Z,NA,v3,471284,471230,eaba674aaec141f5a1b6fd4e0944be04,"Strand, Matthew",1000068590,Right,DUK_BLU,884e0440-0c4f-11f1-8b27-c974bf0c1568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,2026-02-17,17:30:15,1,5,"Stanford, Carter",832418,Right,APP_MOU,"Quagliano, Coltin",812510,Right,DUK_BLU,Undefined,4,Bottom,0,2,2,Fastball,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,87.3608,-1.068861,-2.314394,2362.135817,142.854948,10:45:00,5.81808,1.93257,6.22266,-30.86998,5.85075,-3.43677,2.25844,-0.49047,79.01206,-6.840345,-2.93479,0.436141,75.25278,-49.066932,-87.900481,NA,NA,NA,NA,3.46875,3.46875,-29.381554,0.029166,1.03134,3.74981,-1.75777,50,5.72287,5.25632,-126.71155,-3.34474,1.64783,30.05867,-26.18272,DUK_BLU,APP_MOU,JackCoombs,D1,ACC,20260217-JackCoombs-1,3dfc2dd0-0c50-11f1-8b27-c974bf0c1568,86.42257,2.4395,NA,8.34874,NA,NA,NA,2.94507,2.4395,0.41236,3c048461-ed98-4b7f-a609-0a6ee6ff7eb6,2026-02-17,22:30:15,2026-02-17T22:30:15Z,2026-02-17T22:30:15Z,GroundBall,v3,471284,471230,eaba674aaec141f5a1b6fd4e0944be04,"Denton, Colton",10107048,Right,APP_MOU,f6e3f36b-5b51-41be-addf-86f95a078aea,54.27435,-127.72149,15.02933,5.82048,-2.46503,-13.09136,-1.93344,5.20095,0.82391,NA,2.94503,2.65741,NA,NA,NA,NA,NA,NA,NA,2.44072,-83.64127,NA,NA,NA,NA,NA,NA,NA,0.41341,-72.48818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,2026-02-17,17:30:41,1,6,"Stanford, Carter",832418,Right,APP_MOU,"Quagliano, Coltin",812510,Right,DUK_BLU,Undefined,4,Bottom,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,93.02929,-0.932786,-3.524795,2189.076776,210.181533,01:00:00,5.83714,1.91058,6.15968,-12.52509,20.13048,10.98642,3.92997,-0.43419,83.2094,-3.407371,-1.54862,0.411292,78.79868,21.669787,172.889213,2072.41012,NA,NA,NA,NA,44.63886,NA,NA,-6.73016,10.96264,-1.6476,50,5.75928,7.78764,-134.63592,-2.46568,-12.11731,34.4418,-12.43643,DUK_BLU,APP_MOU,JackCoombs,D1,ACC,20260217-JackCoombs-1,4d1c3fd0-0c50-11f1-8b27-c974bf0c1568,91.64403,18.14277,NA,9.8199,NA,NA,NA,0.14534,3.84864,0.47291,3c048461-ed98-4b7f-a609-0a6ee6ff7eb6,2026-02-17,22:30:41,2026-02-17T22:30:41Z,2026-02-17T22:30:41Z,NA,v3,471284,471230,eaba674aaec141f5a1b6fd4e0944be04,"Denton, Colton",10107048,Right,APP_MOU,f2eab6d1-7492-4ba3-ad23-5b19da927725,54.33151,-135.73946,17.2209,5.8319,-2.0672,-6.21822,-1.90334,8.17589,-6.05866,294.596901,0.14028,-106.42323,10.52614,NA,NA,NA,NA,NA,NA,3.85822,42.38195,-22.25497,NA,NA,NA,NA,NA,NA,0.48071,13.05567,-7.33347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,2026-02-17,17:32:36,2,3,"Stanford, Carter",832418,Right,APP_MOU,"Lambdin, Jake",830145,Right,DUK_BLU,Undefined,4,Bottom,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.02255,-0.656177,-4.725681,2202.48754,201.225192,12:45:00,5.77995,1.99726,6.43153,-14.66446,18.30206,6.64292,3.95277,-1.80218,82.73261,-3.517721,-3.528373,0.413245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.9374,10.05678,-1.66292,50,5.72601,10.72013,-133.12638,-1.87485,-8.72859,32.55369,-14.39514,DUK_BLU,APP_MOU,JackCoombs,D1,ACC,20260217-JackCoombs-1,91ba2ad0-0c50-11f1-8b27-c974bf0c1568,91.21082,NA,NA,9.28994,NA,NA,NA,NA,NA,NA,3c048461-ed98-4b7f-a609-0a6ee6ff7eb6,2026-02-17,22:32:36,2026-02-17T22:32:36Z,2026-02-17T22:32:36Z,NA,v3,471284,471230,eaba674aaec141f5a1b6fd4e0944be04,"Denton, Colton",10107048,Right,APP_MOU,39d41d61-aa8c-472a-865d-6fbdd6fb0819,54.06148,-134.11587,16.27685,5.77635,-1.43731,-7.19757,-1.9928,10.98544,-4.36429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,2026-02-17,17:32:54,2,4,"Stanford, Carter",832418,Right,APP_MOU,"Lambdin, Jake",830145,Right,DUK_BLU,Undefined,4,Bottom,1,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,91.67677,-2.776105,-3.628991,2245.863101,199.823378,12:45:00,5.81864,2.05914,6.07552,-12.5167,21.12619,7.16741,2.19977,-0.70585,82.55284,-5.23088,-2.342375,0.417463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.82587,12.09284,-1.78174,50,5.59657,8.09609,-132.60927,-6.72945,-8.46751,32.2331,-10.95588,DUK_BLU,APP_MOU,JackCoombs,D1,ACC,20260217-JackCoombs-1,9c5c2ec0-0c50-11f1-8b27-c974bf0c1568,90.28926,NA,NA,9.12393,NA,NA,NA,NA,NA,NA,3c048461-ed98-4b7f-a609-0a6ee6ff7eb6,2026-02-17,22:32:54,2026-02-17T22:32:54Z,2026-02-17T22:32:54Z,NA,v3,471284,471230,eaba674aaec141f5a1b6fd4e0944be04,"Denton, Colton",10107048,Right,APP_MOU,7e12f415-4f1d-48da-85a2-9890c8776666,54.41876,-133.67901,16.11655,5.81387,-6.36585,-5.47794,-2.0551,8.37711,-4.23375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,2026-02-17,17:33:13,2,5,"Stanford, Carter",832418,Right,APP_MOU,"Lambdin, Jake",830145,Right,DUK_BLU,Undefined,4,Bottom,1,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,92.53624,-2.131303,-3.695939,2183.049439,214.243674,01:15:00,5.78924,1.99976,6.25942,-16.44647,16.10737,10.19552,2.44852,-0.5632,83.86641,-5.284927,-1.858552,0.410651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.35618,9.31186,-1.72996,50,5.62262,8.21858,-134.03978,-5.45536,-11.46882,31.19652,-15.37216,DUK_BLU,APP_MOU,JackCoombs,D1,ACC,20260217-JackCoombs-1,a7c0e670-0c50-11f1-8b27-c974bf0c1568,91.78715,NA,NA,8.66982,NA,NA,NA,NA,NA,NA,3c048461-ed98-4b7f-a609-0a6ee6ff7eb6,2026-02-17,22:33:13,2026-02-17T22:33:13Z,2026-02-17T22:33:13Z,NA,v3,471284,471230,eaba674aaec141f5a1b6fd4e0944be04,"Denton, Colton",10107048,Right,APP_MOU,45a64804-03d5-4412-85ce-4c566a4fbdab,54.23588,-135.02205,15.59826,5.78677,-4.97135,-7.68608,-1.99441,8.57969,-5.73441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
