player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,2026-02-20,16:44:40,1,4,"Weygandt, Coop",1000251772,Right,VCU_RAM,"Pado, Blagen",831305,Right,COA_CHA,Undefined,2,Bottom,0,3,0,Undefined,NA,BallCalled,Walk,Undefined,Undefined,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COA_CHA,VCU_RAM,SpringsBrooksStadium,D1,SBELT,20260220-SpringsBrooksStadium-2,e8631780-0f29-11f1-8e66-071d087de500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ac2d8589-c2a3-40c4-b9e8-7b6b730f5a90,2026-02-20,21:44:40,2026-02-20T21:44:40Z,2026-02-20T21:44:40Z,NA,v3,4104,471479,345756f83d1646c0b698a58d5243b2cc,"Lethert, Teige",1000133703,Right,VCU_RAM,dd464c2c-c89c-4c77-a472-317219a798e4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,2026-02-20,16:44:58,2,1,"Weygandt, Coop",1000251772,Right,VCU_RAM,"Tozzi, Domenico",831301,Right,COA_CHA,Undefined,2,Bottom,0,0,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,79.55347,2.665079,-4.574119,2061.251418,266.03869,02:45:00,2.85224,3.16641,6.22178,-41.66652,2.69862,16.41245,1.84881,0.30447,71.72628,-5.109756,-1.624982,0.479394,82.54514,-18.509292,-65.06518,NA,NA,NA,NA,6.70181,5.80608,-51.464225,0.048033,-9.94938,0.9924,-2.83164,50,3.03174,8.6096800000000009,-115.0838,4.13853,-13.17588,23.85906,-30.85983,COA_CHA,VCU_RAM,SpringsBrooksStadium,D1,SBELT,20260220-SpringsBrooksStadium-2,66bdbf20-0ea5-11f1-b163-8f8066f764a1,78.62524,1.84948,NA,7.82718,NA,NA,NA,1.84618,1.84948,-0.2327,ac2d8589-c2a3-40c4-b9e8-7b6b730f5a90,2026-02-20,21:44:58,2026-02-20T21:44:58Z,2026-02-20T21:44:58Z,GroundBall,v3,4104,471479,345756f83d1646c0b698a58d5243b2cc,"Lethert, Teige",1000133703,Right,VCU_RAM,71f5f814-955c-45e7-9814-f1411f31743e,54.27743,-115.9672,11.92953,2.85735,5.28115,-15.42992,-3.15946,9.09753,-6.58794,180,1.84549,48.48936,NA,NA,NA,NA,NA,NA,NA,1.85003,-38.50464,NA,NA,NA,NA,NA,NA,NA,-0.23121,-104.29536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.39024,18.91358,-13.41301
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,2026-02-20,16:45:41,2,2,"Weygandt, Coop",1000251772,Right,VCU_RAM,"Tozzi, Domenico",831301,Right,COA_CHA,Undefined,2,Bottom,0,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,68.09488,5.294423,-1.835588,2186.493045,83.284466,08:45:00,3.0433,2.82231,5.5269,-62.70377,0.63362,-15.61792,2.78419,-0.19578,60.57644,-6.285789,-4.607,0.572798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.11166,-0.82201,-2.65224,50,3.46418,3.69967,-98.13414,7.29492,6.73436,19.7162,-32.95246,COA_CHA,VCU_RAM,SpringsBrooksStadium,D1,SBELT,20260220-SpringsBrooksStadium-2,807a2fc0-0ea5-11f1-b163-8f8066f764a1,65.80406,NA,NA,7.51844,NA,NA,NA,NA,NA,NA,ac2d8589-c2a3-40c4-b9e8-7b6b730f5a90,2026-02-20,21:45:41,2026-02-20T21:45:41Z,2026-02-20T21:45:41Z,NA,v3,4104,471479,345756f83d1646c0b698a58d5243b2cc,"Lethert, Teige",1000133703,Right,VCU_RAM,5200679e-3a3d-4db7-bcdb-de08ec0aab7e,54.968,-99.12724,9.8581,3.05493,8.95473,-16.47623,-2.83005,3.36046,3.36718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,2026-02-20,16:46:01,2,3,"Weygandt, Coop",1000251772,Right,VCU_RAM,"Tozzi, Domenico",831301,Right,COA_CHA,Undefined,2,Bottom,0,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,70.07521,3.655035,-4.018812,2381.914968,101.875461,09:30:00,3.12231,2.87778,5.75543,-53.8483,5.18197,-14.16776,2.05032,-2.04999,62.83759,-6.324216,-6.535422,0.552979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.71981,2.04677,-2.53556,50,3.3947,7.60063,-101.08075,4.96057,5.77087,20.28782,-30.10902,COA_CHA,VCU_RAM,SpringsBrooksStadium,D1,SBELT,20260220-SpringsBrooksStadium-2,8bfa37a0-0ea5-11f1-b163-8f8066f764a1,68.16248,NA,NA,7.23762,NA,NA,NA,NA,NA,NA,ac2d8589-c2a3-40c4-b9e8-7b6b730f5a90,2026-02-20,21:46:01,2026-02-20T21:46:01Z,2026-02-20T21:46:01Z,NA,v3,4104,471479,345756f83d1646c0b698a58d5243b2cc,"Lethert, Teige",1000133703,Right,VCU_RAM,f1cf17b2-19fe-4347-9ffb-9fa3f2fbbc12,54.73887,-102.02745,10.14391,3.13044,6.36556,-15.05451,-2.88395,7.33135,2.88543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,2026-02-20,16:46:20,2,4,"Weygandt, Coop",1000251772,Right,VCU_RAM,"Tozzi, Domenico",831301,Right,COA_CHA,Undefined,2,Bottom,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,71.3921,3.165915,-6.245243,2319.491386,96.534577,09:15:00,4.0212,2.75118,6.04788,-53.16495,3.11508,-9.64508,2.54218,-3.85719,64.41633,-6.671557,-7.956991,0.539944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79473,1.22158,-2.25848,50,4.24179,11.58189,-102.78184,4.25055,2.93095,20.15063,-30.89293,COA_CHA,VCU_RAM,SpringsBrooksStadium,D1,SBELT,20260220-SpringsBrooksStadium-2,97996040-0ea5-11f1-b163-8f8066f764a1,69.808090000000007,NA,NA,6.97577,NA,NA,NA,NA,NA,NA,ac2d8589-c2a3-40c4-b9e8-7b6b730f5a90,2026-02-20,21:46:20,2026-02-20T21:46:20Z,2026-02-20T21:46:20Z,NA,v3,4104,471479,345756f83d1646c0b698a58d5243b2cc,"Lethert, Teige",1000133703,Right,VCU_RAM,c9b3bfa1-bc2f-4ce5-931d-d7e44daaae83,54.44684,-103.64998,10.07532,4.03,5.58151,-15.44647,-2.75474,11.45561,1.46548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,2026-02-20,16:46:45,2,5,"Weygandt, Coop",1000251772,Right,VCU_RAM,"Tozzi, Domenico",831301,Right,COA_CHA,Undefined,2,Bottom,0,2,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,68.81987,4.245022,-1.675518,2232.911511,101.8617,09:30:00,3.12355,3.03104,5.41009,-56.94936,4.63752,-11.29989,2.3639,0.51915,61.76213,-6.254227,-3.678889,0.564827,79.95504,82.248954,-62.9218,NA,NA,NA,NA,NA,46.21236,NA,NA,5.11894,1.49543,-2.87363,50,3.46258,3.30291,-99.40677,5.73566,5.01514,19.03867,-30.70892,COA_CHA,VCU_RAM,SpringsBrooksStadium,D1,SBELT,20260220-SpringsBrooksStadium-2,a6450590-0ea5-11f1-b163-8f8066f764a1,66.7327,107.4317,NA,7.05774,NA,NA,NA,2.44732,2.47505,-0.58508,ac2d8589-c2a3-40c4-b9e8-7b6b730f5a90,2026-02-20,21:46:45,2026-02-20T21:46:45Z,2026-02-20T21:46:45Z,NA,v3,4104,471479,345756f83d1646c0b698a58d5243b2cc,"Lethert, Teige",1000133703,Right,VCU_RAM,334fb2f8-f114-4e0a-af86-bf9c027af4a7,55.08683,-100.37629,9.51934,3.13069,7.29947,-15.35446,-3.03532,3.04752,2.50757,NA,2.44735,7.1942,-10.20506,2.96217,0.42783,-1.3929,1.07915,-0.39156,0.052,2.47504,116.19603,-29.74539,3.84081,-0.81356,0.24279,-0.10195,0.03523,-0.00601,-0.58509,-14.07984,5.73488,-1.52543,-0.14516,0.59187,-0.46264,0.16773,-0.02214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,2026-02-20,16:47:23,2,6,"Weygandt, Coop",1000251772,Right,VCU_RAM,"Tozzi, Domenico",831301,Right,COA_CHA,Undefined,2,Bottom,0,2,2,ChangeUp,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,84.22805,3.044672,-3.166295,2104.376488,272.26452,03:00:00,3.67502,2.85688,6.427,-38.62856,0.62697,19.47891,3.26139,1.56688,75.72131,-4.197057,0.356773,0.450943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.29512,-0.33244,-2.64001,50,3.87488,6.03741,-122.05836,5.33167,-16.7642,27.65071,-32.66745,COA_CHA,VCU_RAM,SpringsBrooksStadium,D1,SBELT,20260220-SpringsBrooksStadium-2,bd44c730-0ea5-11f1-b163-8f8066f764a1,83.58578,NA,NA,8.50674,NA,NA,NA,NA,NA,NA,ac2d8589-c2a3-40c4-b9e8-7b6b730f5a90,2026-02-20,21:47:23,2026-02-20T21:47:23Z,2026-02-20T21:47:23Z,NA,v3,4104,471479,345756f83d1646c0b698a58d5243b2cc,"Lethert, Teige",1000133703,Right,VCU_RAM,4b7850d1-9c24-482b-a686-edb8c2e92f65,54.07365,-122.97773,13.82535,3.67955,6.41784,-16.33373,-2.85002,6.59482,-8.3821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,2026-02-20,16:48:37,3,1,"Weygandt, Coop",1000251772,Right,VCU_RAM,"Mihos, Dean",811763,Right,COA_CHA,Undefined,2,Bottom,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,77.73731,4.2103,-6.24737,2028.272784,267.854921,03:00:00,3.0208,2.89002,6.52029,-43.86813,2.11276,15.7028,3.25823,-1.5563,70.31591,-3.975034,-3.426845,0.488045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.93634,0.39606,-2.45938,50,3.29778,11.71565,-112.0785,7.07729,-12.58832,21.01443,-31.67229,COA_CHA,VCU_RAM,SpringsBrooksStadium,D1,SBELT,20260220-SpringsBrooksStadium-2,e8f43ff0-0ea5-11f1-b163-8f8066f764a1,77.23144,NA,NA,7.4214,NA,NA,NA,NA,NA,NA,ac2d8589-c2a3-40c4-b9e8-7b6b730f5a90,2026-02-20,21:48:37,2026-02-20T21:48:37Z,2026-02-20T21:48:37Z,NA,v3,4104,471479,345756f83d1646c0b698a58d5243b2cc,"Lethert, Teige",1000133703,Right,VCU_RAM,ace90fcb-9570-43e2-b3c9-70545b89a810,53.97829,-112.82195,10.50721,3.02758,8.1978,-15.83615,-2.88174,12.161,-6.29416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,2026-02-20,16:48:57,3,2,"Weygandt, Coop",1000251772,Right,VCU_RAM,"Mihos, Dean",811763,Right,COA_CHA,Undefined,2,Bottom,0,1,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,77.59069,4.808807,-5.67248,2006.481458,280.833522,03:15:00,2.91736,3.14673,6.5776,-47.99534,-1.61142,17.04489,3.35721,-0.64884,69.61501,-4.158945,-2.602477,0.49018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.74131,-1.92071,-2.76312,50,3.22979,10.53235,-111.86505,8.13066,-13.43019,22.6793,-34.5756,COA_CHA,VCU_RAM,SpringsBrooksStadium,D1,SBELT,20260220-SpringsBrooksStadium-2,f53cc7f0-0ea5-11f1-b163-8f8066f764a1,76.89517,NA,NA,7.97569,NA,NA,NA,NA,NA,NA,ac2d8589-c2a3-40c4-b9e8-7b6b730f5a90,2026-02-20,21:48:57,2026-02-20T21:48:57Z,2026-02-20T21:48:57Z,NA,v3,4104,471479,345756f83d1646c0b698a58d5243b2cc,"Lethert, Teige",1000133703,Right,VCU_RAM,5ca865ba-d473-4d1a-80c6-5930cdbecedf,53.92249,-112.65748,11.33965,2.92459,9.33875,-17.2878,-3.13933,11.0016,-6.7151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,2026-02-20,16:49:26,3,3,"Weygandt, Coop",1000251772,Right,VCU_RAM,"Mihos, Dean",811763,Right,COA_CHA,Undefined,2,Bottom,0,1,1,ChangeUp,Changeup,InPlay,Undefined,Bunt,Sacrifice,1,0,NA,75.62275,5.132069,-4.053389,1983.801949,275.976966,03:15:00,2.96009,2.99252,6.67229,-48.87755,-0.23213,19.07769,3.6065,0.86783,67.65714,-4.053775,-0.597557,0.501987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.31619,-1.27811,-2.72741,50,3.28657,7.10248,-109.20825,8.5388,-13.43346,22.29093,-33.6913,COA_CHA,VCU_RAM,SpringsBrooksStadium,D1,SBELT,20260220-SpringsBrooksStadium-2,06927ea0-0ea6-11f1-b163-8f8066f764a1,75.0865,NA,NA,7.96561,NA,NA,NA,NA,NA,NA,ac2d8589-c2a3-40c4-b9e8-7b6b730f5a90,2026-02-20,21:49:26,2026-02-20T21:49:26Z,2026-02-20T21:49:26Z,NA,v3,4104,471479,345756f83d1646c0b698a58d5243b2cc,"Lethert, Teige",1000133703,Right,VCU_RAM,3def4258-d377-46a4-a2d9-a3f8e4f101a7,53.82671,-109.98656,11.14547,2.96789,9.71517,-16.84565,-2.98359,7.57153,-6.71673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
