player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2026-02-21,14:10:24,3,5,"Nelson, Jack",1000077131,Left,ASU_RED,"Love, James",10265024,Right,EIU_PAN,Undefined,1,Top,1,3,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,1,0,NA,87.44627,-2.504938,3.196517,2058.768672,132.994733,10:30:00,5.86062,-1.64617,6.89936,-20.09619,15.76328,-15.46485,1.89909,-0.02007,78.72759,-6.393191,0.371043,0.430996,92.71692,-20.20998,-11.4853,NA,NA,NA,NA,6.78452,6.78452,-8.620545,0.040796,9.2677600000000009,9.60146,1.44906,50,5.69507,-6.51221,-126.76909,-6.0307,14.79379,30.52501,-16.84757,ASU_RED,EIU_PAN,KellField,D1,SBELT,20260221-KellField-1,5bce09f0-0f61-11f1-bae9-2d5242651223,87.45425,1.91941,NA,8.71868,NA,NA,NA,1.59828,1.91941,0.02126,7f01e0ae-66c7-429b-ab8b-a71b19a49790,2026-02-21,20:10:24,2026-02-21T20:10:24Z,2026-02-21T20:10:24Z,GroundBall,v3,471233,471287,5eea215ab2cc4a649354883472027ed5,"Manuel, Cole",1000117578,Right,ASU_RED,6754ac5f-7b14-40ef-903e-d91d8e011b32,53.59953,-127.63289,15.2625,5.85898,-5.55394,-8.42378,1.63926,-6.93085,7.39689,NA,1.59703,125.24718,NA,NA,NA,NA,NA,NA,NA,1.91988,-47.04887,NA,NA,NA,NA,NA,NA,NA,0.02152,-25.44836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2026-02-21,14:14:27,1,1,"Solis, Anthony",1000530534,Right,EIU_PAN,"Quiller, Ashton",1000276335,Right,ASU_RED,Undefined,1,Bottom,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,90.42127,-2.510595,-3.60432,1869.166964,224.774013,01:30:00,6.45931,0.61944,5.29394,-16.5356,19.25903,17.72658,2.71783,-1.29211,80.96643,-5.668125,-0.465106,0.430606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.99997,10.83477,-0.30423,50,6.21884,7.38268,-130.59473,-6.24836,-16.93696,32.44705,-13.82315,ASU_RED,EIU_PAN,KellField,D1,SBELT,20260221-KellField-1,ec7522e0-0f61-11f1-bae9-2d5242651223,87.53342,NA,NA,9.45484,NA,NA,NA,NA,NA,NA,7f01e0ae-66c7-429b-ab8b-a71b19a49790,2026-02-21,20:14:27,2026-02-21T20:14:27Z,2026-02-21T20:14:27Z,NA,v3,471233,471287,5eea215ab2cc4a649354883472027ed5,"Melton, Luke",1000217603,Right,EIU_PAN,64ca477c-d943-4ab1-892d-a95782beb7d9,55.20297,-131.8811,16.22352,6.4557,-5.70034,-6.91157,-0.61023,8.05415,-8.46848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2026-02-21,14:14:41,1,2,"Solis, Anthony",1000530534,Right,EIU_PAN,"Quiller, Ashton",1000276335,Right,ASU_RED,Undefined,1,Bottom,0,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.6305,-3.976213,-3.588199,1814.695564,226.382674,01:30:00,6.45209,0.49259,5.34681,-19.91237,17.30367,16.65221,1.04958,-1.48997,79.74122,-7.717056,-0.634579,0.439073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.45524,10.37288,-0.18103,50,6.07892,7.24811,-127.86036,-9.55079,-15.38263,30.60336,-15.29852,ASU_RED,EIU_PAN,KellField,D1,SBELT,20260221-KellField-1,f52f2cf0-0f61-11f1-bae9-2d5242651223,85.84553,NA,NA,8.88928,NA,NA,NA,NA,NA,NA,7f01e0ae-66c7-429b-ab8b-a71b19a49790,2026-02-21,20:14:41,2026-02-21T20:14:41Z,2026-02-21T20:14:41Z,NA,v3,471233,471287,5eea215ab2cc4a649354883472027ed5,"Melton, Luke",1000217603,Right,EIU_PAN,686f2ca9-0791-4cdd-9f5a-512f1155def6,55.15013,-129.08715,15.30168,6.44949,-8.93752,-7.64926,-0.48394,7.86476,-7.69131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2026-02-21,14:14:56,1,3,"Solis, Anthony",1000530534,Right,EIU_PAN,"Quiller, Ashton",1000276335,Right,ASU_RED,Undefined,1,Bottom,0,1,1,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,91.18751,-2.059522,-1.959031,1772.765299,222.055348,01:30:00,6.55505,0.53485,5.0824,-17.28942,17.71843,14.87375,3.17089,-0.07306,82.54398,-5.310829,0.669794,0.425847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.94028,9.76473,-0.36142,50,6.34686,3.7954,-132.02877,-5.3411,-13.8924,30.41745,-15.08961,ASU_RED,EIU_PAN,KellField,D1,SBELT,20260221-KellField-1,fdf9ffe0-0f61-11f1-bae9-2d5242651223,88.51162,NA,NA,8.64353,NA,NA,NA,NA,NA,NA,7f01e0ae-66c7-429b-ab8b-a71b19a49790,2026-02-21,20:14:56,2026-02-21T20:14:56Z,2026-02-21T20:14:56Z,NA,v3,471233,471287,5eea215ab2cc4a649354883472027ed5,"Melton, Luke",1000217603,Right,EIU_PAN,d17508dc-aec3-4fae-98cb-7b66ca56e333,55.41593,-133.27068,15.20873,6.55236,-4.72501,-7.5448,-0.52796,4.36261,-6.9462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2026-02-21,14:15:15,1,4,"Solis, Anthony",1000530534,Right,EIU_PAN,"Quiller, Ashton",1000276335,Right,ASU_RED,Undefined,1,Bottom,0,1,2,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,80.69981,-1.463797,-1.021337,2286.732127,87.49518,09:00:00,6.31976,0.68429,4.76092,-44.21203,1.24665,-8.7793,1.24686,-1.01591,73.35375,-9.433239,-2.567826,0.485266,84.99256,-24.719527,-14.680163,NA,NA,NA,NA,6.10854,4.72417,1.37417,0.029038,4.01351,1.50571,-0.57356,50,6.13409,2.46028,-116.82809,-4.64115,5.45751,25.3215,-30.12659,ASU_RED,EIU_PAN,KellField,D1,SBELT,20260221-KellField-1,0963e7b0-0f62-11f1-bae9-2d5242651223,77.6738,1.51589,NA,7.34606,NA,NA,NA,2.92146,1.51589,0.98097,7f01e0ae-66c7-429b-ab8b-a71b19a49790,2026-02-21,20:15:15,2026-02-21T20:15:15Z,2026-02-21T20:15:15Z,GroundBall,v3,471233,471287,5eea215ab2cc4a649354883472027ed5,"Melton, Luke",1000217603,Right,EIU_PAN,34187871-1975-4a29-b34c-1aec73dd817b,55.73935,-118.06549,12.66075,6.32492,-3.16893,-15.0633,-0.68727,2.19358,2.72876,NA,2.92071,109.69659,NA,NA,NA,NA,NA,NA,NA,1.51624,-52.20428,NA,NA,NA,NA,NA,NA,NA,0.98116,-28.73777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2026-02-21,14:15:50,2,1,"Solis, Anthony",1000530534,Right,EIU_PAN,"Walton, Lane",10296541,Left,ASU_RED,Undefined,1,Bottom,1,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,92.71598,-1.788863,-2.461073,1917.182451,228.17945,01:30:00,6.42789,0.73802,5.27124,-16.37489,17.3445,18.02914,3.38085,-0.07278,83.64652,-4.891515,0.73523,0.417937,73.3935,28.269334,-144.445311,3407.40376,-94.45493,28.43994,-56.37522,181.13038,82.47717,-152.911024,2.354352,-9.84477,9.60016,-0.52702,50,6.2528,4.92153,-134.26449,-4.74708,-17.74294,32.51023,-14.87198,ASU_RED,EIU_PAN,KellField,D1,SBELT,20260221-KellField-1,1db68ab0-0f62-11f1-bae9-2d5242651223,90.1868,29.61103,NA,9.06946,NA,NA,NA,1.46698,3.32363,0.14332,7f01e0ae-66c7-429b-ab8b-a71b19a49790,2026-02-21,20:15:50,2026-02-21T20:15:50Z,2026-02-21T20:15:50Z,FlyBall,v3,471233,471287,5eea215ab2cc4a649354883472027ed5,"Melton, Luke",1000217603,Right,EIU_PAN,f5defc66-a5f8-4c37-a225-7cab7f2d28da,55.22923,-135.52476,16.25512,6.42565,-4.17057,-7.43599,-0.73114,5.60934,-8.87147,44.898972,1.46701,-77.13165,5.07906,-1.14531,0.39228,-0.22148,0.10966,-0.03086,0.00353,3.32361,50.98273,-27.85032,3.71687,-0.92258,0.2642,-0.08244,0.01913,-0.00199,0.14333,-55.12742,11.82706,-2.19881,0.50211,-0.11396,0.02679,-0.00439,3.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,2026-02-21,14:16:07,2,2,"Solis, Anthony",1000530534,Right,EIU_PAN,"Walton, Lane",10296541,Left,ASU_RED,Undefined,1,Bottom,1,0,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,84.58693,-1.324814,-1.722154,1831.854542,250.418652,02:15:00,6.04152,1.034,5.45761,-32.45892,8.87646,19.82599,2.09567,1.07358,74.62164,-7.384651,1.811196,0.462735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.52083,5.52933,-0.89564,50,5.90332,2.78322,-122.17877,-3.93721,-15.25488,33.19674,-24.15667,ASU_RED,EIU_PAN,KellField,D1,SBELT,20260221-KellField-1,28550c30-0f62-11f1-bae9-2d5242651223,81.45576,NA,NA,9.96529,NA,NA,NA,NA,NA,NA,7f01e0ae-66c7-429b-ab8b-a71b19a49790,2026-02-21,20:16:07,2026-02-21T20:16:07Z,2026-02-21T20:16:07Z,NA,v3,471233,471287,5eea215ab2cc4a649354883472027ed5,"Melton, Luke",1000217603,Right,EIU_PAN,cc292959-1676-45f5-b3f3-2ef1ac3ed883,55.03536,-123.53934,16.59837,6.0444,-2.94716,-12.07834,-1.02252,3.40844,-7.62744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,2026-02-21,14:16:24,2,3,"Solis, Anthony",1000530534,Right,EIU_PAN,"Walton, Lane",10296541,Left,ASU_RED,Undefined,1,Bottom,1,0,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,94.13524,-2.842282,-1.028261,1945.547735,228.067885,01:30:00,6.36816,0.81532,5.14081,-17.00347,16.31359,16.67851,2.27222,1.23686,84.00879,-6.057043,1.924774,0.415437,85.62684,15.318116,-55.750901,3014.570163,57.15808,16.27017,-93.98377,182.85788,182.85788,-61.118741,1.948026,-8.65591,9.49174,-0.73252,50,6.08938,1.61461,-136.05679,-7.34608,-15.80569,37.04498,-14.84213,ASU_RED,EIU_PAN,KellField,D1,SBELT,20260221-KellField-1,3276e3a0-0f62-11f1-bae9-2d5242651223,90.72971,16.60465,NA,10.12644,NA,NA,NA,0.89202,2.24845,-1.11824,7f01e0ae-66c7-429b-ab8b-a71b19a49790,2026-02-21,20:16:24,2026-02-21T20:16:24Z,2026-02-21T20:16:24Z,LineDrive,v3,471233,471287,5eea215ab2cc4a649354883472027ed5,"Melton, Luke",1000217603,Right,EIU_PAN,1609f0f1-e1d1-497f-bc87-905eb4b1bbd6,55.35645,-137.50748,18.52249,6.36567,-6.76486,-7.42106,-0.80787,2.23356,-7.90284,NA,0.89202,68.16774,-17.11011,3.80154,-0.8568,0.19022,-0.03441,0.00304,1e-4,2.24845,33.17707,-21.04083,2.58501,-0.65034,0.20188,-0.08062,0.02619,-0.00396,-1.11824,-100.12116,13.79122,-3.14586,0.7056,-0.1684,0.03897,-0.00692,6.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2026-02-21,14:16:43,2,4,"Solis, Anthony",1000530534,Right,EIU_PAN,"Walton, Lane",10296541,Left,ASU_RED,Undefined,1,Bottom,1,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,91.15299,0.138298,-1.79206,1930.859988,238.960847,02:00:00,6.31587,0.93753,5.02957,-22.18332,12.90414,19.41324,4.59781,0.86382,82.33974,-3.986226,1.635669,0.426331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.0828,6.69811,-0.78219,50,6.31189,3.17643,-132.05913,-0.51039,-17.62996,30.71341,-20.46228,ASU_RED,EIU_PAN,KellField,D1,SBELT,20260221-KellField-1,3dd1b040-0f62-11f1-bae9-2d5242651223,88.41113,NA,NA,8.81325,NA,NA,NA,NA,NA,NA,7f01e0ae-66c7-429b-ab8b-a71b19a49790,2026-02-21,20:16:43,2026-02-21T20:16:43Z,2026-02-21T20:16:43Z,NA,v3,471233,471287,5eea215ab2cc4a649354883472027ed5,"Melton, Luke",1000217603,Right,EIU_PAN,2f6edf91-cc43-46d4-85de-2b1cb9245315,55.46877,-133.32496,15.3567,6.31554,0.33294,-10.23114,-0.92807,3.9030300000000002,-8.81498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,2026-02-21,14:16:58,2,5,"Solis, Anthony",1000530534,Right,EIU_PAN,"Walton, Lane",10296541,Left,ASU_RED,Undefined,1,Bottom,1,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,85.46228,-0.92589,-1.376206,1880.957534,264.830509,02:45:00,6.09899,1.13217,5.41655,-36.23041,3.83225,24.57678,2.21207,1.89074,76.33937,-7.610409,3.002877,0.455556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.70083,2.77847,-1.0269,50,5.99218,1.86425,-123.68098,-3.31417,-19.08682,31.51709,-27.99857,ASU_RED,EIU_PAN,KellField,D1,SBELT,20260221-KellField-1,46ab7750-0f62-11f1-bae9-2d5242651223,82.73948,NA,NA,9.12291,NA,NA,NA,NA,NA,NA,7f01e0ae-66c7-429b-ab8b-a71b19a49790,2026-02-21,20:16:58,2026-02-21T20:16:58Z,2026-02-21T20:16:58Z,NA,v3,471233,471287,5eea215ab2cc4a649354883472027ed5,"Melton, Luke",1000217603,Right,EIU_PAN,b7bf6546-2bd4-4b90-974e-ec1353f58f87,55.08036,-124.96889,15.75855,6.10423,-2.17005,-13.99929,-1.11901,2.6442,-9.54341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.79287,NA,NA,1.059741,NA,NA,NA,1.29328,4.76216,-4.61284,83.33505,8.95158,-41.47489,1.33156,83.14986,-5.46136,4.81016,20.51361,-15.69233,-4.65388,-39.37685,4.38915,High,High,High,NA,NA,High,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
