player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-02-21,13:58:14,1,1,"Manti, Reid",10274359,Right,RHO_COL,"Girvan, Josh",10005028,Right,FRA_COL,Undefined,1,Top,0,0,0,TwoSeamFastBall,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,83.73869,0.088616,-3.289306,2114.249692,227.295002,01:30:00,4.82346,2.16332,6.82633,-26.08139,11.88123,11.75717,2.73099,0.13912,77.60045,-4.841725,-1.146097,0.443455,79.51758,7.801881,-21.431415,835.169205,NA,NA,NA,111.27157,109.92569,-23.963046,1.087065,-7.06689,6.61347,-1.95562,50,4.81921,6.61066,-121.82689,-0.48679,-10.76885,20.80692,-22.0962,RHO_COL,FRA_COL,StaufferField,D3,Team,20260221-StaufferField-2,a8692990-0f5f-11f1-941a-c91b01a2e409,84.99721,6.29695,NA,6.13824,NA,NA,NA,2.05411,2.75849,-0.14026,e636df40-fe80-444c-9628-e2ae16fe2ce7,2026-02-21,19:58:14,2026-02-21T19:58:14Z,2026-02-21T19:58:14Z,GroundBall,v3,NA,NA,NA,"Bowman, Jeremiah",10184937,Right,RHO_COL,4d16cf02-fd87-4d0b-acf9-c8013770cac7,53.67929,-122.45367,10.40346,4.82385,0.17882,-11.0481,-2.15964,6.93506,-5.38442,92.082425,2.05411,107.55668,-17.30971,3.03822,-0.62045,0.09564,-0.01486,0.00218,-1.9e-4,2.75849,15.8317,-18.37779,1.60196,-0.27322,0.05565,-0.00872,0.00143,-1.8e-4,-0.14026,-42.21905,-0.29522,1.30919,-0.46096,0.12643,-0.02857,0.00533,-5.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-02-21,13:58:50,2,1,"Manti, Reid",10274359,Right,RHO_COL,"Redmon, Dyllan",10020931,Right,FRA_COL,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,77.10055,0.906853,-3.077625,2395.718586,113.845692,09:45:00,4.47806,2.34928,6.50649,-42.13719,3.64622,-5.21744,1.80023,-0.91297,71.15866,-6.936983,-4.022569,0.486996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90874,2.10118,-2.13189,50,4.52341,6.197,-112.01973,0.62009,2.43459,19.51307,-29.49398,RHO_COL,FRA_COL,StaufferField,D3,Team,20260221-StaufferField-2,bd8c3bf0-0f5f-11f1-941a-c91b01a2e409,77.39782,NA,NA,5.94189,NA,NA,NA,NA,NA,NA,e636df40-fe80-444c-9628-e2ae16fe2ce7,2026-02-21,19:58:50,2026-02-21T19:58:50Z,2026-02-21T19:58:50Z,NA,v3,NA,NA,NA,"Bowman, Jeremiah",10184937,Right,RHO_COL,6ea4bd23-f6cc-49bd-8213-e8aee7bb4d14,53.99719,-112.71386,9.75654,4.48269,1.66927,-14.74699,-2.3508,6.1104,1.2173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-02-21,13:59:06,2,2,"Manti, Reid",10274359,Right,RHO_COL,"Redmon, Dyllan",10020931,Right,FRA_COL,Undefined,1,Top,1,0,1,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,73.30136,1.140026,-1.885443,2376.458989,102.34224,09:30:00,4.73553,2.20305,6.28866,-47.70625,2.73299,-6.52122,1.8114,-0.07869,68.4704,-7.666243,-3.0641,0.511159,96.99249,16.024322,-42.557253,2823.935913,75.47366,19.39806,-80.02262,213.77272,167.44865,-52.066745,2.023581,2.98382,1.50886,-2.06085,50,4.79603,3.71611,-106.68988,0.83465,3.49137,15.74654,-30.40851,RHO_COL,FRA_COL,StaufferField,D3,Team,20260221-StaufferField-2,c7652380-0f5f-11f1-941a-c91b01a2e409,73.73922,19.41696,NA,4.83096,NA,NA,NA,1.7444,1.78607,0.0505,e636df40-fe80-444c-9628-e2ae16fe2ce7,2026-02-21,19:59:06,2026-02-21T19:59:06Z,2026-02-21T19:59:06Z,LineDrive,v3,NA,NA,NA,"Bowman, Jeremiah",10184937,Right,RHO_COL,c392f357-c7d0-4d26-b0ec-9ac8964c6583,54.21783,-107.31058,7.87327,4.7395,2.03332,-15.20426,-2.20462,3.57848,1.74569,NA,1.74439,100.71879,-26.20939,6.32494,-2.63725,1.80973,-0.94847,0.27047,-0.03155,1.78607,39.26726,-24.41151,3.27459,-0.40523,-0.3606,0.30227,-0.09704,0.01188,0.05049,-92.46832,5.82593,-0.61304,-1.00204,1.49785,-0.93043,0.28057,-0.03357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-02-21,13:59:29,2,3,"Manti, Reid",10274359,Right,RHO_COL,"Redmon, Dyllan",10020931,Right,FRA_COL,Undefined,1,Top,1,0,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,76.55304,1.018621,-2.580437,2313.266347,115.934728,09:45:00,4.38656,2.35833,6.26686,-42.49384,4.05638,-5.71603,1.78564,-0.49881,71.05177,-6.846206,-3.611822,0.491057,100.23478,-49.724832,-70.846941,NA,NA,NA,NA,2.62826,2.10717,-23.63397,0.01875,2.34689,2.22583,-2.16427,50,4.44109,5.20677,-111.30726,0.78117,2.97433,18.07036,-29.35315,RHO_COL,FRA_COL,StaufferField,D3,Team,20260221-StaufferField-2,d5390670-0f5f-11f1-941a-c91b01a2e409,76.7577,2.10621,NA,5.50127,NA,NA,NA,1.82229,2.10621,0.63219,e636df40-fe80-444c-9628-e2ae16fe2ce7,2026-02-21,19:59:29,2026-02-21T19:59:29Z,2026-02-21T19:59:29Z,GroundBall,v3,NA,NA,NA,"Bowman, Jeremiah",10184937,Right,RHO_COL,4ce8b392-5119-4a97-bcfc-61e00feb8672,54.23844,-111.99325,9.03518,4.39028,1.89547,-14.67658,-2.35978,5.09386,1.48716,NA,1.82215,31.22749,NA,NA,NA,NA,NA,NA,NA,2.10672,-112.32967,NA,NA,NA,NA,NA,NA,NA,0.6326,-89.91024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-02-21,13:59:51,2,4,"Manti, Reid",10274359,Right,RHO_COL,"Redmon, Dyllan",10020931,Right,FRA_COL,Undefined,1,Top,1,0,2,FourSeamFastBall,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,85.74618,0.477762,-2.077192,2108.896132,210.779163,01:00:00,4.82324,2.14805,6.66435,-21.76733,15.87009,8.61166,3.44678,0.96407,76.77054,-3.73499,-0.510485,0.441551,53.9454,-6.627185,150.033694,5104.592615,NA,NA,NA,24.723020000000002,24.723020000000002,152.678542,0.336787,-5.21193,8.58575,-2.01143,50,4.8464,4.18415,-124.39749,0.50035,-7.98996,29.99735,-19.01198,RHO_COL,FRA_COL,StaufferField,D3,Team,20260221-StaufferField-2,e2093500-0f5f-11f1-941a-c91b01a2e409,85.36365,3.63169,NA,8.97564,NA,NA,NA,-0.02823,3.63169,-1.32614,e636df40-fe80-444c-9628-e2ae16fe2ce7,2026-02-21,19:59:51,2026-02-21T19:59:51Z,2026-02-21T19:59:51Z,GroundBall,v3,NA,NA,NA,"Bowman, Jeremiah",10184937,Right,RHO_COL,3789b126-cbd1-40a7-b1d5-a200cd059c5e,53.83448,-125.31873,14.99868,4.82207,1.08423,-9.50599,-2.1437,4.42953,-3.99498,NA,-0.03146,-67.95748,8.43462,NA,NA,NA,NA,NA,NA,3.62965,-9.04924,-5.11424,NA,NA,NA,NA,NA,NA,-1.32438,39.18586,-4.64781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-02-21,14:00:27,3,1,"Manti, Reid",10274359,Right,RHO_COL,"DeHart, Garrett",1000258954,Right,FRA_COL,Undefined,1,Top,1,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,74.62326,2.423551,-1.332419,2272.730529,141.572583,10:45:00,4.35772,2.3585,6.25336,-40.88341,7.98977,-5.3091,3.18782,0.68704,69.18484,-5.176904,-2.290491,0.503161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43858,3.98858,-2.25696,50,4.51771,2.70011,-108.50028,3.47871,2.94792,16.47774,-27.3524,RHO_COL,FRA_COL,StaufferField,D3,Team,20260221-StaufferField-2,f7345db0-0f5f-11f1-941a-c91b01a2e409,74.91133,NA,NA,5.43843,NA,NA,NA,NA,NA,NA,e636df40-fe80-444c-9628-e2ae16fe2ce7,2026-02-21,20:00:27,2026-02-21T20:00:27Z,2026-02-21T20:00:27Z,NA,v3,NA,NA,NA,"Bowman, Jeremiah",10184937,Right,RHO_COL,0251f419-4930-439e-b087-4323228aaf88,54.25059,-109.1439,8.23887,4.36097,4.5471,-13.6762,-2.36017,2.58496,1.47396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-02-21,14:00:45,3,2,"Manti, Reid",10274359,Right,RHO_COL,"DeHart, Garrett",1000258954,Right,FRA_COL,Undefined,1,Top,1,0,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,73.01581,0.964528,-2.788208,2353.025916,105.952623,09:30:00,4.24916,2.36154,6.33245,-46.71648,4.64634,-11.05012,1.24546,-1.1289,67.58047,-7.691489,-4.783135,0.515817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.03122,2.60914,-2.15295,50,4.29742,5.51938,-106.09892,0.54513,5.75617,17.52549,-29.18894,RHO_COL,FRA_COL,StaufferField,D3,Team,20260221-StaufferField-2,02627500-0f60-11f1-941a-c91b01a2e409,73.07326,NA,NA,5.43534,NA,NA,NA,NA,NA,NA,e636df40-fe80-444c-9628-e2ae16fe2ce7,2026-02-21,20:00:45,2026-02-21T20:00:45Z,2026-02-21T20:00:45Z,NA,v3,NA,NA,NA,"Bowman, Jeremiah",10184937,Right,RHO_COL,bb04f2b2-0d7e-44cd-b234-1556a0f71d91,54.17214,-106.78585,8.76274,4.25363,1.68923,-14.59447,-2.36487,5.29376,2.87808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-02-21,14:01:05,3,3,"Manti, Reid",10274359,Right,RHO_COL,"DeHart, Garrett",1000258954,Right,FRA_COL,Undefined,1,Top,1,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,74.5005,0.537537,-2.873815,2484.982688,112.213935,09:45:00,4.22534,2.38121,6.14094,-43.79239,5.1315,-9.67071,1.07341,-1.08292,69.98633,-7.505877,-4.613639,0.503422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.42996,2.87555,-2.15668,50,4.24316,5.75248,-108.40002,-0.20674,5.38008,15.27473,-28.68177,RHO_COL,FRA_COL,StaufferField,D3,Team,20260221-StaufferField-2,0e05bc50-0f60-11f1-941a-c91b01a2e409,74.87249,NA,NA,4.51418,NA,NA,NA,NA,NA,NA,e636df40-fe80-444c-9628-e2ae16fe2ce7,2026-02-21,20:01:05,2026-02-21T20:01:05Z,2026-02-21T20:01:05Z,NA,v3,NA,NA,NA,"Bowman, Jeremiah",10184937,Right,RHO_COL,f4e34f4d-6d1c-4bf0-91a9-7bd9471eb9d8,54.36585,-109.01348,7.63737,4.22833,0.94517,-14.34088,-2.38337,5.5364,2.69004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-02-21,14:01:40,3,4,"Manti, Reid",10274359,Right,RHO_COL,"DeHart, Garrett",1000258954,Right,FRA_COL,Undefined,1,Top,1,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,72.19442,0.76221,-2.984145,2168.401762,92.932976,09:00:00,4.57274,2.18506,6.12514,-50.88444,1.7261,-5.86481,1.03802,-1.06497,67.33254,-8.584756,-4.039704,0.522045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3202,1.09925,-1.95331,50,4.60424,5.65723,-104.94246,-0.00291,2.61574,15.93848,-30.93479,RHO_COL,FRA_COL,StaufferField,D3,Team,20260221-StaufferField-2,2348d9d0-0f60-11f1-941a-c91b01a2e409,72.20154,NA,NA,4.86187,NA,NA,NA,NA,NA,NA,e636df40-fe80-444c-9628-e2ae16fe2ce7,2026-02-21,20:01:40,2026-02-21T20:01:40Z,2026-02-21T20:01:40Z,NA,v3,NA,NA,NA,"Bowman, Jeremiah",10184937,Right,RHO_COL,596ce374-983e-48fc-8ebb-b34db0f21b21,54.38089,-105.60572,7.96924,4.57758,1.28441,-15.4674,-2.18647,5.54838,1.30787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-02-21,14:01:58,3,5,"Manti, Reid",10274359,Right,RHO_COL,"DeHart, Garrett",1000258954,Right,FRA_COL,Undefined,1,Top,1,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,73.88178,0.48699,-3.857982,2445.951787,125.971921,10:15:00,4.27888,2.38123,6.30029,-42.93368,7.08063,-7.88339,1.15083,-1.83595,68.76716,-7.449261,-5.277488,0.509001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.16744,3.98292,-2.09355,50,4.2939,7.48807,-107.29808,-0.23658,3.73214,16.70401,-27.48107,RHO_COL,FRA_COL,StaufferField,D3,Team,20260221-StaufferField-2,2def2380-0f60-11f1-941a-c91b01a2e409,74.05183,NA,NA,5.11462,NA,NA,NA,NA,NA,NA,e636df40-fe80-444c-9628-e2ae16fe2ce7,2026-02-21,20:01:58,2026-02-21T20:01:58Z,2026-02-21T20:01:58Z,NA,v3,NA,NA,NA,"Bowman, Jeremiah",10184937,Right,RHO_COL,fc9dddea-9cb9-4535-8a88-646e0a0e3e8a,54.20444,-107.95063,8.352,4.28217,0.83699,-13.74054,-2.38323,7.34227,1.86607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
