player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-02-21,11:02:17,1,1,"Reither, Byler",1000393827,Right,SOU_UNI,"Coffey, Brayden",1000532202,Right,MAR_UNI3,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,74.70014,2.92087,-0.165032,2187.69398,75.012815,08:30:00,5.50335,1.51873,4.90027,-56.88901,-3.3848,-20.49769,3.52753,-0.3455,66.71928,-7.438409,-3.775593,0.52646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.92111,-2.02335,-1.4847,50,5.74244,1.16198,-107.93538,3.51747,11.37077,23.76623,-34.49307,SOU_UNI,MAR_UNI3,TedABroerStadium,NAIA,NAIA,20260221-TedABroerStadium-1,b2de7b30-0f3e-11f1-9536-c744abd5a6dc,71.59602,NA,NA,7.98085,NA,NA,NA,NA,NA,NA,ef1dcbcf-0c46-47e7-b0f0-c5a3f198d75e,2026-02-21,16:02:17,2026-02-21T16:02:17Z,2026-02-21T16:02:17Z,NA,v3,NA,NA,NA,"Roman III, Andy",1000094360,Right,SOU_UNI,f1255de2-2fac-4f4e-977b-0227edd51677,55.59568,-109.16054,11.88312,5.51528,5.2956,-17.24654,-1.52949,0.57581,5.68538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-02-21,11:02:30,1,2,"Reither, Byler",1000393827,Right,SOU_UNI,"Coffey, Brayden",1000532202,Right,MAR_UNI3,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.80619,-0.647491,-1.079078,2054.651601,191.63648,12:30:00,5.95176,0.88081,6.14429,-18.77462,17.34158,3.32036,3.78874,0.16024,79.67165,-4.238844,-0.480379,0.432536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.02736,9.49965,-0.80024,50,5.89265,2.26431,-127.48176,-1.95808,-3.31149,28.02814,-16.65733,SOU_UNI,MAR_UNI3,TedABroerStadium,NAIA,NAIA,20260221-TedABroerStadium-1,ba5ef3d0-0f3e-11f1-9536-c744abd5a6dc,87.14285,NA,NA,8.13454,NA,NA,NA,NA,NA,NA,ef1dcbcf-0c46-47e7-b0f0-c5a3f198d75e,2026-02-21,16:02:30,2026-02-21T16:02:30Z,2026-02-21T16:02:30Z,NA,v3,NA,NA,NA,"Roman III, Andy",1000094360,Right,SOU_UNI,2922a54c-c7c1-40ce-8555-51c6b894f5df,54.35145,-128.43491,14.01407,5.94961,-1.39162,-8.32866,-0.87916,2.37693,-1.65575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-02-21,11:02:41,1,3,"Reither, Byler",1000393827,Right,SOU_UNI,"Coffey, Brayden",1000532202,Right,MAR_UNI3,Undefined,1,Top,0,2,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,74.14524,1.299097,-0.199153,2333.132809,92.13192,09:00:00,5.52134,1.55116,5.46888,-49.6414,2.59284,-21.32655,2.60055,-0.41243,67.43417,-7.809416,-3.998527,0.520175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.64457,1.4478,-1.5188,50,5.60206,1.17561,-107.54226,0.87772,12.29803,20.99511,-30.50136,SOU_UNI,MAR_UNI3,TedABroerStadium,NAIA,NAIA,20260221-TedABroerStadium-1,c14bdf00-0f3e-11f1-9536-c744abd5a6dc,72.46114,NA,NA,6.71107,NA,NA,NA,NA,NA,NA,ef1dcbcf-0c46-47e7-b0f0-c5a3f198d75e,2026-02-21,16:02:41,2026-02-21T16:02:41Z,2026-02-21T16:02:41Z,NA,v3,NA,NA,NA,"Roman III, Andy",1000094360,Right,SOU_UNI,6a36f57d-b573-4de7-a8a6-85a8e4785efd,55.02974,-108.51975,10.49756,5.52813,2.29781,-15.25068,-1.56021,0.60303,6.14901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-02-21,11:02:53,1,4,"Reither, Byler",1000393827,Right,SOU_UNI,"Coffey, Brayden",1000532202,Right,MAR_UNI3,Undefined,1,Top,0,2,1,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,74.53888,0.139184,-0.186757,2315.682711,90.877464,09:00:00,5.59216,1.5044,5.08617,-50.27381,2.10662,-19.77879,1.53387,-0.31986,68.01479,-8.99009,-3.689694,0.520902,60.29174,-28.786203,-31.113347,NA,NA,NA,NA,6.21539,6.21539,-13.571002,0.042614,9.88788,1.43776,-1.47004,50,5.5657,1.10377,-108.09999,-1.39641,11.54538,21.17165,-30.49529,SOU_UNI,MAR_UNI3,TedABroerStadium,NAIA,NAIA,20260221-TedABroerStadium-1,c85c57c0-0f3e-11f1-9536-c744abd5a6dc,72.35998,1.82106,NA,6.52408,NA,NA,NA,3.20426,1.82106,0.25421,ef1dcbcf-0c46-47e7-b0f0-c5a3f198d75e,2026-02-21,16:02:53,2026-02-21T16:02:53Z,2026-02-21T16:02:53Z,GroundBall,v3,NA,NA,NA,"Roman III, Andy",1000094360,Right,SOU_UNI,0bc26417-d710-4cda-bd78-f2808d669674,55.41425,-109.15523,10.58583,5.59742,0.12354,-15.24764,-1.51072,0.52832,5.77269,180,3.20263,66.58892,NA,NA,NA,NA,NA,NA,NA,1.8221,-42.73413,NA,NA,NA,NA,NA,NA,NA,0.25519,-40.19016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-02-21,11:03:21,2,1,"Reither, Byler",1000393827,Right,SOU_UNI,"Sarkey, Landon",1000161878,Left,MAR_UNI3,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,88.19941,-1.76907,-1.576622,2124.41359,193.461437,12:30:00,5.98845,1.00784,6.26888,-19.18635,16.16257,3.60445,2.75754,-0.14565,80.83843,-5.410481,-0.925223,0.427917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.31083,9.22788,-0.89292,50,5.84802,3.38583,-128.14349,-4.50009,-3.84703,26.182,-16.81164,SOU_UNI,MAR_UNI3,TedABroerStadium,NAIA,NAIA,20260221-TedABroerStadium-1,d92a67e0-0f3e-11f1-9536-c744abd5a6dc,88.08354,NA,NA,7.36098,NA,NA,NA,NA,NA,NA,ef1dcbcf-0c46-47e7-b0f0-c5a3f198d75e,2026-02-21,16:03:21,2026-02-21T16:03:21Z,2026-02-21T16:03:21Z,NA,v3,NA,NA,NA,"Roman III, Andy",1000094360,Right,SOU_UNI,14e41f23-4aba-46a1-9e55-127ef058d815,54.22983,-129.00483,13.091,5.98697,-3.94702,-8.40582,-1.00639,3.51239,-1.92351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-02-21,11:03:37,2,2,"Reither, Byler",1000393827,Right,SOU_UNI,"Sarkey, Landon",1000161878,Left,MAR_UNI3,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.90395,-3.099414,-1.695497,2117.093202,181.106623,12:00:00,5.95752,0.8553,6.17387,-17.95926,17.99509,0.32465,1.59438,-0.684,80.30649,-6.512634,-1.636939,0.431566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.655,10.56312,-0.7272,50,5.71357,3.76085,-127.49304,-7.39964,-1.07465,26.99943,-14.84382,SOU_UNI,MAR_UNI3,TedABroerStadium,NAIA,NAIA,20260221-TedABroerStadium-1,e2d847d0-0f3e-11f1-9536-c744abd5a6dc,87.3388,NA,NA,7.59745,NA,NA,NA,NA,NA,NA,ef1dcbcf-0c46-47e7-b0f0-c5a3f198d75e,2026-02-21,16:03:37,2026-02-21T16:03:37Z,2026-02-21T16:03:37Z,NA,v3,NA,NA,NA,"Roman III, Andy",1000094360,Right,SOU_UNI,057752f9-26bf-46c3-8346-1a0d8a529dbb,54.32355,-128.40538,13.49971,5.95513,-6.89805,-7.42191,-0.8549,3.79717,-0.53732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-02-21,11:03:53,2,3,"Reither, Byler",1000393827,Right,SOU_UNI,"Sarkey, Landon",1000161878,Left,MAR_UNI3,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.51481,1.234597,-2.187809,1364.358096,237.415369,02:00:00,5.33768,1.61163,6.05168,-35.48175,7.58575,9.65308,3.52474,0.38983,73.26914,-5.387094,-0.451523,0.472331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.59437,3.97634,-1.44647,50,5.41487,4.09803,-116.84827,1.44624,-7.6924,23.13765,-26.70645,SOU_UNI,MAR_UNI3,TedABroerStadium,NAIA,NAIA,20260221-TedABroerStadium-1,ebeef0d0-0f3e-11f1-9536-c744abd5a6dc,79.80094,NA,NA,7.24567,NA,NA,NA,NA,NA,NA,ef1dcbcf-0c46-47e7-b0f0-c5a3f198d75e,2026-02-21,16:03:53,2026-02-21T16:03:53Z,2026-02-21T16:03:53Z,NA,v3,NA,NA,NA,"Roman III, Andy",1000094360,Right,SOU_UNI,b569693c-33a0-41b0-8b6a-ab7f57e847df,54.44575,-117.72531,11.56883,5.34086,2.45855,-13.35322,-1.60733,4.38962,-3.8462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-02-21,11:04:10,2,4,"Reither, Byler",1000393827,Right,SOU_UNI,"Sarkey, Landon",1000161878,Left,MAR_UNI3,Undefined,1,Top,1,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,NA,87.64642,-1.655252,-1.735708,2182.546075,186.151392,12:15:00,5.96026,0.99309,5.99103,-18.98367,17.3267,1.74067,2.84315,-0.47091,80.03343,-5.254461,-1.422887,0.433697,71.93806,7.251534,-14.030371,2548.997626,NA,NA,NA,95.97151,93.8568,-17.22322,1.017501,-1.39047,9.73784,-0.85722,50,5.81927,3.78477,-127.23313,-4.2299,-2.27429,26.64348,-16.24663,SOU_UNI,MAR_UNI3,TedABroerStadium,NAIA,NAIA,20260221-TedABroerStadium-1,f64f09c0-0f3e-11f1-9536-c744abd5a6dc,86.90957,5.51452,NA,7.61299,NA,NA,NA,0.90041,2.79352,0.48671,ef1dcbcf-0c46-47e7-b0f0-c5a3f198d75e,2026-02-21,16:04:10,2026-02-21T16:04:10Z,2026-02-21T16:04:10Z,GroundBall,v3,NA,NA,NA,"Roman III, Andy",1000094360,Right,SOU_UNI,185c13d2-ef85-4c8b-8b15-242e82113e65,54.50698,-128.17345,13.32174,5.95843,-3.65651,-8.12332,-0.99221,3.86504,-1.13715,99.214696,0.90041,101.54273,-14.37827,2.67082,-0.57075,0.22032,-0.16899,0.08897,-0.0185,2.79352,13.31781,-16.67608,0.97737,-0.06194,-0.14559,0.19109,-0.10845,0.02304,0.48671,-25.37441,-3.96336,1.27741,-0.47855,0.37155,-0.35049,0.19089,-0.04018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-02-21,11:04:52,3,1,"Reither, Byler",1000393827,Right,SOU_UNI,"Pecina, River",1000532203,Right,MAR_UNI3,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,73.76122,0.10544,-0.707501,2287.513237,80.348105,08:45:00,5.45027,1.54544,5.37113,-53.42901,-0.82032,-14.85253,1.09672,-0.35564,67.80606,-9.603867,-3.352875,0.522035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.30414,0.005,-1.47095,50,5.42163,1.86533,-107.08082,-1.50447,8.42126,19.70048,-32.16828,SOU_UNI,MAR_UNI3,TedABroerStadium,NAIA,NAIA,20260221-TedABroerStadium-1,0f22ef20-0f3f-11f1-9536-c744abd5a6dc,72.20281,NA,NA,5.95516,NA,NA,NA,NA,NA,NA,ef1dcbcf-0c46-47e7-b0f0-c5a3f198d75e,2026-02-21,16:04:52,2026-02-21T16:04:52Z,2026-02-21T16:04:52Z,NA,v3,NA,NA,NA,"Roman III, Andy",1000094360,Right,SOU_UNI,8399b3fe-b0f0-4d1f-953a-6993591f0077,55.12955,-108.02042,9.85024,5.4568,0.02977,-16.08414,-1.55033,1.46369,4.21063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-02-21,11:05:08,3,2,"Reither, Byler",1000393827,Right,SOU_UNI,"Pecina, River",1000532203,Right,MAR_UNI3,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.25165,-0.707908,-1.087301,2062.324997,183.687422,12:00:00,5.92948,1.05328,5.95621,-20.34163,16.10127,0.96638,3.57771,0.12537,80.0535,-4.5443,-0.913664,0.434488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.78429,8.79123,-0.96744,50,5.86179,2.36663,-126.78768,-2.17585,-1.2819,24.9283,-17.80532,SOU_UNI,MAR_UNI3,TedABroerStadium,NAIA,NAIA,20260221-TedABroerStadium-1,18ecbb80-0f3f-11f1-9536-c744abd5a6dc,86.75139,NA,NA,7.19816,NA,NA,NA,NA,NA,NA,ef1dcbcf-0c46-47e7-b0f0-c5a3f198d75e,2026-02-21,16:05:08,2026-02-21T16:05:08Z,2026-02-21T16:05:08Z,NA,v3,NA,NA,NA,"Roman III, Andy",1000094360,Right,SOU_UNI,0ccc576e-410b-4005-ba6c-cc106d1f867d,54.54149,-127.67748,12.46415,5.92811,-1.5403,-8.90266,-1.05274,2.41239,-0.64095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
