player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,2026-02-24,13:12:43,1,3,"Williams, Nico",10076560,Right,PEA_RIV,"Gardner, Garrett",10120953,Right,MIS_GUL,Undefined,2,Top,0,1,1,Slider,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,80.59813,-2.8644,-0.99198,2401.800031,105.479309,09:30:00,6.44423,1.08623,5.75477,-40.47782,4.15764,-8.47308,0.40213,-0.54333,72.36598,-10.319059,-2.513338,0.480852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.99603,3.64044,-0.99857,50,6.18209,2.34331,-116.59505,-7.12476,5.31781,28.7124,-27.32943,PEA_RIV,MIS_GUL,DubHerringPark,JUCO,NJCAA,20260224-DubHerringPark-1,6a4cc820-11ac-11f1-a08f-9d6577d3bea2,78.38676,NA,NA,8.23215,NA,NA,NA,NA,NA,NA,505fac65-df42-43f1-ba74-d05c5fc8915d,2026-02-24,18:12:43,2026-02-24T18:12:43Z,2026-02-24T18:12:43Z,NA,v3,201595,643-147465,NA,"Clements, Coy",1000390607,Right,PEA_RIV,56603bfe-c730-49f2-b7a5-18bd87e77ee5,54.74077,-117.75671,14.3562,6.44798,-6.01905,-13.66472,-1.08903,2.12816,2.6589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2026-02-24,13:12:56,1,4,"Williams, Nico",10076560,Right,PEA_RIV,"Gardner, Garrett",10120953,Right,MIS_GUL,Undefined,2,Top,0,2,1,Fastball,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,90.07764,-1.869531,-0.602053,2484.72101,171.736441,11:45:00,6.55178,1.07223,5.6885,-25.30978,9.97615,-1.26008,2.6995,0.40609,81.20657,-6.592739,-0.82757,0.427536,85.46453,-31.329261,-60.126807,NA,NA,NA,NA,6.47456,6.47456,-43.172055,0.043066,0.44591,6.05402,-1.02079,50,6.37896,1.42642,-130.5541,-5.13228,0.75535,32.23426,-21.91883,PEA_RIV,MIS_GUL,DubHerringPark,JUCO,NJCAA,20260224-DubHerringPark-1,722e9aa0-11ac-11f1-a08f-9d6577d3bea2,88.16212,2.81446,NA,8.87107,NA,NA,NA,2.41895,2.81446,-0.42053,505fac65-df42-43f1-ba74-d05c5fc8915d,2026-02-24,18:12:56,2026-02-24T18:12:56Z,2026-02-24T18:12:56Z,GroundBall,v3,201595,643-147465,NA,"Clements, Coy",1000390607,Right,PEA_RIV,f7c11e1a-e0f4-42c8-beb9-7e0cc104a457,54.80749,-131.73574,16.11713,6.55237,-4.32878,-10.95942,-1.07257,1.39873,0.37767,NA,2.41795,53.47523,NA,NA,NA,NA,NA,NA,NA,2.81569,-65.35242,NA,NA,NA,NA,NA,NA,NA,-0.41878,-93.09705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,2026-02-24,13:13:16,1,5,"Williams, Nico",10076560,Right,PEA_RIV,"Gardner, Garrett",10120953,Right,MIS_GUL,Undefined,2,Top,0,2,2,Fastball,Cutter,InPlay,Undefined,LineDrive,Single,0,0,NA,89.76479,-3.429775,-1.307904,2445.698246,167.622087,11:30:00,6.5082,0.9502,5.98324,-23.98989,10.37949,-2.05721,1.32549,-0.43369,83.09062,-7.864303,-1.678129,0.421946,97.54719,9.822321,8.94866,2422.312075,107.34233,13.53985,24.03322,219.65658,215.60073,16.041971,2.043862,0.73248,6.53083,-0.84579,50,6.22372,3.0582,-130.30781,-8.60416,1.26912,25.40363,-20.85818,PEA_RIV,MIS_GUL,DubHerringPark,JUCO,NJCAA,20260224-DubHerringPark-1,7e0749d0-11ac-11f1-a08f-9d6577d3bea2,89.32991,13.6791,NA,6.67418,NA,NA,NA,0.594,1.26506,0.4648,505fac65-df42-43f1-ba74-d05c5fc8915d,2026-02-24,18:13:16,2026-02-24T18:13:16Z,2026-02-24T18:13:16Z,LineDrive,v3,201595,643-147465,NA,"Clements, Coy",1000390607,Right,PEA_RIV,2d818df3-eba0-4fd7-a46f-e38dfd1cc2ef,54.51568,-131.18519,12.70181,6.50845,-7.88377,-10.42909,-0.95066,3.01436,0.63456,229.592681,0.59399,139.25723,-26.57417,6.18076,-1.25134,0.2205,-0.03146,0.00274,-6e-5,1.26507,24.40362,-11.17114,-1.27279,0.59302,-0.15557000000000001,0.02477,-0.00116,-1.4e-4,0.46481,21.92641,6.83862,-2.56845,0.77732,-0.19119,0.03537,-0.00401,1.8e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,2026-02-24,13:39:06,3,5,"Vines, James",10121708,Right,MIS_GUL,"Clements, Coy",1000390607,Right,PEA_RIV,Undefined,3,Bottom,2,2,2,Cutter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,85.82028,-1.66821,-3.165152,2016.410467,260.656273,02:45:00,6.11295,1.27149,5.40002,-36.39911,2.23819,6.40343,1.51368,-1.16379,79.08179,-8.288477,-2.026582,0.447378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.09418,1.91618,-0.99387,50,5.93838,6.61008,-124.43447,-4.96282,-6.43602,24.36272,-29.16184,PEA_RIV,MIS_GUL,DubHerringPark,JUCO,NJCAA,20260224-DubHerringPark-1,19ca7150-11b0-11f1-a08f-9d6577d3bea2,84.25183,NA,NA,6.73848,NA,NA,NA,NA,NA,NA,505fac65-df42-43f1-ba74-d05c5fc8915d,2026-02-24,18:39:06,2026-02-24T18:39:06Z,2026-02-24T18:39:06Z,NA,v3,201595,643-147465,NA,"Eder, Layton",10089371,Right,MIS_GUL,7801ea54-79d6-49c3-9d1e-fbbb3fbb0b84,55.09852,-125.42873,12.18136,6.11663,-3.77272,-14.58092,-1.26899,6.87273,-3.21801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,2026-02-24,13:39:18,3,6,"Vines, James",10121708,Right,MIS_GUL,"Clements, Coy",1000390607,Right,PEA_RIV,Undefined,3,Bottom,2,3,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,77.26044,1.090864,-1.508153,1771.930291,357.538425,06:00:00,6.17694,0.95273,5.34329,-54.33267,-6.82512,0.35295,2.67296,-0.43288,71.49917,-8.749456,-1.445357,0.496081,86.4753,48.162766,50.616858,5429.010608,NA,NA,NA,NA,48.76612,NA,NA,-0.57634,-3.33284,-0.81709,50,6.23584,2.94171,-112.24753,0.2807,-0.73885,19.39977,-36.44668,PEA_RIV,MIS_GUL,DubHerringPark,JUCO,NJCAA,20260224-DubHerringPark-1,2127aa80-11b0-11f1-a08f-9d6577d3bea2,75.98037,52.29081,NA,5.76127,NA,NA,NA,0.60608,2.54702,0.45333,505fac65-df42-43f1-ba74-d05c5fc8915d,2026-02-24,18:39:18,2026-02-24T18:39:18Z,2026-02-24T18:39:18Z,NA,v3,201595,643-147465,NA,"Eder, Layton",10089371,Right,MIS_GUL,b48f4663-8193-4395-8b04-6358c51e8889,55.15734,-113.13537,9.69989,6.18483,1.94869,-18.22334,-0.95249,2.97553,-0.36942,NA,0.60608,53.67763,-24.03769,8.49577,-2.49018,0.68079,-0.18308,0.04392,-0.00679,2.54702,94.49393,-31.73329,4.02485,-0.58255,0.03493,0.01365,-0.00649,0.00109,0.45333,65.38743,-9.37533,0.76232,0.19981,-0.14339,0.0544,-0.01482,0.00207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,2026-02-24,13:39:35,3,7,"Vines, James",10121708,Right,MIS_GUL,"Clements, Coy",1000390607,Right,PEA_RIV,Undefined,3,Bottom,2,3,2,Curveball,Curveball,InPlay,Undefined,FlyBall,Out,1,0,NA,76.11699,2.267891,-0.65627,1600.831951,25.183041,06:45:00,6.26356,0.94421,5.36212,-58.16905,-8.60142,-4.81658,3.544,-0.07258,69.44819,-8.316252,-1.513199,0.506723,97.687970000000007,37.620026,-22.319439,4237.811957,NA,NA,NA,NA,107.6814,NA,NA,2.23441,-4.61382,-0.88167,50,6.42533,1.44793,-110.41462,2.4216,2.73366,21.30617,-37.81875,PEA_RIV,MIS_GUL,DubHerringPark,JUCO,NJCAA,20260224-DubHerringPark-1,2b250a00-11b0-11f1-a08f-9d6577d3bea2,74.38472,84.30602,NA,6.6688,NA,NA,NA,1.77625,3.53296,0.12271,505fac65-df42-43f1-ba74-d05c5fc8915d,2026-02-24,18:39:35,2026-02-24T18:39:35Z,2026-02-24T18:39:35Z,NA,v3,201595,643-147465,NA,"Eder, Layton",10089371,Right,MIS_GUL,1a57ecbf-e73e-4e8b-9710-73fe80cfa82b,55.13782,-111.40163,10.65309,6.27258,4.17355,-18.90937,-0.94582,1.32129,1.36683,167.234927,1.77623,104.98592,-27.97036,8.06153,-3.81237,4.12323,-3.52595,1.62473,-0.306,3.53297,87.45516,-17.30161,-0.50441,2.63264,-4.36882,3.98328,-1.86784,0.35488,0.1227,-43.09815,6.47833,-1.28149,0.14778,0.09885,-0.12534,0.06358,-0.01258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,2026-02-24,13:55:14,2,2,"Vines, James",10121708,Right,MIS_GUL,"King, Kyler",10156937,Right,PEA_RIV,Undefined,4,Bottom,0,1,0,ChangeUp,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,81.60506,-1.135061,-2.864359,2101.634959,233.086797,01:45:00,6.33128,1.38622,5.42755,-37.05104,5.24563,5.39752,2.17918,-0.84887,75.78113,-7.879142,-1.904239,0.468085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.43418,3.27851,-1.13607,50,6.20465,5.71271,-118.48037,-3.62585,-4.93791,20.18643,-27.45997,PEA_RIV,MIS_GUL,DubHerringPark,JUCO,NJCAA,20260224-DubHerringPark-1,5b1575e0-11b2-11f1-a08f-9d6577d3bea2,80.52481,NA,NA,5.82393,NA,NA,NA,NA,NA,NA,505fac65-df42-43f1-ba74-d05c5fc8915d,2026-02-24,18:55:14,2026-02-24T18:55:14Z,2026-02-24T18:55:14Z,NA,v3,201595,643-147465,NA,"Eder, Layton",10089371,Right,MIS_GUL,916aa656-2122-4615-b4f4-0ef751ce5e2a,55.0714,-119.3413,10.09322,6.33431,-2.45472,-13.72998,-1.3842,5.9233,-2.46895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,2026-02-24,13:55:29,2,3,"Vines, James",10121708,Right,MIS_GUL,"King, Kyler",10156937,Right,PEA_RIV,Undefined,4,Bottom,0,1,1,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,0,NA,74.08236,1.259439,-1.559254,1716.433593,16.804467,06:30:00,6.35578,1.10217,5.10253,-64.32137,-12.08942,-4.11256,2.18299,-0.71009,68.72832,-10.298771,-2.288325,0.520163,63.35364,-57.994619,-71.122166000000007,NA,NA,NA,NA,2.73355,2.73355,-14.665028,0.029318,1.64323,-6.02418,-0.95169,50,6.42327,3.08324,-107.60808,0.18602,1.93153,18.2399,-39.25514,PEA_RIV,MIS_GUL,DubHerringPark,JUCO,NJCAA,20260224-DubHerringPark-1,639d2550-11b2-11f1-a08f-9d6577d3bea2,72.46273,2.31979,NA,5.35403,NA,NA,NA,2.17539,2.31979,0.67984,505fac65-df42-43f1-ba74-d05c5fc8915d,2026-02-24,18:55:29,2026-02-24T18:55:29Z,2026-02-24T18:55:29Z,GroundBall,v3,201595,643-147465,NA,"Eder, Layton",10089371,Right,MIS_GUL,7150ba6c-646d-424d-a68b-832f6d822fcc,55.40005,-108.51954,9.11995,6.36496,2.14763,-19.62757,-1.10335,2.98672,0.96576,NA,2.17508,16.00074,NA,NA,NA,NA,NA,NA,NA,2.32135,-79.12555,NA,NA,NA,NA,NA,NA,NA,0.68076,-46.79339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,2026-02-24,14:29:42,2,2,"Vines, James",10121708,Right,MIS_GUL,"Clements, Coy",1000390607,Right,PEA_RIV,Undefined,6,Bottom,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,87.978,-2.333014,-2.001735,2085.469295,205.554743,12:45:00,6.37123,0.84515,5.67567,-16.13249,20.02481,9.05875,2.84942,-0.26679,81.03705,-5.382256,-0.383365,0.432782,91.84816,55.636791,45.488326,4822.412421,NA,NA,NA,NA,37.58151,NA,NA,-5.13347,11.1215,-0.68226,50,6.16436,4.08419,-127.72463,-5.68649,-8.5505,24.26326,-13.64968,PEA_RIV,MIS_GUL,DubHerringPark,JUCO,NJCAA,20260224-DubHerringPark-1,2b636e60-11b7-11f1-a08f-9d6577d3bea2,87.09334,56.11872,NA,6.94095,NA,NA,NA,1.01747,2.83624,0.26249,505fac65-df42-43f1-ba74-d05c5fc8915d,2026-02-24,19:29:42,2026-02-24T19:29:42Z,2026-02-24T19:29:42Z,NA,v3,201595,643-147465,NA,"Eder, Layton",10089371,Right,MIS_GUL,e792af14-ae82-4f39-b269-a2edfe7b3caa,54.82255,-128.63749,12.13163,6.36865,-5.17295,-6.82484,-0.84197,4.40588,-4.27525,204.678629,1.01747,53.30583,-20.68864,5.78844,-3.09424,3.15883,3.22358,-12.13501,8.38356,2.83624,111.19989,-26.98371,3.23865,0.10634,-1.3857,-0.70703,4.41266,-3.25572,0.26249,54.22128,-6.20427,0.89764,0.4471,-1.06397,-0.6778,3.50962,-2.53643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,2026-02-24,14:30:00,2,3,"Vines, James",10121708,Right,MIS_GUL,"Clements, Coy",1000390607,Right,PEA_RIV,Undefined,6,Bottom,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.55686,-1.676409,-2.933937,2050.527608,216.568955,01:15:00,6.46191,0.73399,5.69732,-15.68162,18.95218,13.17257,3.59045,-0.90469,82.06891,-4.676838,-0.582007,0.423566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.50532,10.44571,-0.49564,50,6.31136,6.12784,-131.20083,-4.2981,-12.99235,29.53989,-14.09164,PEA_RIV,MIS_GUL,DubHerringPark,JUCO,NJCAA,20260224-DubHerringPark-1,3641b800-11b7-11f1-a08f-9d6577d3bea2,88.98828,NA,NA,8.48795,NA,NA,NA,NA,NA,NA,505fac65-df42-43f1-ba74-d05c5fc8915d,2026-02-24,19:30:00,2026-02-24T19:30:00Z,2026-02-24T19:30:00Z,NA,v3,201595,643-147465,NA,"Eder, Layton",10089371,Right,MIS_GUL,57087481-c9c0-4503-9688-aaef99fb2fee,54.79729,-132.27653,14.76994,6.45853,-3.78495,-7.04582,-0.7274,6.60096,-6.49617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
