player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-02-26,13:03:53,1,1,"Meyers, Luke",833555,Right,WAS_COU,"Anderson, Luke",810085,Right,BYU_COU,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.39767,-1.782922,-3.861957,2167.870614,225.900849,01:30:00,6.20909,0.57398,5.32978,-17.93513,17.61363,16.82217,3.03721,-1.65339,81.35858,-5.180415,-0.882461,0.429125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.55863,9.73178,-0.23668,50,6.03514,8.02111,-130.66737,-4.65504,-16.3073,30.93494,-15.57138,WAS_COU,BYU_COU,BlairField,D1,MW,20260226-BlairField-1,a8df2eb0-1356-11f1-a74e-d57e678f1df5,87.83564,NA,NA,9.03909,NA,NA,NA,NA,NA,NA,4fb337bd-55ac-4c8a-a6df-170933913f5e,2026-02-26,21:03:53,2026-02-26T21:03:53Z,2026-02-26T21:03:53Z,NA,v3,4505,471246,NA,"Macleod, Cam",1000238627,Right,WAS_COU,a1d9c972-3bcd-417f-ad3c-2248793cac05,55.16648,-131.88484,15.46747,6.20629,-4.04221,-7.78569,-0.56499,8.6629,-8.15365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-02-26,13:04:06,1,2,"Meyers, Luke",833555,Right,WAS_COU,"Anderson, Luke",810085,Right,BYU_COU,Undefined,1,Top,0,1,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Out,1,0,NA,89.33212,-2.589661,-2.156302,2330.675479,227.550353,01:30:00,6.21799,0.42644,5.52902,-18.08292,17.96847,18.19969,2.28681,-0.07365,80.60931,-6.017804,1.087419,0.432148,105.15479,19.494112,-22.403223,1537.37951,99.39125,33.23209,-47.13111,318.47491,311.85054,-31.087573,3.303179,-9.9593,10.3067,-0.25182,50,5.98114,4.07375,-129.36061,-6.42232,-16.62482,30.73436,-14.96931,WAS_COU,BYU_COU,BlairField,D1,MW,20260226-BlairField-1,b0975920-1356-11f1-a74e-d57e678f1df5,87.22113,40.40005,NA,8.72281,NA,NA,NA,2.14726,2.17183,0.17453,4fb337bd-55ac-4c8a-a6df-170933913f5e,2026-02-26,21:04:06,2026-02-26T21:04:06Z,2026-02-26T21:04:06Z,LineDrive,v3,4505,471246,NA,"Macleod, Cam",1000238627,Right,WAS_COU,e94f6097-89b4-477b-8583-eeff652e3f68,54.97072,-130.53625,15.36718,6.21585,-5.84972,-7.48466,-0.41981,4.70968,-8.31241,124.553068,2.14735,134.40944,-30.73649,8.21845,-1.88621,0.35206,-0.04888,0.00365,-2e-5,2.1717,51.4724,-18.48926,0.61268,0.16021,-0.0344,-0.00719,0.00424,-4.9e-4,0.17457,-55.41154,-0.95103,2.36724,-0.99159,0.28087,-0.05614,0.00689,-3.9e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-02-26,13:04:42,2,1,"Meyers, Luke",833555,Right,WAS_COU,"McNaughton, Ezra",805304,Left,BYU_COU,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.96408,-3.49002,-3.555964,2311.100835,226.701643,01:30:00,6.16018,0.50627,5.59366,-16.40383,19.35371,19.0695,1.52421,-1.2291,80.75591,-6.630503,-0.158834,0.430383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.04075,11.43087,-0.21434,50,5.84996,7.26161,-129.99246,-8.43844,-18.5079,32.41394,-13.01219,WAS_COU,BYU_COU,BlairField,D1,MW,20260226-BlairField-1,c60927c0-1356-11f1-a74e-d57e678f1df5,87.5788,NA,NA,9.20817,NA,NA,NA,NA,NA,NA,4fb337bd-55ac-4c8a-a6df-170933913f5e,2026-02-26,21:04:42,2026-02-26T21:04:42Z,2026-02-26T21:04:42Z,NA,v3,4505,471246,NA,"Macleod, Cam",1000238627,Right,WAS_COU,162d1115-fa43-488d-9305-bb7df04c46fa,54.90726,-131.21039,16.20697,6.15784,-7.94951,-6.5061,-0.50026,7.95703,-9.25395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-02-26,13:04:58,2,2,"Meyers, Luke",833555,Right,WAS_COU,"McNaughton, Ezra",805304,Left,BYU_COU,Undefined,1,Top,1,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.54981,-2.562365,-2.518425,2229.655692,256.750134,02:30:00,5.8267,0.90635,5.15236,-37.64313,7.62048,25.03021,0.2736,0.6198,72.79407,-9.439101,1.921032,0.484224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.42091,5.12532,-0.69132,50,5.55825,4.08993,-116.49453,-6.51724,-18.05522,26.17531,-25.27895,WAS_COU,BYU_COU,BlairField,D1,MW,20260226-BlairField-1,cfa1aaf0-1356-11f1-a74e-d57e678f1df5,77.84099,NA,NA,7.75574,NA,NA,NA,NA,NA,NA,4fb337bd-55ac-4c8a-a6df-170933913f5e,2026-02-26,21:04:58,2026-02-26T21:04:58Z,2026-02-26T21:04:58Z,NA,v3,4505,471246,NA,"Macleod, Cam",1000238627,Right,WAS_COU,041e0a8a-a82e-4dd0-bede-d860725aa55d,55.34779,-117.68999,13.08765,5.82954,-5.36271,-12.63948,-0.89694,4.91454,-9.02761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-02-26,13:05:14,2,3,"Meyers, Luke",833555,Right,WAS_COU,"McNaughton, Ezra",805304,Left,BYU_COU,Undefined,1,Top,1,2,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,NA,88.8813,-1.559324,-2.523546,2271.521023,216.666294,01:15:00,6.12902,0.59673,5.63009,-16.45666,19.90765,13.80776,3.3009,-0.60879,79.82874,-4.723723,-0.060105,0.434019,81.50954,81.545429,48.586064,NA,NA,NA,NA,NA,69.65162,NA,NA,-7.82213,10.98292,-0.39085,50,5.98604,5.06268,-128.69856,-3.97789,-12.89119,31.04336,-14.07375,WAS_COU,BYU_COU,BlairField,D1,MW,20260226-BlairField-1,d8f0c910-1356-11f1-a74e-d57e678f1df5,86.84507,65.95835,NA,9.05256,NA,NA,NA,1.26734,3.28855,0.60894,4fb337bd-55ac-4c8a-a6df-170933913f5e,2026-02-26,21:05:14,2026-02-26T21:05:14Z,2026-02-26T21:05:14Z,NA,v3,4505,471246,NA,"Macleod, Cam",1000238627,Right,WAS_COU,9dc4c0a1-5311-479a-8272-2c2b8a0a7404,54.8673,-129.86729,15.52168,6.12582,-3.44804,-7.03688,-0.59058,5.54801,-6.44559,NA,1.26734,11.62672,-13.53227,3.41775,-0.87193,0.23885,-0.06677,0.01682,-0.00271,3.28855,118.24799,-37.7229,6.84157,-1.81208,0.48993,-0.13729,0.03484,-0.00566,0.60894,13.18145,-5.22738,1.41407,-0.36055,0.09855,-0.02752,0.00695,-0.00112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-02-26,13:05:54,3,1,"Meyers, Luke",833555,Right,WAS_COU,"Robinson, Ryder",806209,Left,BYU_COU,Undefined,1,Top,2,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,80.01794,-0.764857,-3.171911,2104.263365,251.879595,02:30:00,5.83555,0.98469,5.37018,-36.19671,8.75422,21.98513,2.10088,-0.16026,72.76672,-7.425892,0.734569,0.482548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.0628,5.06221,-0.71645,50,5.74136,5.54346,-115.93524,-2.75198,-16.26767,23.52688,-25.34724,WAS_COU,BYU_COU,BlairField,D1,MW,20260226-BlairField-1,f13d2ef0-1356-11f1-a74e-d57e678f1df5,78.11124,NA,NA,7.25122,NA,NA,NA,NA,NA,NA,4fb337bd-55ac-4c8a-a6df-170933913f5e,2026-02-26,21:05:54,2026-02-26T21:05:54Z,2026-02-26T21:05:54Z,NA,v3,4505,471246,NA,"Macleod, Cam",1000238627,Right,WAS_COU,2d05f2c6-6c15-4aed-a302-4443451379f4,55.13054,-116.97175,11.76344,5.838,-1.63527,-12.67362,-0.97646,6.26016,-8.13384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-02-26,13:06:09,3,2,"Meyers, Luke",833555,Right,WAS_COU,"Robinson, Ryder",806209,Left,BYU_COU,Undefined,1,Top,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.81431,-1.826736,-2.753292,2187.596546,218.59964,01:15:00,6.0899,0.67894,5.40236,-16.46989,20.34773,15.12284,3.00312,-0.64276,79.63411,-4.985544,-0.067188,0.436716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.51075,11.22276,-0.44446,50,5.91607,5.49373,-128.48821,-4.59077,-13.9602,31.29074,-13.76537,WAS_COU,BYU_COU,BlairField,D1,MW,20260226-BlairField-1,f9ffc480-1356-11f1-a74e-d57e678f1df5,86.30881,NA,NA,9.1802,NA,NA,NA,NA,NA,NA,4fb337bd-55ac-4c8a-a6df-170933913f5e,2026-02-26,21:06:09,2026-02-26T21:06:09Z,2026-02-26T21:06:09Z,NA,v3,4505,471246,NA,"Macleod, Cam",1000238627,Right,WAS_COU,f1755613-10e2-4be5-8190-05ddacbe154a,55.09484,-129.72302,15.64537,6.08651,-4.04755,-6.88269,-0.67213,6.04464,-6.9801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-02-26,13:06:24,3,3,"Meyers, Luke",833555,Right,WAS_COU,"Robinson, Ryder",806209,Left,BYU_COU,Undefined,1,Top,2,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,81.87669,-0.988943,-1.251749,2411.90634,160.285953,11:15:00,5.77881,0.87517,4.97356,-36.67093,6.16071,-1.75799,1.7885,-0.45383,75.73202,-7.627015,-1.562246,0.471036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55969,3.63953,-0.7527,50,5.65308,2.67076,-118.88137,-3.38985,0.80668,21.26442,-26.92831,WAS_COU,BYU_COU,BlairField,D1,MW,20260226-BlairField-1,028e2ab0-1357-11f1-a74e-d57e678f1df5,80.02036,NA,NA,6.14467,NA,NA,NA,NA,NA,NA,4fb337bd-55ac-4c8a-a6df-170933913f5e,2026-02-26,21:06:24,2026-02-26T21:06:24Z,2026-02-26T21:06:24Z,NA,v3,4505,471246,NA,"Macleod, Cam",1000238627,Right,WAS_COU,e2b541f5-f827-4d7e-936f-644e39afd2e3,55.52834,-119.86615,10.63221,5.78119,-2.14277,-13.46415,-0.87552,2.63341,0.40334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-02-26,13:06:40,3,4,"Meyers, Luke",833555,Right,WAS_COU,"Robinson, Ryder",806209,Left,BYU_COU,Undefined,1,Top,2,1,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,81.60313,-0.25665,-0.214121,2413.332337,119.3299,10:00:00,5.72656,0.97197,4.66342,-40.61612,3.08666,-3.16051,2.09808,0.50519,75.25628,-7.565978,-0.769423,0.475802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49091,1.97996,-0.9471,50,5.66353,0.58251,-118.42336,-2.09806,2.12862,21.473,-29.34717,WAS_COU,BYU_COU,BlairField,D1,MW,20260226-BlairField-1,0c6f4fa0-1357-11f1-a74e-d57e678f1df5,79.21881,NA,NA,6.34685,NA,NA,NA,NA,NA,NA,4fb337bd-55ac-4c8a-a6df-170933913f5e,2026-02-26,21:06:40,2026-02-26T21:06:40Z,2026-02-26T21:06:40Z,NA,v3,4505,471246,NA,"Macleod, Cam",1000238627,Right,WAS_COU,a3a9cf0f-8064-4c3d-aa16-97b5bea3ae8b,55.83663,-119.47699,10.7365,5.73115,-0.65806,-14.67358,-0.97312,0.47806,1.06431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.35371,NA,NA,1.175562,NA,NA,NA,-3.27757,4.50286,-0.63232,60.52758,5.87151,64.24928,-3.18074,62.69095,-7.27374,4.55777,18.35149,-14.68805,-0.61935,58.19454,-2.56973,High,High,High,NA,NA,High,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-02-26,13:10:03,1,1,"Sumner, Garrison",809828,Right,BYU_COU,"Smith, Trevor",10014675,Left,WAS_COU,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.54179,-2.049817,-3.612193,2640.018535,192.497606,12:30:00,5.90079,1.88728,6.00854,-12.76005,20.23111,4.22244,2.93377,-1.11186,83.51512,-4.538037,-2.855368,0.4134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.32666,11.41678,-1.60561,50,5.73264,8.27738,-133.98887,-5.13141,-5.96788,32.51319,-11.69281,WAS_COU,BYU_COU,BlairField,D1,MW,20260226-BlairField-1,85100c60-1357-11f1-a74e-d57e678f1df5,91.17673,NA,NA,9.02667,NA,NA,NA,NA,NA,NA,4fb337bd-55ac-4c8a-a6df-170933913f5e,2026-02-26,21:10:03,2026-02-26T21:10:03Z,2026-02-26T21:10:03Z,NA,v3,4505,471246,NA,"Erickson, Ridge",10103259,Right,BYU_COU,dba9742f-ff7b-4ea8-b219-eb7d0e4610aa,54.49024,-135.07406,16.2566,5.8974,-4.74114,-5.8464,-1.8852,8.47657,-2.98394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
