player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,2026-02-27,17:26:51,7,1,"McArthur, Maddon",10957844,Right,HOF_PRI,"Barone, Nick",809775,Right,LIB_FLA,Undefined,4,Bottom,2,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,73.10968,1.182376,-2.956268,2142.963936,18.715424,06:30:00,6.33709,1.2937,5.35253,-60.59602,-6.43276,-2.81933,2.39798,-1.71632,66.6303,-9.826443,-3.457084,0.529692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4578,-2.98496,-1.02554,50,6.40073,5.57399,-105.87631,0.22043,0.51203,20.55272,-35.51256,LIB_FLA,HOF_PRI,Liberty,D1,CUSA,20260227-Liberty-1,69feede0-142b-11f1-8b59-390f51dfa55a,71.15912,NA,NA,6.47938,NA,NA,NA,NA,NA,NA,2b33afe1-3d34-4cc4-8390-70b724bfd760,2026-02-27,22:26:51,2026-02-27T22:26:51Z,2026-02-27T22:26:51Z,NA,v3,471336,471312,9c084c75e19e4082a5d0921512b471b3,"Griggs, CJ",10147390,Right,HOF_PRI,1e8611cc-bef2-4ba9-9643-240be639b0ca,55.14511,-106.87041,10.27636,6.34852,1.93812,-17.75628,-1.29454,5.54922,0.25601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,2026-02-27,17:27:04,7,2,"McArthur, Maddon",10957844,Right,HOF_PRI,"Barone, Nick",809775,Right,LIB_FLA,Undefined,4,Bottom,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.75066,-5.231895,-3.665529,2081.139135,193.149493,12:30:00,6.4233,1.36296,5.77591,-12.86993,21.881,4.81859,0.45902,-1.65088,82.32672,-7.708676,-2.80551,0.424282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.58626,13.14229,-1.06296,50,5.98189,8.17815,-130.91066,-12.348,-6.16451,30.07931,-9.58342,LIB_FLA,HOF_PRI,Liberty,D1,CUSA,20260227-Liberty-1,71b06190-142b-11f1-8b59-390f51dfa55a,88.83818,NA,NA,8.42394,NA,NA,NA,NA,NA,NA,2b33afe1-3d34-4cc4-8390-70b724bfd760,2026-02-27,22:27:04,2026-02-27T22:27:04Z,2026-02-27T22:27:04Z,NA,v3,471336,471312,9c084c75e19e4082a5d0921512b471b3,"Griggs, CJ",10147390,Right,HOF_PRI,f2f2810b-54f1-45e6-92d7-fe84f7546ce0,54.72072,-131.99088,15.03966,6.41916,-12.00384,-4.79171,-1.36064,8.39953,-3.0822600000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,2026-02-27,17:27:23,7,3,"McArthur, Maddon",10957844,Right,HOF_PRI,"Barone, Nick",809775,Right,LIB_FLA,Undefined,4,Bottom,2,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,89.45702,-3.127758,-1.721864,1951.052568,206.131857,12:45:00,6.49986,1.36554,5.45469,-17.411740000000002,18.54595,8.46792,2.11677,0.45889,81.01784,-6.419326,-0.214516,0.431586,77.14624,64.169931,109.83203,5176.250418,NA,NA,NA,NA,14.18998,NA,NA,-4.80563,10.6878,-1.21975,50,6.2123,3.51406,-129.49846,-7.62638,-8.07255,29.76451,-14.22056,LIB_FLA,HOF_PRI,Liberty,D1,CUSA,20260227-Liberty-1,7d260930-142b-11f1-8b59-390f51dfa55a,87.33473,32.24115,NA,8.43918,NA,NA,NA,1.57408,1.98079,-0.53485,2b33afe1-3d34-4cc4-8390-70b724bfd760,2026-02-27,22:27:23,2026-02-27T22:27:23Z,2026-02-27T22:27:23Z,NA,v3,471336,471312,9c084c75e19e4082a5d0921512b471b3,"Griggs, CJ",10147390,Right,HOF_PRI,9aa29080-6a38-46ab-8ee4-adab44ae4109,55.04126,-130.65203,14.88226,6.49719,-7.07524,-7.11028,-1.36201,3.82692,-4.03628,331.253337,1.58142,-17.0263,-8.12034,NA,NA,NA,NA,NA,NA,1.98737,101.57674,-28.61405,NA,NA,NA,NA,NA,NA,-0.52825,46.10603,-11.87487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,2026-02-27,17:27:42,7,4,"McArthur, Maddon",10957844,Right,HOF_PRI,"Barone, Nick",809775,Right,LIB_FLA,Undefined,4,Bottom,2,2,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,73.8335,0.099251,-2.474311,2136.189752,25.182619,06:45:00,6.45631,1.3387,5.06612,-58.88708,-5.19945,-3.33563,1.64272,-1.27368,67.36257,-10.531481,-3.064737,0.527361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85327,-2.04772,-1.10089,50,6.41923,4.74968,-106.92112,-1.80443,0.97222,21.14238,-34.5072,LIB_FLA,HOF_PRI,Liberty,D1,CUSA,20260227-Liberty-1,88767590-142b-11f1-8b59-390f51dfa55a,71.47364,NA,NA,6.47093,NA,NA,NA,NA,NA,NA,2b33afe1-3d34-4cc4-8390-70b724bfd760,2026-02-27,22:27:42,2026-02-27T22:27:42Z,2026-02-27T22:27:42Z,NA,v3,471336,471312,9c084c75e19e4082a5d0921512b471b3,"Griggs, CJ",10147390,Right,HOF_PRI,546501c5-7707-43eb-a75c-3dfd7895695c,55.43147,-107.98979,10.57119,6.46635,-0.06023,-17.2536,-1.33973,4.70054,0.48611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,2026-02-27,17:28:02,7,5,"McArthur, Maddon",10957844,Right,HOF_PRI,"Barone, Nick",809775,Right,LIB_FLA,Undefined,4,Bottom,2,3,1,ChangeUp,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,78.86663,0.523407,-2.235746,635.890944,273.933616,03:15:00,6.32929,1.41388,5.45096,-46.00975,1.4474,8.70961,2.98553,0.0456,69.7947,-7.984212,-0.684485,0.495818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.17705,1.21591,-1.2224,50,6.34515,4.07974,-113.92,-0.51926,-6.54412,28.34569,-30.63705,LIB_FLA,HOF_PRI,Liberty,D1,CUSA,20260227-Liberty-1,944c3e90-142b-11f1-8b59-390f51dfa55a,76.02073,NA,NA,9.07193,NA,NA,NA,NA,NA,NA,2b33afe1-3d34-4cc4-8390-70b724bfd760,2026-02-27,22:28:02,2026-02-27T22:28:02Z,2026-02-27T22:28:02Z,NA,v3,471336,471312,9c084c75e19e4082a5d0921512b471b3,"Griggs, CJ",10147390,Right,HOF_PRI,0c6904c2-cb9c-47ca-96b1-29c64ccf3a96,55.03837,-115.16683,14.17285,6.33835,0.82836,-15.31853,-1.40819,4.3676,-3.27206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,2026-02-27,17:28:15,7,6,"McArthur, Maddon",10957844,Right,HOF_PRI,"Barone, Nick",809775,Right,LIB_FLA,Undefined,4,Bottom,2,3,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,80.05124,-0.548086,-3.197089,2922.810608,268.876655,03:00:00,6.27565,1.46812,5.56409,-43.26172,2.03673,13.48205,2.15768,-0.39816,71.86396,-8.518487,-0.791965,0.48441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.8639,1.79579,-1.20088,50,6.20058,5.9119,-115.77909,-2.5662,-10.40955,26.61261,-29.79692,LIB_FLA,HOF_PRI,Liberty,D1,CUSA,20260227-Liberty-1,9c6dd930-142b-11f1-8b59-390f51dfa55a,77.81105,NA,NA,8.18727,NA,NA,NA,NA,NA,NA,2b33afe1-3d34-4cc4-8390-70b724bfd760,2026-02-27,22:28:15,2026-02-27T22:28:15Z,2026-02-27T22:28:15Z,NA,v3,471336,471312,9c084c75e19e4082a5d0921512b471b3,"Griggs, CJ",10147390,Right,HOF_PRI,db8e9f4e-6e8e-466d-b401-84813cf6369e,54.92951,-116.90667,13.30631,6.28257,-1.30369,-14.89846,-1.46071,6.35296,-5.20477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.58058,NA,NA,1.382617,NA,NA,NA,-1.55346,5.16215,5.81752,73.72228,-0.35291,-51.06125,-1.54609,58.21123,-2.73749,5.22745,17.81145,-15.92775,5.75682,-48.60681,5.53462,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,2026-02-27,17:35:18,1,1,"McArthur, Maddon",10957844,Right,HOF_PRI,"Sorenson, Jaxon",701641,Left,LIB_FLA,Undefined,5,Bottom,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.37895,-0.258211,-2.971896,2066.306137,305.028472,04:15:00,6.28344,1.63516,5.33132,-52.164,-5.85008,10.83733,1.69385,-0.25261,71.68786,-9.752043,-1.044304,0.489809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.4317,-2.29744,-1.37454,50,6.22291,5.5182,-114.87384,-2.36219,-8.40116,25.73585,-35.17503,LIB_FLA,HOF_PRI,Liberty,D1,CUSA,20260227-Liberty-1,986c31a0-142c-11f1-8b59-390f51dfa55a,76.95327,NA,NA,7.69109,NA,NA,NA,NA,NA,NA,2b33afe1-3d34-4cc4-8390-70b724bfd760,2026-02-27,22:35:18,2026-02-27T22:35:18Z,2026-02-27T22:35:18Z,NA,v3,471336,471312,9c084c75e19e4082a5d0921512b471b3,"Griggs, CJ",10147390,Right,HOF_PRI,fe9e3416-a603-45ef-92b3-a86481e799ac,55.16525,-116.02527,12.86792,6.29339,-0.78844,-17.58751,-1.62983,5.89407,-4.20058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,2026-02-27,17:35:32,1,2,"McArthur, Maddon",10957844,Right,HOF_PRI,"Sorenson, Jaxon",701641,Left,LIB_FLA,Undefined,5,Bottom,0,1,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,71.92961,1.997478,-2.676964,1885.526938,30.635794,07:00:00,6.20125,1.56704,5.61123,-67.28996,-11.78564,-8.12548,2.46092,-1.61048,65.54914,-10.263847,-4.127514,0.53621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1941,-5.90067,-1.33305,50,6.32966,5.16966,-104.22035,1.52612,3.45256,20.33281,-38.55218,LIB_FLA,HOF_PRI,Liberty,D1,CUSA,20260227-Liberty-1,a0baa8a0-142c-11f1-8b59-390f51dfa55a,70.2942,NA,NA,6.38046,NA,NA,NA,NA,NA,NA,2b33afe1-3d34-4cc4-8390-70b724bfd760,2026-02-27,22:35:32,2026-02-27T22:35:32Z,2026-02-27T22:35:32Z,NA,v3,471336,471312,9c084c75e19e4082a5d0921512b471b3,"Griggs, CJ",10147390,Right,HOF_PRI,32d9445c-47a0-4ad5-9aad-e11c9c4ddb2e,54.88801,-105.16965,10.1664,6.21639,3.32604,-19.27609,-1.57065,5.00846,1.72628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,2026-02-27,17:35:45,1,3,"McArthur, Maddon",10957844,Right,HOF_PRI,"Sorenson, Jaxon",701641,Left,LIB_FLA,Undefined,5,Bottom,0,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,89.80871,-1.83798,-2.394002,1991.298586,194.022942,12:30:00,6.38273,1.39344,5.82353,-15.43182,20.01092,4.66166,3.38598,-0.44498,80.53436,-4.825265,-1.559512,0.428484,65.64012,72.041151,-148.879082,4805.811272,NA,NA,NA,NA,15.6558,NA,NA,-3.18315,11.21123,-1.20049,50,6.22355,5.23299,-130.03071,-4.59363,-5.34129,32.33135,-13.36165,LIB_FLA,HOF_PRI,Liberty,D1,CUSA,20260227-Liberty-1,a899bc00-142c-11f1-8b59-390f51dfa55a,87.96688,44.91439,NA,9.27435,NA,NA,NA,1.77315,3.33734,0.44873,2b33afe1-3d34-4cc4-8390-70b724bfd760,2026-02-27,22:35:45,2026-02-27T22:35:45Z,2026-02-27T22:35:45Z,NA,v3,471336,471312,9c084c75e19e4082a5d0921512b471b3,"Griggs, CJ",10147390,Right,HOF_PRI,7a327a2e-28e4-4b36-9f4f-2698c0bd0e0e,54.6708,-131.18694,16.16567,6.37928,-4.11579,-6.68083,-1.39104,5.42401,-2.67065,4.262582,1.77315,-25.41177,-5.34612,2.46399,-0.72125,0.18973,-0.04651,0.01068,-0.00154,3.33734,91.58147,-30.83722,4.1423,-0.78683,0.12363,-0.01872,0.00201,1.9e-4,0.44873,-15.34201,-1.08307,1.72853,-0.57102,0.15573,-0.03695,0.00834,-0.00103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,2026-02-27,17:36:04,1,4,"McArthur, Maddon",10957844,Right,HOF_PRI,"Sorenson, Jaxon",701641,Left,LIB_FLA,Undefined,5,Bottom,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,88.91065,-2.224808,-1.886833,1986.941702,194.12148,12:30:00,6.45914,1.3214,5.63135,-14.94493,20.77529,4.93835,3.13579,-0.02814,81.27813,-5.074469,-1.005455,0.430159,66.49836,52.708127,-72.529627,4038.494569,NA,NA,NA,NA,62.29988,NA,NA,-3.03347,11.50906,-1.16409,50,6.26039,4.03612,-128.97692,-5.44448,-5.11243,26.6978,-12.77737,LIB_FLA,HOF_PRI,Liberty,D1,CUSA,20260227-Liberty-1,b3f76ed0-142c-11f1-8b59-390f51dfa55a,87.62454,66.97124,NA,7.63251,NA,NA,NA,0.94673,3.09391,0.03636,2b33afe1-3d34-4cc4-8390-70b724bfd760,2026-02-27,22:36:04,2026-02-27T22:36:04Z,2026-02-27T22:36:04Z,NA,v3,471336,471312,9c084c75e19e4082a5d0921512b471b3,"Griggs, CJ",10147390,Right,HOF_PRI,a8064f51-731f-4c91-99c3-09564c6cf33d,54.86597,-129.98026,13.3489,6.45598,-4.96429,-6.38868,-1.31938,4.22825,-2.55621,NA,0.94673,17.73997,-7.77672,2.20152,-0.49536,0.06838,0.04515,-0.05135,0.01594,3.09391,77.59154,-22.47066,2.08716,-0.39062,0.06768,-0.02237,0.01191,-0.0032,0.03636,-56.36576,5.60862,-1.04444,0.16442,-0.02278,0.00226,9.8e-4,-3.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
