PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-28,17:06:04,1,1,"Olivier, Chris",10112940,Right,LAM_CAR,"Garza-Gongora, Rocco",805037,Left,UTR_VAQ,Undefined,1,Top,0,0,0,FourSeamFastBall,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,89.9058,-3.530147,-2.109073,2270.678811,228.425651,01:30:00,6.17108,1.36012,5.94416,-20.08225,14.59497,15.16713,1.2167,0.66684,82.24465,-7.295659,0.616614,0.423832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.40406,8.84371,-1.2007,50,5.87813,4.16418,-130.31639,-8.67366,-14.41846,27.97902,-17.00125,LAM_CAR,UTR_VAQ,LamarUniversity,D1,SLAND,20260228-LamarUniversity-1,0f798e00-14fa-11f1-8a78-5b9e67d50bfa,88.93251,NA,NA,7.66115,NA,NA,NA,NA,NA,NA,8a5ea127-40e9-445e-971d-089981b0cb4d,2026-02-28,23:06:04,2026-02-28T23:06:04Z,2026-02-28T23:06:04Z,NA,v3,471334,471407,NA,"Kummer, Theo",821439,Right,LAM_CAR,bd7c10ef-10b4-4fe6-8d6f-7276dade305f,54.55556,-131.29083,13.98951,6.1699,-8.08155,-8.50062,-1.35447,4.66634,-7.20923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
2,2026-02-28,17:06:19,1,2,"Olivier, Chris",10112940,Right,LAM_CAR,"Garza-Gongora, Rocco",805037,Left,UTR_VAQ,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,90.90588,-2.587731,-1.895756,2364.25218,220.683583,01:15:00,6.20402,1.36662,5.85284,-19.10757,14.67131,11.71575,2.20432,0.5808,83.51385,-6.169087,0.205554,0.418306,83.39714,31.006802,-55.05216,4398.205917,54.31199,49.4389,-95.65662,246.8169,109.11813,-69.37901,3.578658,-6.53571,8.52619,-1.21963,50,5.9824,3.8721,-131.95447,-6.58231,-11.56604,27.10569,-17.08557,LAM_CAR,UTR_VAQ,LamarUniversity,D1,SLAND,20260228-LamarUniversity-1,183bd570-14fa-11f1-8a78-5b9e67d50bfa,90.10733,51.95923,NA,7.39203,NA,NA,NA,0.81677,2.33303,-0.46109,8a5ea127-40e9-445e-971d-089981b0cb4d,2026-02-28,23:06:19,2026-02-28T23:06:19Z,2026-02-28T23:06:19Z,FlyBall,v3,471334,471407,NA,"Kummer, Theo",821439,Right,LAM_CAR,3f320e8e-2987-4272-9644-d37ced47ddc4,54.64763,-132.90574,13.55285,6.20289,-5.98269,-8.54279,-1.36264,4.27801,-5.78302,NA,0.81674,60.0561,-18.76576,4.47401,-1.09636,0.28088,-0.06102,0.00847,-5.2e-4,2.33336,62.9963,-23.02449,2.26506,-0.16073,-0.11529,0.05184,-0.0089,5.7e-4,-0.46081,-85.94465,12.74517,-3.69263,1.16947,-0.41092,0.11094,-0.01758,0.00117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA
3,2026-02-28,17:06:37,1,3,"Olivier, Chris",10112940,Right,LAM_CAR,"Garza-Gongora, Rocco",805037,Left,UTR_VAQ,Undefined,1,Top,0,0,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,78.66544,0.246991,-0.592208,2635.846629,31.522356,07:00:00,6.09641,1.25792,5.43656,-60.23192,-13.73072,-9.40217,1.30839,-0.08018,71.85352,-10.665894,-2.272259,0.490799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58646,-6.66331,-1.19865,50,6.07602,1.54391,-114.17597,-1.59201,5.95493,24.24205,-40.82552,LAM_CAR,UTR_VAQ,LamarUniversity,D1,SLAND,20260228-LamarUniversity-1,232b8430-14fa-11f1-8a78-5b9e67d50bfa,76.79813,NA,NA,6.81192,NA,NA,NA,NA,NA,NA,8a5ea127-40e9-445e-971d-089981b0cb4d,2026-02-28,23:06:37,2026-02-28T23:06:37Z,2026-02-28T23:06:37Z,NA,v3,471334,471407,NA,"Kummer, Theo",821439,Right,LAM_CAR,c771ab5c-0f46-43dd-b717-fdef374192b1,55.06629,-115.24663,12.12102,6.10651,0.21107,-20.41276,-1.26103,1.28091,2.97746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-02-28,17:06:55,1,4,"Olivier, Chris",10112940,Right,LAM_CAR,"Garza-Gongora, Rocco",805037,Left,UTR_VAQ,Undefined,1,Top,0,0,2,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,91.76404,-2.892992,-2.017797,2318.065338,205.607762,12:45:00,6.18966,1.18168,5.78039,-13.1895,20.99497,9.41221,2.39483,0.08782,81.94628,-5.474731,-0.333234,0.42081,69.68048,41.95353,-139.356545,3374.698844,-88.78705,49.39928,-64.93719,186.12542,61.11629,-147.709745,3.214449,-5.48666,12.0743,-1.02086,50,5.94306,4.25098,-132.72783,-7.04531,-9.55026,34.82736,-11.15709,LAM_CAR,UTR_VAQ,LamarUniversity,D1,SLAND,20260228-LamarUniversity-1,2dcd8820-14fa-11f1-8a78-5b9e67d50bfa,89.5712,49.80063,NA,9.81776,NA,NA,NA,1.36252,2.20357,0.07319,8a5ea127-40e9-445e-971d-089981b0cb4d,2026-02-28,23:06:55,2026-02-28T23:06:55Z,2026-02-28T23:06:55Z,FlyBall,v3,471334,471407,NA,"Kummer, Theo",821439,Right,LAM_CAR,d48d3f39-f6ee-4c6c-bac5-9a5a0ddf08ba,54.71493,-133.9593,17.41368,6.18521,-6.6508,-5.57854,-1.17714,4.58867,-4.77513,28.548528,1.36209,-57.65601,0.06023,1.40355,-0.42479,0.11413,-0.00632,-0.00413,6.3e-4,2.20389,68.30652,-28.18043,2.96496,-0.09015,-0.28459,0.13823,-0.02757,0.00206,0.07259,-49.48315,6.4131,-0.09891,-0.33094,0.23465,-0.06614,0.0076,-2.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA
5,2026-02-28,17:07:13,1,5,"Olivier, Chris",10112940,Right,LAM_CAR,"Garza-Gongora, Rocco",805037,Left,UTR_VAQ,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,82.88532,-2.553301,-1.082018,1962.353702,233.019494,01:45:00,6.12496,1.4674,5.9544,-27.89549,12.5419,15.01335,1.43042,1.71494,76.46533,-7.726965,1.619197,0.457681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.00969,7.50811,-1.38982,50,5.90623,1.69637,-120.37446,-6.22168,-11.79917,22.49404,-21.11377,LAM_CAR,UTR_VAQ,LamarUniversity,D1,SLAND,20260228-LamarUniversity-1,38b40f20-14fa-11f1-8a78-5b9e67d50bfa,82.35526,NA,NA,6.41999,NA,NA,NA,NA,NA,NA,8a5ea127-40e9-445e-971d-089981b0cb4d,2026-02-28,23:07:13,2026-02-28T23:07:13Z,2026-02-28T23:07:13Z,NA,v3,471334,471407,NA,"Kummer, Theo",821439,Right,LAM_CAR,fc28ce41-2d16-44ee-a517-50702d52b5a0,54.54559,-121.22091,11.24702,6.1254,-5.42717,-10.55688,-1.46201,2.14037,-5.89958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
6,2026-02-28,17:07:30,1,6,"Olivier, Chris",10112940,Right,LAM_CAR,"Garza-Gongora, Rocco",805037,Left,UTR_VAQ,Undefined,1,Top,0,1,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,76.07561,1.388837,-0.451067,2661.559649,24.63462,06:45:00,6.34651,0.92079,5.32538,-68.92492,-19.154419999999998,-9.54048,1.90632,-0.29753,69.74801,-11.054659,-2.152423,0.507759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.68418,-9.71709,-0.87271,50,6.42147,1.23135,-110.45438,0.31776,5.71069,22.08929,-44.02056,LAM_CAR,UTR_VAQ,LamarUniversity,D1,SLAND,20260228-LamarUniversity-1,42517450-14fa-11f1-8a78-5b9e67d50bfa,74.23297,NA,NA,6.32761,NA,NA,NA,NA,NA,NA,8a5ea127-40e9-445e-971d-089981b0cb4d,2026-02-28,23:07:30,2026-02-28T23:07:30Z,2026-02-28T23:07:30Z,NA,v3,471334,471407,NA,"Kummer, Theo",821439,Right,LAM_CAR,e912a9f2-4492-42fa-82b5-4837937b0ce4,55.17972,-111.48544,11.04465,6.35868,2.3725,-22.01028,-0.92396,0.96479,2.85534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
7,2026-02-28,17:07:52,1,7,"Olivier, Chris",10112940,Right,LAM_CAR,"Garza-Gongora, Rocco",805037,Left,UTR_VAQ,Undefined,1,Top,0,1,2,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,NA,80.31559,-0.515463,-0.77436,2585.932769,39.08121,07:15:00,6.01779,1.50567,5.00931,-50.06243,-5.48469,-5.52807,1.35932,0.31404,74.36833,-9.510586,-1.753254,0.480541,91.70076,18.234741,-17.812344,3887.806067,101.48292,28.7639,-42.44048,264.69009,241.3507,-30.105604,3.057854,2.55528,-2.25248,-1.42662,50,5.92727,1.80393,-116.6466,-2.89861,3.53114,21.32849,-35.28674,LAM_CAR,UTR_VAQ,LamarUniversity,D1,SLAND,20260228-LamarUniversity-1,4fac56b0-14fa-11f1-8a78-5b9e67d50bfa,78.43753,31.79627,NA,5.94727,NA,NA,NA,1.34015,1.38801,-0.29494,8a5ea127-40e9-445e-971d-089981b0cb4d,2026-02-28,23:07:52,2026-02-28T23:07:52Z,2026-02-28T23:07:52Z,LineDrive,v3,471334,471407,NA,"Kummer, Theo",821439,Right,LAM_CAR,6ee7e0bf-79de-4a53-9bda-94c5d23a1a38,55.49305,-117.6467,10.66425,6.02439,-1.244,-17.64337,-1.50733,1.63836,1.76557,127.658315,1.34038,121.60536,-26.36921,5.74443,-0.97474,0.09327,0.00141,-0.00152,1.3e-4,1.38775,42.09823,-15.10102,0.47765,-0.21102,0.14627,-0.04887,0.00856,-6.1e-4,-0.29467,-39.09004,-4.65369,1.96809,-0.33845,-0.03287,0.03008,-0.00616,4.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA
8,2026-02-28,17:08:28,2,1,"Olivier, Chris",10112940,Right,LAM_CAR,"Raygoza, Armani",831193,Left,UTR_VAQ,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,92.28235,-3.335209,-2.135527,2320.990985,204.261679,12:45:00,6.2588,1.4832,5.91881,-13.00103,19.923,8.4906,2.07458,0.20802,84.23284,-5.836065,-0.612074,0.412979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.93236,11.45694,-1.31683,50,5.98375,4.61328,-133.74893,-8.14599,-8.92389,29.1694,-11.44556,LAM_CAR,UTR_VAQ,LamarUniversity,D1,SLAND,20260228-LamarUniversity-1,64d7cd80-14fa-11f1-8a78-5b9e67d50bfa,91.26961,NA,NA,8.04951,NA,NA,NA,NA,NA,NA,8a5ea127-40e9-445e-971d-089981b0cb4d,2026-02-28,23:08:28,2026-02-28T23:08:28Z,2026-02-28T23:08:28Z,NA,v3,471334,471407,NA,"Kummer, Theo",821439,Right,LAM_CAR,4a369876-2faa-4cf3-b360-fb613f12e30d,54.57916,-134.7439,14.5847,6.25496,-7.75558,-5.72278,-1.47938,4.91768,-4.46195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
9,2026-02-28,17:08:54,2,2,"Olivier, Chris",10112940,Right,LAM_CAR,"Raygoza, Armani",831193,Left,UTR_VAQ,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,81.84017,-2.257314,-2.450254,1899.537629,236.219231,01:45:00,5.99937,1.46075,6.17323,-30.73309,10.65524,13.92709,1.35048,0.35696,75.10145,-7.981707,0.064149,0.463031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.92882,6.55957,-1.28231,50,5.81271,4.56967,-118.77733,-5.59002,-11.30462,23.17052,-22.82163,LAM_CAR,UTR_VAQ,LamarUniversity,D1,SLAND,20260228-LamarUniversity-1,74de6ef0-14fa-11f1-8a78-5b9e67d50bfa,81.40366,NA,NA,6.73872,NA,NA,NA,NA,NA,NA,8a5ea127-40e9-445e-971d-089981b0cb4d,2026-02-28,23:08:54,2026-02-28T23:08:54Z,2026-02-28T23:08:54Z,NA,v3,471334,471407,NA,"Kummer, Theo",821439,Right,LAM_CAR,99513636-3326-4481-a5ae-9a554a5ab651,54.32656,-119.61836,11.58526,6.00057,-4.76165,-11.41082,-1.45563,4.98,-5.65231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
10,2026-02-28,17:10:39,2,3,"Olivier, Chris",10112940,Right,LAM_CAR,"Raygoza, Armani",831193,Left,UTR_VAQ,Undefined,1,Top,1,1,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,78.31022,0.578474,-0.643268,2523.031448,31.66193,07:00:00,6.27499,1.3988,5.46858,-60.60523,-13.14749,-9.22898,1.76599,0.02767,70.61289,-10.453668,-2.292669,0.495821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.39673,-6.25067,-1.33582,50,6.28493,1.64395,-113.47985,-0.96868,5.56967,26.28849,-40.09223,LAM_CAR,UTR_VAQ,LamarUniversity,D1,SLAND,20260228-LamarUniversity-1,b33f0fb0-14fa-11f1-8a78-5b9e67d50bfa,76.02026,NA,NA,7.69734,NA,NA,NA,NA,NA,NA,8a5ea127-40e9-445e-971d-089981b0cb4d,2026-02-28,23:10:39,2026-02-28T23:10:39Z,2026-02-28T23:10:39Z,NA,v3,471334,471407,NA,"Kummer, Theo",821439,Right,LAM_CAR,e6381c89-08a9-4b33-b365-cde0e34a1d6f,55.03089,-114.63937,13.14425,6.28866,0.79969,-20.04612,-1.40292,1.39828,2.78484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
