player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,2026-02-28,17:44:54,1,1,"Albright, Blaine",1000150163,Left,MAR_THU,"Christie, Alex",1000091012,Right,BUT_BUL,Undefined,7,Top,0,0,0,Fastball,Sinker,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,90.59786,-1.746167,5.308465,2077.275277,123.770288,10:15:00,5.13643,-2.04464,6.08475,-25.87072,8.53815,-10.94512,1.35771,1.96817,82.01955,-6.583245,3.348475,0.422189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.23886,5.31563,1.63934,50,4.98761,-11.69234,-130.91301,-4.86257,12.42697,30.42033,-23.04873,MAR_THU,BUT_BUL,JackCookField,D1,SBELT,20260228-JackCookField-1,19fee990-14f7-11f1-a992-798491ee42ef,89.27864,NA,NA,8.5783,NA,NA,NA,NA,NA,NA,5bd6f060-d742-423e-ad13-8c337e577b19,2026-02-28,22:44:54,2026-02-28T22:44:54Z,2026-02-28T22:44:54Z,NA,v3,471347,471250,7f8b38cb5b574444be3fca785b1a91f8,"Golden, Jackson",831450,Right,MAR_THU,de121b63-588d-4bac-8185-866ff4f47be5,54.409910000000004,-131.93377,15.21016,5.1378,-4.08917,-11.52437,2.03867,-12.10933,6.21348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,2026-02-28,17:45:11,1,2,"Albright, Blaine",1000150163,Left,MAR_THU,"Christie, Alex",1000091012,Right,BUT_BUL,Undefined,7,Top,0,1,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,90.86856,-0.796656,3.459873,2037.647063,114.286206,09:45:00,5.23375,-2.09986,5.71455,-26.1086,7.98989,-15.32135,2.3145,-0.14967,83.12511,-5.635402,0.723487,0.42028,74.79393,28.570897,124.062333,3978.958407,NA,NA,NA,NA,50.3587,NA,NA,8.75355,4.60587,1.81991,50,5.15087,-7.29711,-131.7962,-2.76466,15.41178,27.75496,-24.06481,MAR_THU,BUT_BUL,JackCookField,D1,SBELT,20260228-JackCookField-1,23e1bc30-14f7-11f1-a992-798491ee42ef,89.68406,22.26054,NA,7.74345,NA,NA,NA,0.57449,1.90415,0.40606,5bd6f060-d742-423e-ad13-8c337e577b19,2026-02-28,22:45:11,2026-02-28T22:45:11Z,2026-02-28T22:45:11Z,NA,v3,471347,471250,7f8b38cb5b574444be3fca785b1a91f8,"Golden, Jackson",831450,Right,MAR_THU,aea0fb38-9002-46db-bb8e-578bf8bf86a4,54.78354,-132.79975,13.87748,5.2351,-1.89454,-12.03241,2.09383,-7.85435,7.70589,NA,0.57449,-53.9591,-2.78311,2.427,-0.74838,0.21076,-0.04577,0.00699,3.7e-4,1.90415,52.46242,-30.13247,4.40184,-0.95254,0.19331,-0.03883,0.01101,-0.00253,0.40606,79.81023,-11.80254,1.17694,-0.11514,-0.03084,0.01159,-0.00242,1.9e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,2026-02-28,17:45:28,1,3,"Albright, Blaine",1000150163,Left,MAR_THU,"Christie, Alex",1000091012,Right,BUT_BUL,Undefined,7,Top,0,1,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,89.89548,-0.359155,2.908496,1978.054448,103.583142,09:30:00,5.18911,-2.19751,5.79309,-30.10958,4.99717,-15.60272,2.34546,-0.78998,81.36404,-5.949253,0.11495,0.426449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.81886,3.03559,1.96737,50,5.14173,-5.93309,-130.31091,-1.89006,14.99213,30.28011,-27.01352,MAR_THU,BUT_BUL,JackCookField,D1,SBELT,20260228-JackCookField-1,2e70fb70-14f7-11f1-a992-798491ee42ef,88.38684,NA,NA,8.53144,NA,NA,NA,NA,NA,NA,5bd6f060-d742-423e-ad13-8c337e577b19,2026-02-28,22:45:28,2026-02-28T22:45:28Z,2026-02-28T22:45:28Z,NA,v3,471347,471250,7f8b38cb5b574444be3fca785b1a91f8,"Golden, Jackson",831450,Right,MAR_THU,c23828c0-e4c1-4415-8b03-4e0d5c33eeb6,54.70289,-131.39916,15.14006,5.19221,-0.9192,-13.50676,2.19029,-6.4719,7.49606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,2026-02-28,17:45:42,1,4,"Albright, Blaine",1000150163,Left,MAR_THU,"Christie, Alex",1000091012,Right,BUT_BUL,Undefined,7,Top,0,1,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,77.36479,1.707276,0.698762,2109.92241,304.051681,04:15:00,5.34913,-2.17172,4.768,-50.27554,-2.5252,5.50229,2.77872,-1.05069,72.33666,-7.301183,1.666506,0.497347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.56831,-1.28902,2.09662,50,5.4753,-1.59505,-112.47045,1.51266,-3.35699,16.48973,-33.85888,MAR_THU,BUT_BUL,JackCookField,D1,SBELT,20260228-JackCookField-1,36df0860-14f7-11f1-a992-798491ee42ef,75.78696,NA,NA,5.02813,NA,NA,NA,NA,NA,NA,5bd6f060-d742-423e-ad13-8c337e577b19,2026-02-28,22:45:42,2026-02-28T22:45:42Z,2026-02-28T22:45:42Z,NA,v3,471347,471250,7f8b38cb5b574444be3fca785b1a91f8,"Golden, Jackson",831450,Right,MAR_THU,35169059-6a82-40a0-a9fd-32d63e727641,55.73326,-113.3079,8.24487,5.35481,3.23224,-16.92944,2.17329,-1.42456,-1.6785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.57956,2.94101,1.798042,1.142969,-1.27741,2.42204,0.97117,-0.22646,5.73924,-1.72988,70.367,7.61314,-54.40684,-0.18591,65.89237,-3.64532,5.7928,17.80423,-14.18525,-1.82351,-52.79809,5.94639,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,2026-02-28,17:56:26,1,1,"Albright, Blaine",1000150163,Left,MAR_THU,"Gilmore, Gavin",10149934,Right,BUT_BUL,Undefined,8,Top,0,0,0,Fastball,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MAR_THU,BUT_BUL,JackCookField,D1,SBELT,20260228-JackCookField-1,f6c5f750-14f8-11f1-a992-798491ee42ef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5bd6f060-d742-423e-ad13-8c337e577b19,2026-02-28,22:56:26,2026-02-28T22:56:26Z,2026-02-28T22:56:26Z,NA,v3,471347,471250,7f8b38cb5b574444be3fca785b1a91f8,"Golden, Jackson",831450,Right,MAR_THU,2ee67562-b1eb-4a53-8c09-10f2d4ba93bb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253,2026-02-28,18:27:09,2,1,"Proehl, Luke",1000162743,Right,MAR_THU,"Lewis, Chris",10267568,Right,BUT_BUL,Undefined,9,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,87.35596,-1.384779,-0.62343,2011.197781,195.957452,12:30:00,6.07264,0.51129,6.58804,-16.57895,18.99182,5.11303,3.42185,0.3661,79.97928,-4.582771,0.306526,0.429258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.87012,10.72363,-0.47066,50,5.97068,1.19321,-127.04126,-3.47125,-4.69232,25.93746,-14.64219,MAR_THU,BUT_BUL,JackCookField,D1,SBELT,20260228-JackCookField-1,00ffc6c0-14fd-11f1-a992-798491ee42ef,87.8084,NA,NA,7.37668,NA,NA,NA,NA,NA,NA,5bd6f060-d742-423e-ad13-8c337e577b19,2026-02-28,23:27:09,2026-02-28T23:27:09Z,2026-02-28T23:27:09Z,NA,v3,471347,471250,7f8b38cb5b574444be3fca785b1a91f8,"Golden, Jackson",831450,Right,MAR_THU,10ee81dd-7294-4394-8231-facab42a17ab,53.90934,-127.83692,12.96873,6.07027,-3.02209,-7.3211,-0.50947,1.33716,-2.34616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,2026-02-28,18:27:31,2,2,"Proehl, Luke",1000162743,Right,MAR_THU,"Lewis, Chris",10267568,Right,BUT_BUL,Undefined,9,Top,0,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,78.90992,0.160391,-1.338517,2503.452233,44.298651,07:30:00,5.86137,0.96258,5.55371,-52.94223,-7.07363,-8.40792,1.59942,-0.98896,72.13584,-9.481788,-2.841524,0.487449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84437,-3.19394,-0.84117,50,5.84023,3.00233,-114.51888,-1.47696,5.04454,23.499,-36.36508,MAR_THU,BUT_BUL,JackCookField,D1,SBELT,20260228-JackCookField-1,0e1e3c60-14fd-11f1-a992-798491ee42ef,77.32589,NA,NA,6.77408,NA,NA,NA,NA,NA,NA,5bd6f060-d742-423e-ad13-8c337e577b19,2026-02-28,23:27:31,2026-02-28T23:27:31Z,2026-02-28T23:27:31Z,NA,v3,471347,471250,7f8b38cb5b574444be3fca785b1a91f8,"Golden, Jackson",831450,Right,MAR_THU,aba90c5d-def7-40b1-959a-10d3b3fe71fe,54.94505,-115.52914,11.7495,5.87012,0.08643,-18.18254,-0.96558,2.78546,2.52227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,2026-02-28,18:27:51,2,3,"Proehl, Luke",1000162743,Right,MAR_THU,"Lewis, Chris",10267568,Right,BUT_BUL,Undefined,9,Top,0,0,2,Slider,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,78.61812,0.961759,-0.741659,2504.530349,43.448067,07:30:00,5.87903,0.86421,5.59262,-55.32133,-9.10146,-10.11894,2.16705,-0.67154,71.64098,-9.133401,-2.551706,0.489312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.87666,-4.42138,-0.79395,50,5.92573,1.87253,-114.09431,0.03355,6.33887,23.7146,-37.9211,MAR_THU,BUT_BUL,JackCookField,D1,SBELT,20260228-JackCookField-1,1a44e480-14fd-11f1-a992-798491ee42ef,77.03152,NA,NA,6.97714,NA,NA,NA,NA,NA,NA,5bd6f060-d742-423e-ad13-8c337e577b19,2026-02-28,23:27:51,2026-02-28T23:27:51Z,2026-02-28T23:27:51Z,NA,v3,471347,471250,7f8b38cb5b574444be3fca785b1a91f8,"Golden, Jackson",831450,Right,MAR_THU,9dbe08c9-bc11-4962-937e-631bc2271558,54.90606,-115.10952,11.8573,5.88954,1.65694,-18.96055,-0.8683,1.60116,3.16944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,2026-02-28,18:38:42,2,1,"Winders, Max",1000170806,Right,BUT_BUL,"Harthan, Cameron",1000248738,Left,MAR_THU,Undefined,9,Bottom,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,76.88231,0.178012,-0.57039,2517.709192,112.932587,09:45:00,5.45504,1.82282,5.906,-40.68951,7.00705,-12.68678,2.22949,0.23613,69.94481,-7.373187,-2.849634,0.497067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.29973,4.03547,-1.7699,50,5.44639,1.57887,-111.59047,-0.86739,7.84964,22.29628,-27.1457,MAR_THU,BUT_BUL,JackCookField,D1,SBELT,20260228-JackCookField-1,9e43fae0-14fe-11f1-a992-798491ee42ef,75.8297,NA,NA,6.9375,NA,NA,NA,NA,NA,NA,5bd6f060-d742-423e-ad13-8c337e577b19,2026-02-28,23:38:42,2026-02-28T23:38:42Z,2026-02-28T23:38:42Z,NA,v3,471347,471250,7f8b38cb5b574444be3fca785b1a91f8,"Sackett, Connor",234024,Right,BUT_BUL,00e0264b-f426-46e8-a9af-fa86b30b2dd3,54.58948,-112.50373,11.14814,5.45915,0.24451,-13.57285,-1.82799,1.25735,3.92482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271,2026-02-28,18:38:55,2,2,"Winders, Max",1000170806,Right,BUT_BUL,"Harthan, Cameron",1000248738,Left,MAR_THU,Undefined,9,Bottom,1,0,1,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,81.82594,-0.323938,-1.762716,917.516338,248.827545,02:15:00,5.36735,2.05176,6.18764,-36.92026,4.61689,8.32067,1.99143,1.11713,74.57555,-7.19861,-0.259679,0.463863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.82024,2.92906,-1.92285,50,5.3246,3.34126,-118.81345,-1.80414,-6.83386,24.50546,-28.02137,MAR_THU,BUT_BUL,JackCookField,D1,SBELT,20260228-JackCookField-1,a5f5e3c0-14fe-11f1-a992-798491ee42ef,81.25769,NA,NA,7.25039,NA,NA,NA,NA,NA,NA,5bd6f060-d742-423e-ad13-8c337e577b19,2026-02-28,23:38:55,2026-02-28T23:38:55Z,2026-02-28T23:38:55Z,NA,v3,471347,471250,7f8b38cb5b574444be3fca785b1a91f8,"Sackett, Connor",234024,Right,BUT_BUL,c1bc5f7b-68a6-4559-800a-3cb2374608fa,54.30827,-119.69874,12.25273,5.37149,-0.79184,-14.01069,-2.04802,3.58814,-3.41693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
