player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,2026-03-11,16:15:33,7,4,"Poirrier, Cole",1000226434,Right,NIC_COL,"Briggs, Kameron",1000524424,Right,XAV_LOU,Undefined,4,Top,2,1,2,Other,NA,BallCalled,Undefined,Undefined,Undefined,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIC_COL,XAV_LOU,BenMeyerDiamond,D1,SLAND,20260311-BenMeyerDiamond-1,85809620-1d97-11f1-9bff-f19e004ea30e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26b573b3-1366-4f7f-86ed-248fcb32a0b8,2026-03-11,22:15:33,2026-03-11T22:15:33Z,2026-03-11T22:15:33Z,NA,v3,471383,NA,NA,"Pourciau, Clayton",822962,Right,NIC_COL,9466d555-3e3a-4c1d-8bc3-47548b3aaa9b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,2026-03-11,16:23:53,1,1,"Poirrier, Cole",1000226434,Right,NIC_COL,"Briggs, Kameron",1000524424,Right,XAV_LOU,Undefined,5,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.50106,-0.167279,-1.969002,2148.21123,252.020575,02:30:00,5.57583,1.61788,5.38895,-27.72309,6.34359,16.89843,3.1087,1.17991,84.37182,-5.230027,1.035987,0.420084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.94205,3.50532,-1.45426,50,5.54118,3.77076,-131.65295,-1.44252,-16.02757,22.38218,-25.89118,NIC_COL,XAV_LOU,BenMeyerDiamond,D1,SLAND,20260311-BenMeyerDiamond-1,fc94a2f0-1d98-11f1-9bff-f19e004ea30e,89.72589,NA,NA,6.12924,NA,NA,NA,NA,NA,NA,26b573b3-1366-4f7f-86ed-248fcb32a0b8,2026-03-11,22:23:53,2026-03-11T22:23:53Z,2026-03-11T22:23:53Z,NA,v3,471383,NA,NA,"Pourciau, Clayton",822962,Right,NIC_COL,760827c4-eff6-47c4-a3e5-1b51cd626c88,55.11254,-132.51928,11.19109,5.57762,-0.44037,-12.94559,-1.61221,4.39113,-8.01378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,2026-03-11,16:24:05,1,2,"Poirrier, Cole",1000226434,Right,NIC_COL,"Briggs, Kameron",1000524424,Right,XAV_LOU,Undefined,5,Top,0,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.33442,-1.435095,-4.072242,2393.758383,198.467815,12:30:00,5.60898,1.75422,5.47829,-34.99829,4.48603,1.14563,1.3459700000000001,-1.9671,78.62968,-7.788384,-3.868834,0.452255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.52768,2.94236,-1.39706,50,5.45873,8.66152,-122.32374,-4.31483,-2.35168,20.51809,-27.64468,NIC_COL,XAV_LOU,BenMeyerDiamond,D1,SLAND,20260311-BenMeyerDiamond-1,04450530-1d99-11f1-9bff-f19e004ea30e,83.34325,NA,NA,5.70474,NA,NA,NA,NA,NA,NA,26b573b3-1366-4f7f-86ed-248fcb32a0b8,2026-03-11,22:24:05,2026-03-11T22:24:05Z,2026-03-11T22:24:05Z,NA,v3,471383,NA,NA,"Pourciau, Clayton",822962,Right,NIC_COL,d8ff10a0-710b-48ab-81c9-4e2dd0656dec,55.02142,-123.16313,10.25905,5.61212,-3.18389,-13.82234,-1.75338,8.75773,-1.17584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,2026-03-11,16:24:21,1,3,"Poirrier, Cole",1000226434,Right,NIC_COL,"Briggs, Kameron",1000524424,Right,XAV_LOU,Undefined,5,Top,0,2,0,Cutter,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,84.45673,-0.588475,-2.223777,2341.446936,210.923998,01:00:00,5.60949,1.6853,5.48111,-33.80289,4.86233,2.39606,2.24155,-0.19673,79.66741,-6.722436,-1.797088,0.44754,71.0728,-16.375483,-7.53262,NA,NA,NA,NA,9.09601,8.82275,-5.222474,0.076293,-1.6528,2.8213,-1.4919,50,5.53427,4.67928,-122.95071,-2.46016,-2.6072,17.39226,-27.72352,NIC_COL,XAV_LOU,BenMeyerDiamond,D1,SLAND,20260311-BenMeyerDiamond-1,0d60b740-1d99-11f1-9bff-f19e004ea30e,84.22144,2.24895,NA,4.78931,NA,NA,NA,1.47093,2.24895,0.17534,26b573b3-1366-4f7f-86ed-248fcb32a0b8,2026-03-11,22:24:21,2026-03-11T22:24:21Z,2026-03-11T22:24:21Z,GroundBall,v3,471383,NA,NA,"Pourciau, Clayton",822962,Right,NIC_COL,a674da3e-a734-43e6-945b-09ea8a00b517,55.02128,-123.65897,8.69613,5.61146,-1.33118,-13.86176,-1.68461,4.78546,-1.3036,180,1.46722,99.45016,NA,NA,NA,NA,NA,NA,NA,2.25005,-29.47792,NA,NA,NA,NA,NA,NA,NA,0.17583,-13.15047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,2026-03-11,16:24:53,2,1,"Poirrier, Cole",1000226434,Right,NIC_COL,"Steed, Lawrence",1000123552,Right,XAV_LOU,Undefined,5,Top,1,0,0,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,76.37229,1.425312,-0.292063,2512.940406,28.611141,07:00:00,5.87206,1.6661,5.19125,-63.90433,-14.7108,-8.84985,1.88779,0.65386,70.44914,-10.08976,-1.864871,0.504807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.36815,-7.41599,-1.63189,50,5.95493,0.90646,-110.937,0.53555,5.42721,20.40635,-41.38802,NIC_COL,XAV_LOU,BenMeyerDiamond,D1,SLAND,20260311-BenMeyerDiamond-1,20d55650-1d99-11f1-9bff-f19e004ea30e,74.66702,NA,NA,5.92315,NA,NA,NA,NA,NA,NA,26b573b3-1366-4f7f-86ed-248fcb32a0b8,2026-03-11,22:24:53,2026-03-11T22:24:53Z,2026-03-11T22:24:53Z,NA,v3,471383,NA,NA,"Pourciau, Clayton",822962,Right,NIC_COL,32e201ce-bb5a-49a1-8bc7-469da73dc9d8,55.31238,-111.90992,10.20318,5.88236,2.50883,-20.69401,-1.66894,0.6477,2.71361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,2026-03-11,16:25:07,2,2,"Poirrier, Cole",1000226434,Right,NIC_COL,"Steed, Lawrence",1000123552,Right,XAV_LOU,Undefined,5,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,76.25558,0.581351,-3.559476,2561.958293,30.599186,07:00:00,5.81501,1.47938,5.13701,-62.98669,-13.4641,-8.8276,1.11463,-2.61234,70.73506,-10.702401,-5.120706,0.506493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.40166,-6.41689,-1.13834,50,5.8206,7.22464,-110.58471,-1.09184,4.20895,19.86693,-40.11381,NIC_COL,XAV_LOU,BenMeyerDiamond,D1,SLAND,20260311-BenMeyerDiamond-1,2913eed0-1d99-11f1-9bff-f19e004ea30e,74.41855,NA,NA,5.52052,NA,NA,NA,NA,NA,NA,26b573b3-1366-4f7f-86ed-248fcb32a0b8,2026-03-11,22:25:07,2026-03-11T22:25:07Z,2026-03-11T22:25:07Z,NA,v3,471383,NA,NA,"Pourciau, Clayton",822962,Right,NIC_COL,b379fed8-023f-4239-9e70-4f086b321dd4,55.36609,-111.54459,9.93346,5.82654,0.84626,-20.0569,-1.48249,7.02128,2.10448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,2026-03-11,16:25:21,2,3,"Poirrier, Cole",1000226434,Right,NIC_COL,"Steed, Lawrence",1000123552,Right,XAV_LOU,Undefined,5,Top,1,1,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,90.05662,-1.192462,-2.51998,2375.723437,234.995898,01:45:00,5.61366,1.66514,5.43083,-24.24923,10.41312,13.47926,2.47489,0.42688,83.3282,-5.654928,-0.122602,0.423741,84.49717,-24.395042,-43.241592,NA,NA,NA,NA,7.45256,3.63946,-34.188558,0.049624,-7.48516,5.83048,-1.45175,50,5.49107,5.17433,-130.8262,-3.60796,-13.13379,24.38932,-21.94366,NIC_COL,XAV_LOU,BenMeyerDiamond,D1,SLAND,20260311-BenMeyerDiamond-1,316e25a0-1d99-11f1-9bff-f19e004ea30e,88.95163,2.54634,NA,6.72842,NA,NA,NA,2.07459,2.54634,-0.34126,26b573b3-1366-4f7f-86ed-248fcb32a0b8,2026-03-11,22:25:21,2026-03-11T22:25:21Z,2026-03-11T22:25:21Z,GroundBall,v3,471383,NA,NA,"Pourciau, Clayton",822962,Right,NIC_COL,e7d40a5a-9002-4d1f-9085-0819ec2ec8cd,55.07042,-131.76806,12.19466,5.61404,-2.76054,-10.97183,-1.66136,5.68153,-6.5669,NA,2.07296,82.42261,NA,NA,NA,NA,NA,NA,NA,2.54735,-51.31286,NA,NA,NA,NA,NA,NA,NA,-0.33973,-77.51266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,2026-03-11,16:25:52,3,1,"Poirrier, Cole",1000226434,Right,NIC_COL,"Boyd, Cohen",1000317228,Right,XAV_LOU,Undefined,5,Top,2,0,0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,86.31988,-1.342195,-3.234705,2333.744614,207.07107,01:00:00,5.59893,1.79193,5.60766,-32.75073,4.37925,1.77969,1.61463,-1.08236,81.04012,-7.29657,-2.917431,0.438565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.58465,2.79043,-1.51627,50,5.46245,7.01799,-125.46134,-4.11091,-2.58743,19.57051,-27.61782,NIC_COL,XAV_LOU,BenMeyerDiamond,D1,SLAND,20260311-BenMeyerDiamond-1,440becb0-1d99-11f1-9bff-f19e004ea30e,85.94495,NA,NA,5.27976,NA,NA,NA,NA,NA,NA,26b573b3-1366-4f7f-86ed-248fcb32a0b8,2026-03-11,22:25:52,2026-03-11T22:25:52Z,2026-03-11T22:25:52Z,NA,v3,471383,NA,NA,"Pourciau, Clayton",822962,Right,NIC_COL,848bd615-f993-4d13-b42a-7631038f4c93,54.89346,-126.22236,9.78526,5.60142,-3.03697,-13.80891,-1.7911300000000001,7.1186,-1.29372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,2026-03-11,16:26:08,3,2,"Poirrier, Cole",1000226434,Right,NIC_COL,"Boyd, Cohen",1000317228,Right,XAV_LOU,Undefined,5,Top,2,0,1,Cutter,Slider,InPlay,Undefined,GroundBall,Single,0,0,NA,85.44351,-0.737267,-2.977541,2362.681174,218.362791,01:15:00,5.50714,1.75853,5.36257,-32.20895,6.22418,4.13201,2.13075,-0.69172,79.63856,-6.599093,-2.244102,0.446195,65.54905,-63.4354,-87.070135,NA,NA,NA,NA,2.08391,2.03899,-11.174306,0.026208,-2.77689,3.58087,-1.49412,50,5.41762,6.28676,-124.13869,-2.76072,-4.41159,20.63784,-26.48519,NIC_COL,XAV_LOU,BenMeyerDiamond,D1,SLAND,20260311-BenMeyerDiamond-1,4d4deb70-1d99-11f1-9bff-f19e004ea30e,84.4753,2.26223,NA,5.80495,NA,NA,NA,1.98659,2.26223,0.72576,26b573b3-1366-4f7f-86ed-248fcb32a0b8,2026-03-11,22:26:08,2026-03-11T22:26:08Z,2026-03-11T22:26:08Z,GroundBall,v3,471383,NA,NA,"Pourciau, Clayton",822962,Right,NIC_COL,b8f563d0-d833-45e0-b34c-22c393e0b0fc,55.13872,-124.99007,10.31892,5.50897,-1.66812,-13.2426,-1.75722,6.46876,-2.20579,NA,1.98655,2.20597,NA,NA,NA,NA,NA,NA,NA,2.26362,-86.31833,NA,NA,NA,NA,NA,NA,NA,0.72646,-43.1019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,2026-03-11,16:26:55,4,1,"Poirrier, Cole",1000226434,Right,NIC_COL,"Smith, Jayden",1000404618,Left,XAV_LOU,Undefined,5,Top,2,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.2273,-1.9703,-2.780369,2287.000565,259.30588,02:45:00,5.41219,1.89895,5.65076,-30.23132,3.96079,16.06812,1.05236,0.64272,83.94743,-7.491574,0.091964,0.420857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.86607,2.75122,-1.67375,50,5.22546,5.68126,-131.08537,-5.62903,-15.65996,23.78764,-27.31461,NIC_COL,XAV_LOU,BenMeyerDiamond,D1,SLAND,20260311-BenMeyerDiamond-1,69946250-1d99-11f1-9bff-f19e004ea30e,89.56123,NA,NA,6.27987,NA,NA,NA,NA,NA,NA,26b573b3-1366-4f7f-86ed-248fcb32a0b8,2026-03-11,22:26:55,2026-03-11T22:26:55Z,2026-03-11T22:26:55Z,NA,v3,471383,NA,NA,"Pourciau, Clayton",822962,Right,NIC_COL,85468265-e2f0-417e-952f-660b1652973d,54.85094,-131.96272,11.89382,5.41449,-4.62159,-13.6573,-1.89394,6.25884,-7.82998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
