player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,2026-02-21,13:20:38,5,2,"Beaver, Jake",1000164138,Left,GEO_COL1,"Murphy, Devon",90000255856,Right,GEO_SOU,Undefined,4,Bottom,2,0,1,Fastball,NA,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,87.09865,-0.773295,1.14214,2139.097851,NA,NA,5.37631,-1.31128,5.47215,NA,NA,NA,3.26888,-0.64838,78.04871,-3.973184,0.274617,0.44436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.81921,11.47134,1.21423,50,5.29757,-2.29651,-126.13829,-2.16576,4.45578,30.20657,-14.04344,GEO_SOU,GEO_COL1,SusanKSmithBaseballComplex,D2,NCAAPB,20260221-SusanKSmithBaseballComplex-1,06f4d6c0-0f52-11f1-a027-d385247fecdf,84.82412,NA,NA,9.04994,NA,NA,NA,NA,NA,NA,9105e2f9-8940-4fc3-b9ea-62b86807bfa2,2026-02-21,18:20:38,2026-02-21T18:20:38Z,2026-02-21T18:20:38Z,NA,v3,643-144953,643-144949,NA,"Bestermann, Rand",1000411026,Right,GEO_COL1,8ea7b7ca-d200-44eb-abb2-1985e56d2118,55.02423,-127.33577,15.10328,5.3724,-1.60904,-7.02172,1.30877,-2.47315,2.22789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,2026-02-21,13:20:55,5,3,"Beaver, Jake",1000164138,Left,GEO_COL1,"Murphy, Devon",90000255856,Right,GEO_SOU,Undefined,4,Bottom,2,0,2,Fastball,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,85.66906,-2.643585,2.654306,2031.90628,NA,NA,5.28037,-1.73484,5.51823,NA,NA,NA,1.32333,-0.27597,76.19052,-6.071736,0.465127,0.454245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.15953,12.53938,1.51198,50,5.03858,-5.20205,-123.75259,-6.20679,10.78118,31.36039,-13.29165,GEO_SOU,GEO_COL1,SusanKSmithBaseballComplex,D2,NCAAPB,20260221-SusanKSmithBaseballComplex-1,10f9b050-0f52-11f1-a027-d385247fecdf,82.97813,NA,NA,9.47853,NA,NA,NA,NA,NA,NA,9105e2f9-8940-4fc3-b9ea-62b86807bfa2,2026-02-21,18:20:55,2026-02-21T18:20:55Z,2026-02-21T18:20:55Z,NA,v3,643-144953,643-144949,NA,"Bestermann, Rand",1000411026,Right,GEO_COL1,37451098-9b25-4d22-9679-b6b555a169be,54.97844,-125.00782,15.68019,5.27636,-5.67478,-6.64582,1.72884,-5.63358,5.39059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,2026-02-21,13:21:15,5,4,"Beaver, Jake",1000164138,Left,GEO_COL1,"Murphy, Devon",90000255856,Right,GEO_SOU,Undefined,4,Bottom,2,1,2,Fastball,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,75.03377,-0.265662,-1.099429,2328.260614,NA,NA,5.02306,-1.66709,4.6879,NA,NA,NA,1.15977,0.04134,68.06796,-8.134282,4.703732,0.522502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.56115,5.21032,1.74706,50,4.95778,0.73369,-108.68443,-1.98846,-19.47533,22.04296,-26.04691,GEO_SOU,GEO_COL1,SusanKSmithBaseballComplex,D2,NCAAPB,20260221-SusanKSmithBaseballComplex-1,1cae5cc0-0f52-11f1-a027-d385247fecdf,72.13832,NA,NA,6.96581,NA,NA,NA,NA,NA,NA,9105e2f9-8940-4fc3-b9ea-62b86807bfa2,2026-02-21,18:21:15,2026-02-21T18:21:15Z,2026-02-21T18:21:15Z,NA,v3,643-144953,643-144949,NA,"Bestermann, Rand",1000411026,Right,GEO_COL1,04f03697-a2fb-4d82-8446-cb40f2c60ce2,55.81459,-109.85739,11.02148,5.02672,-0.60244,-13.02346,1.68045,1.77003,-9.73766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,2026-02-21,13:21:36,5,5,"Beaver, Jake",1000164138,Left,GEO_COL1,"Murphy, Devon",90000255856,Right,GEO_SOU,Undefined,4,Bottom,2,2,2,Fastball,NA,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,87.43426,-0.578994,1.050524,2067.402347,NA,NA,5.36156,-1.8733900000000001,5.57098,NA,NA,NA,3.40781,-1.11857,79.10498,-3.821331,0.565546,0.439641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68445,10.81906,1.78462,50,5.30082,-2.20474,-126.79011,-1.76756,2.71759,28.08138,-14.7194,GEO_SOU,GEO_COL1,SusanKSmithBaseballComplex,D2,NCAAPB,20260221-SusanKSmithBaseballComplex-1,2961db90-0f52-11f1-a027-d385247fecdf,85.73466,NA,NA,8.32928,NA,NA,NA,NA,NA,NA,9105e2f9-8940-4fc3-b9ea-62b86807bfa2,2026-02-21,18:21:36,2026-02-21T18:21:36Z,2026-02-21T18:21:36Z,NA,v3,643-144953,643-144949,NA,"Bestermann, Rand",1000411026,Right,GEO_COL1,0460f1d0-f648-4fbf-8116-ef781e6ca259,54.92665,-127.87661,14.04069,5.35819,-1.19805,-7.3597,1.87196,-2.30989,1.35879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,2026-02-21,13:23:43,1,1,"Espinoza, Derek",1000398735,Right,GEO_SOU,"Phillips, Carson",1000364893,Right,GEO_COL1,Undefined,5,Top,0,0,0,Fastball,NA,InPlay,Undefined,LineDrive,Single,0,0,NA,88.46208,-3.825154,-5.392515,2258.543085,NA,NA,5.91474,2.02949,5.87644,NA,NA,NA,1.58953,-1.15007,79.84333,-5.667182,-1.448057,0.434418,92.92496,9.883413,13.600308,2373.650986,104.94275,12.86449,32.96759,217.75474,217.75474,20.792532,2.115832,-13.00595,15.59812,-1.60543,50,5.59878,11.12198,-127.63575,-8.71562,-21.25434,28.56317,-6.68358,GEO_SOU,GEO_COL1,SusanKSmithBaseballComplex,D2,NCAAPB,20260221-SusanKSmithBaseballComplex-1,75093a70-0f52-11f1-a027-d385247fecdf,86.76538,12.92982,NA,8.61875,NA,NA,NA,0.86945,1.53525,1.17822,9105e2f9-8940-4fc3-b9ea-62b86807bfa2,2026-02-21,18:23:43,2026-02-21T18:23:43Z,2026-02-21T18:23:43Z,LineDrive,v3,643-144953,643-144949,NA,"Melendez, Edwin",1000299944,Right,GEO_SOU,8355c4f8-1f50-4770-bb14-1a576b951a44,54.62591,-128.6668,14.28159,5.90904,-8.47436,-3.34179,-2.02075,11.8892,-10.62717,NA,0.86944,130.50299,-21.29822,3.29791,-0.60625,0.08221,-0.00752,2e-5,6e-5,1.53525,23.39289,-12.55399,0.57829,-0.02464,0.00603,-0.00112,2.6e-4,-5e-5,1.1782300000000001,31.57062,4.87729,-2.16393,0.59839,-0.12489,0.01639,-7.6e-4,-9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,2026-02-21,13:24:16,2,1,"Espinoza, Derek",1000398735,Right,GEO_SOU,"Petrovich, Ty",1000336621,Right,GEO_COL1,Undefined,5,Top,0,0,0,ChangeUp,NA,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,77.34893,-1.269051,-4.368768,1668.937059,NA,NA,5.35366,1.9709,5.87849,NA,NA,NA,1.04653,-0.24827,72.13856,-8.152928,-0.401101,0.488986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.40949,5.11252,-1.63032,50,5.2287,7.79085,-112.28154,-3.62252,-16.11378,17.06134,-25.5354,GEO_SOU,GEO_COL1,SusanKSmithBaseballComplex,D2,NCAAPB,20260221-SusanKSmithBaseballComplex-1,8897ca20-0f52-11f1-a027-d385247fecdf,77.08287,NA,NA,5.21037,NA,NA,NA,NA,NA,NA,9105e2f9-8940-4fc3-b9ea-62b86807bfa2,2026-02-21,18:24:16,2026-02-21T18:24:16Z,2026-02-21T18:24:16Z,NA,v3,643-144953,643-144949,NA,"Melendez, Edwin",1000299944,Right,GEO_SOU,e47abb0f-0954-4e18-8e84-5be67e513816,54.62681,-112.98241,8.53067,5.35596,-2.57355,-12.7677,-1.96396,8.45279,-8.05689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,2026-02-21,13:25:07,2,2,"Espinoza, Derek",1000398735,Right,GEO_SOU,"Petrovich, Ty",1000336621,Right,GEO_COL1,Undefined,5,Top,0,0,1,ChangeUp,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.6982,-3.488818,-5.224716,1746.191344,NA,NA,5.35115,1.76081,5.84481,NA,NA,NA,-0.28097,-0.56875,74.06777,-8.744516,0.22251,0.476646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.9221,9.09902,-1.35291,50,5.04866,9.43076,-115.36634,-7.90886,-23.14139,18.50633,-19.7309,GEO_SOU,GEO_COL1,SusanKSmithBaseballComplex,D2,NCAAPB,20260221-SusanKSmithBaseballComplex-1,a7330670-0f52-11f1-a027-d385247fecdf,79.07842,NA,NA,5.63043,NA,NA,NA,NA,NA,NA,9105e2f9-8940-4fc3-b9ea-62b86807bfa2,2026-02-21,18:25:07,2026-02-21T18:25:07Z,2026-02-21T18:25:07Z,NA,v3,643-144953,643-144949,NA,"Melendez, Edwin",1000299944,Right,GEO_SOU,3446a03c-3df1-499f-ac65-2a4fc9bc291b,54.66163,-116.11172,9.25317,5.3512,-7.11416,-9.86545,-1.75152,10.36283,-11.5707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,2026-02-21,13:25:30,2,3,"Espinoza, Derek",1000398735,Right,GEO_SOU,"Petrovich, Ty",1000336621,Right,GEO_COL1,Undefined,5,Top,0,1,1,Fastball,NA,InPlay,Undefined,Bunt,Sacrifice,1,0,NA,88.01775,-0.913361,-4.575571,2321.238558,NA,NA,5.59585,1.72975,5.7725,NA,NA,NA,4.06871,-0.71016,79.47743,-2.586873,-0.666026,0.435731,14.51333,-7.869366,5.508105,1164.885686,NA,NA,NA,11.875,10.06609,8.622169,0.422119,-12.60481,15.22902,-1.36451,50,5.51574,9.27375,-127.41698,-2.1472,-20.55864,28.1067,-7.33526,GEO_SOU,GEO_COL1,SusanKSmithBaseballComplex,D2,NCAAPB,20260221-SusanKSmithBaseballComplex-1,b50d5200-0f52-11f1-a027-d385247fecdf,86.50385,4.0563,NA,8.54032,NA,NA,NA,2.90816,4.0563,0.78493,9105e2f9-8940-4fc3-b9ea-62b86807bfa2,2026-02-21,18:25:30,2026-02-21T18:25:30Z,2026-02-21T18:25:30Z,GroundBall,v3,643-144953,643-144949,NA,"Melendez, Edwin",1000299944,Right,GEO_SOU,b3986221-2d07-4b4a-9c04-2b7c4b2e41f5,54.73005,-128.45613,14.05335,5.59012,-1.876,-3.66763,-1.72142,10.03384,-10.27932,NA,2.90829,20.98434,-0.14312,NA,NA,NA,NA,NA,NA,4.05668,-2.92579,-15.83869,NA,NA,NA,NA,NA,NA,0.78573,2.00019,0.83803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,2026-02-21,13:26:08,3,1,"Espinoza, Derek",1000398735,Right,GEO_SOU,"Wood, Blake",801857,Right,GEO_COL1,Undefined,5,Top,1,0,0,ChangeUp,NA,InPlay,Undefined,GroundBall,Out,1,0,NA,78.99199,-0.904916,-4.431218,1764.811511,NA,NA,5.41676,2.044,5.91441,NA,NA,NA,2.15364,0.01902,72.62342,-6.326978,0.071817,0.480988,84.55514,-2.799113,-31.254837,NA,NA,NA,NA,22.96307,18.51537,-29.066786,0.204873,-14.13658,8.65504,-1.7028,50,5.32731,7.96086,-114.55526,-2.65113,-18.89213,20.0331,-20.60746,GEO_SOU,GEO_COL1,SusanKSmithBaseballComplex,D2,NCAAPB,20260221-SusanKSmithBaseballComplex-1,cb4bbf70-0f52-11f1-a027-d385247fecdf,78.36469,2.5352,NA,6.36857,NA,NA,NA,-1.29399,2.5352,2.10924,9105e2f9-8940-4fc3-b9ea-62b86807bfa2,2026-02-21,18:26:08,2026-02-21T18:26:08Z,2026-02-21T18:26:08Z,GroundBall,v3,643-144953,643-144949,NA,"Melendez, Edwin",1000299944,Right,GEO_SOU,84002956-32e7-4a72-aa57-ef9a178dfc1f,54.58988,-115.35513,10.01655,5.41674,-1.82832,-10.30373,-2.03572,8.71518,-9.44607,NA,-1.29474,105.93771,-8.03624,NA,NA,NA,NA,NA,NA,2.53573,-6.09034,-30.7039,NA,NA,NA,NA,NA,NA,2.10986,-64.30703,-2.18774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,2026-02-21,13:26:41,4,1,"Espinoza, Derek",1000398735,Right,GEO_SOU,"Bestermann, Rand",1000411026,Right,GEO_COL1,Undefined,5,Top,2,0,0,Slider,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,75.75632,1.215253,-3.667426,2224.090292,NA,NA,5.37735,2.00259,5.1415,NA,NA,NA,3.15378,-1.36208,69.8654,-6.155605,-3.469858,0.508406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.49165,4.84359,-1.65945,50,5.46032,6.99267,-109.77757,1.00644,-1.83543,17.91867,-26.21424,GEO_SOU,GEO_COL1,SusanKSmithBaseballComplex,D2,NCAAPB,20260221-SusanKSmithBaseballComplex-1,df73f710-0f52-11f1-a027-d385247fecdf,74.13846,NA,NA,5.89093,NA,NA,NA,NA,NA,NA,9105e2f9-8940-4fc3-b9ea-62b86807bfa2,2026-02-21,18:26:41,2026-02-21T18:26:41Z,2026-02-21T18:26:41Z,NA,v3,643-144953,643-144949,NA,"Melendez, Edwin",1000299944,Right,GEO_SOU,03ba9bfe-52cb-4026-b5d3-e0e8afecff42,55.35949,-110.64892999999999,8.95933,5.38038,2.28119,-13.10712,-2.00166,7.08192,-0.91771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
