player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,2026-03-18,15:36:37,5,2,"Hausner, Anthony",1000136562,Right,GAR_RUN,"Smith, Elijah",1000239614,Right,WCC,Undefined,2,Bottom,2,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,81.27868,-1.286384,-1.905582,2380.246675,112.057338,09:45:00,6.17733,2.37275,5.80526,-39.44538,2.87366,-3.94654,1.69299,0.271,75.08977,-8.511986,-2.613468,0.468209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51807,2.15618,-2.21383,50,6.04783,4.07622,-118.06478,-3.93168,2.14716,22.04256,-29.12431,WCC,GAR_RUN,HennonStadium,D1,SOCON,20260318-HennonStadium-1,c7e59f50-2301-11f1-88e8-0bfaadd1c822,80.50351,NA,NA,6.18891,NA,NA,NA,NA,NA,NA,8d0c4ef4-c74d-4133-949b-71681e199ea7,2026-03-18,19:36:37,2026-03-18T19:36:37Z,2026-03-18T19:36:37Z,NA,v3,471488,471504,15878,"Lopez, Marco",1000397887,Right,GAR_RUN,e4d558dc-f7ae-461b-a3ca-53e23e4becfc,54.69679,-118.93843,11.02128,6.18078,-2.77734,-14.56216,-2.3737,3.99111,1.07358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,2026-03-18,15:37:02,5,3,"Hausner, Anthony",1000136562,Right,GAR_RUN,"Smith, Elijah",1000239614,Right,WCC,Undefined,2,Bottom,2,0,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,78.44567,-0.935366,-2.446154,2285.7837720000002,47.342508,07:30:00,6.07889,2.40791,5.91836,-50.24011,-5.17776,-6.99103,1.02329,-0.44619,73.11554,-10.078402,-3.703312,0.483146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97788,-2.08406,-2.20777,50,5.97492,5.12027,-114.02756,-3.45028,3.94414,19.79355,-34.93437,WCC,GAR_RUN,HennonStadium,D1,SOCON,20260318-HennonStadium-1,d6f8e010-2301-11f1-88e8-0bfaadd1c822,78.01461,NA,NA,5.33013,NA,NA,NA,NA,NA,NA,8d0c4ef4-c74d-4133-949b-71681e199ea7,2026-03-18,19:37:02,2026-03-18T19:37:02Z,2026-03-18T19:37:02Z,NA,v3,471488,471504,15878,"Lopez, Marco",1000397887,Right,GAR_RUN,a43cd84a-ab0d-4448-9a4c-63eab267e000,54.58555,-114.82078,9.89678,6.08514,-2.05028,-17.46719,-2.4098,4.96221,1.97207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,2026-03-18,15:37:25,5,4,"Hausner, Anthony",1000136562,Right,GAR_RUN,"Smith, Elijah",1000239614,Right,WCC,Undefined,2,Bottom,2,0,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,78.50024,-0.246598,-2.114031,2233.463596,39.226154,07:15:00,6.04093,2.22919,5.91953,-55.81676,-10.42394,-9.6439800000000009,1.16053,-0.53723,72.55438,-10.416511,-3.849531,0.484914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.34107,-4.86339,-2.05435,50,5.98952,4.56361,-114.06534,-2.2926,5.69328,21.87304,-38.55232,WCC,GAR_RUN,HennonStadium,D1,SOCON,20260318-HennonStadium-1,e4c41070-2301-11f1-88e8-0bfaadd1c822,77.73008,NA,NA,5.94586,NA,NA,NA,NA,NA,NA,8d0c4ef4-c74d-4133-949b-71681e199ea7,2026-03-18,19:37:25,2026-03-18T19:37:25Z,2026-03-18T19:37:25Z,NA,v3,471488,471504,15878,"Lopez, Marco",1000397887,Right,GAR_RUN,a5f84df6-3519-466b-b186-42680b5656ec,54.58423,-114.94104,10.93652,6.05041,-0.74912,-19.27616,-2.23249,4.33568,2.84664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,2026-03-18,15:37:46,5,5,"Hausner, Anthony",1000136562,Right,GAR_RUN,"Smith, Elijah",1000239614,Right,WCC,Undefined,2,Bottom,2,0,2,Fastball,Cutter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,89.1534,-0.837174,-1.49049,2216.115249,175.407894,11:45:00,6.21886,2.18681,6.34535,-22.23115,12.10107,-0.89047,3.59526,0.74017,82.03805,-5.023845,-1.651633,0.421718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07283,6.8426,-2.07812,50,6.14741,3.40844,-129.63299,-2.55978,0.12468,25.62876,-20.46283,WCC,GAR_RUN,HennonStadium,D1,SOCON,20260318-HennonStadium-1,f137a010-2301-11f1-88e8-0bfaadd1c822,89.37825,NA,NA,7.11535,NA,NA,NA,NA,NA,NA,8d0c4ef4-c74d-4133-949b-71681e199ea7,2026-03-18,19:37:46,2026-03-18T19:37:46Z,2026-03-18T19:37:46Z,NA,v3,471488,471504,15878,"Lopez, Marco",1000397887,Right,GAR_RUN,1a27415e-9957-440d-97d1-cc4dc19f6e50,54.15427,-130.45171,12.81438,6.21874,-1.90609,-10.23141,-2.18694,3.40445,0.06234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.26887,NA,NA,1.428027,NA,NA,NA,-1.39096,5.34671,3.10348,76.20057,4.48704,-48.6036,-1.36551,58.61918,-3.02872,5.42756,22.42409,-16.22945,3.06856,-40.20869,2.84182,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,2026-03-18,16:38:45,2,1,"Templeton, Scott",1000221134,Left,WCC,"Agosto, Kelvin",805337,Right,GAR_RUN,Undefined,6,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.97733,0.073297,2.551808,1929.587583,319.263989,04:45:00,5.43486,-2.25433,5.76934,-58.57145,-13.56902,13.1278,0.62219,1.21605,72.39172,-10.606869,4.906001,0.482825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.81811,-6.56524,2.03495,50,5.4054,-5.66685,-115.90577,-1.82104,-7.69039,27.38155,-40.85203,WCC,GAR_RUN,HennonStadium,D1,SOCON,20260318-HennonStadium-1,763f96c0-230a-11f1-88e8-0bfaadd1c822,78.06651,NA,NA,7.58561,NA,NA,NA,NA,NA,NA,8d0c4ef4-c74d-4133-949b-71681e199ea7,2026-03-18,20:38:45,2026-03-18T20:38:45Z,2026-03-18T20:38:45Z,NA,v3,471488,471504,15878,"Quarless, Noah",1000438943,Right,WCC,5203dd5f-c168-40f2-a0c1-c6b053dc3e34,54.73289,-117.01852,13.69077,5.44567,-0.16086,-20.42601,2.25889,-5.35433,-3.84519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,2026-03-18,16:39:01,2,2,"Templeton, Scott",1000221134,Left,WCC,"Agosto, Kelvin",805337,Right,GAR_RUN,Undefined,6,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,87.4771,-2.124778,2.808517,2087.260532,140.765235,10:45:00,5.76621,-1.95191,6.3092,-21.54253,15.09946,-11.2082,2.01035,-0.29658,78.71794,-6.237095,0.782918,0.435673,122.40296,-50.576878,-88.265919,NA,NA,NA,NA,2.93464,2.53262,-28.632527,0.01606,6.81489,8.96733,1.75127,50,5.60001,-5.78285,-126.76205,-5.31038,10.87145,30.64427,-17.86892,WCC,GAR_RUN,HennonStadium,D1,SOCON,20260318-HennonStadium-1,7f4a0ac0-230a-11f1-88e8-0bfaadd1c822,86.51537,2.22959,NA,8.75917,NA,NA,NA,2.5203,2.22959,0.42582,8d0c4ef4-c74d-4133-949b-71681e199ea7,2026-03-18,20:39:01,2026-03-18T20:39:01Z,2026-03-18T20:39:01Z,GroundBall,v3,471488,471504,15878,"Quarless, Noah",1000438943,Right,WCC,085e54b9-30f4-46dc-8e80-a6ff31d00806,54.18989,-127.77093,15.32214,5.76516,-4.7221,-8.93446,1.94755,-6.14077,5.43573,NA,2.52029,3.45353,NA,NA,NA,NA,NA,NA,NA,2.22996,-138.82441,NA,NA,NA,NA,NA,NA,NA,0.42613,-114.07325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,2026-03-18,16:39:59,2,3,"Templeton, Scott",1000221134,Left,WCC,"Agosto, Kelvin",805337,Right,GAR_RUN,Undefined,6,Top,1,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,79.93934,1.694561,0.399842,1934.851659,310.935176,04:15:00,5.67088,-2.43865,5.86653,-55.00629,-10.55721,13.99087,2.66168,-0.9013,72.40732,-8.411352,2.913748,0.479847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.94063,-5.35477,2.39852,50,5.77726,-1.36366,-115.9893,1.56833,-9.28118,25.42062,-39.33455,WCC,GAR_RUN,HennonStadium,D1,SOCON,20260318-HennonStadium-1,a2606ef0-230a-11f1-88e8-0bfaadd1c822,78.55094,NA,NA,7.53202,NA,NA,NA,NA,NA,NA,8d0c4ef4-c74d-4133-949b-71681e199ea7,2026-03-18,20:39:59,2026-03-18T20:39:59Z,2026-03-18T20:39:59Z,NA,v3,471488,471504,15878,"Quarless, Noah",1000438943,Right,WCC,b55bb2aa-23dc-492f-bed5-236f39e29438,54.63414,-117.00053,12.71031,5.68375,3.13305,-19.66728,2.44542,-0.99446,-4.64059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,2026-03-18,16:40:17,2,4,"Templeton, Scott",1000221134,Left,WCC,"Agosto, Kelvin",805337,Right,GAR_RUN,Undefined,6,Top,1,1,2,Fastball,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WCC,GAR_RUN,HennonStadium,D1,SOCON,20260318-HennonStadium-1,a61d28d0-230a-11f1-88e8-0bfaadd1c822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8d0c4ef4-c74d-4133-949b-71681e199ea7,2026-03-18,20:40:17,2026-03-18T20:40:17Z,2026-03-18T20:40:17Z,NA,v3,471488,471504,15878,"Quarless, Noah",1000438943,Right,WCC,7d27669a-c136-4e5d-882a-a11fc9aea26b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,2026-03-18,16:40:18,2,5,"Templeton, Scott",1000221134,Left,WCC,"Agosto, Kelvin",805337,Right,GAR_RUN,Undefined,6,Top,1,2,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,87.33412,-1.043323,3.824275,2029.589317,115.976057,09:45:00,5.38763,-2.42074,6.31647,-26.66466,9.82938,-17.55095,2.20233,-0.35556,79.11469,-6.068934,0.655344,0.434793,104.33632,-1.174314,-16.515734,1941.156727,NA,NA,NA,38.05392,36.35989,-14.805486,0.244849,10.35481,5.80331,2.14878,50,5.29844,-7.78043,-126.60791,-3.11406,16.61897,28.55551,-22.86001,WCC,GAR_RUN,HennonStadium,D1,SOCON,20260318-HennonStadium-1,ad8ead50-230a-11f1-88e8-0bfaadd1c822,86.69057,2.35459,NA,8.21943,NA,NA,NA,2.4053,2.35459,0.3827,8d0c4ef4-c74d-4133-949b-71681e199ea7,2026-03-18,20:40:18,2026-03-18T20:40:18Z,2026-03-18T20:40:18Z,GroundBall,v3,471488,471504,15878,"Quarless, Noah",1000438943,Right,WCC,c813c569-4911-438c-8808-4ce8b8e90ba7,54.18399,-127.54809,14.27776,5.38857,-2.3614,-11.43001,2.41395,-8.3276,8.30949,352.597247,2.40824,146.52237,-24.96092,NA,NA,NA,NA,NA,NA,2.35827,-3.33648,-25.76912,NA,NA,NA,NA,NA,NA,0.38149,-43.42737,8.81693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,2026-03-18,16:57:58,5,3,"Busson, Connor",1000160593,Right,GAR_RUN,"Stanley, Wyatt",1000130841,Left,WCC,Undefined,6,Bottom,2,1,1,Other,NA,BallCalled,Undefined,Undefined,Undefined,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WCC,GAR_RUN,HennonStadium,D1,SOCON,20260318-HennonStadium-1,c9c310e0-230c-11f1-88e8-0bfaadd1c822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8d0c4ef4-c74d-4133-949b-71681e199ea7,2026-03-18,20:57:58,2026-03-18T20:57:58Z,2026-03-18T20:57:58Z,NA,v3,471488,471504,15878,"Shealor, Bennett",1000092111,Right,GAR_RUN,20fdda47-09bd-4cbb-8f3d-aba04a9eccdb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
