player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,2026-03-18,16:40:05,1,1,"Pokrovsky, Luke",1000463350,Left,PEN_QUA,"Grasso, Robby",1000142250,Right,LEH_MOU,Undefined,5,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,88.82013,-1.761897,2.119696,2096.226951,146.93708,11:00:00,6.12198,-1.03634,5.8352,-17.04509,18.68245,-11.37288,3.06227,-0.01298,80.69339,-5.013661,0.081898,0.430203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.38693,10.3943,0.86994,50,5.96815,-4.27301,-128.80246,-4.45146,10.66896,28.16258,-14.81099,PEN_QUA,LEH_MOU,UofPennsylvania,D1,IVY,20260318-UofPennsylvania-1,a5afc100-230a-11f1-a3d6-4175ae59f255,87.61556,NA,NA,8.12674,NA,NA,NA,NA,NA,NA,3c272d2b-dedd-420c-92dd-77de0f5a2752,2026-03-18,20:40:05,2026-03-18T20:40:05Z,2026-03-18T20:40:05Z,NA,v3,526523,471335,135179c91cd44ac49b15198de9ef5f7f,"Echevarria, Ernie",813925,Right,PEN_QUA,d7b07f36-55d0-44a5-a773-b8206e8f4dcc,54.66134,-129.81766,14.08129,6.11899,-3.91756,-7.40549,1.0309,-4.6576,5.33448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,2026-03-18,16:40:17,1,2,"Pokrovsky, Luke",1000463350,Left,PEN_QUA,"Grasso, Robby",1000142250,Right,LEH_MOU,Undefined,5,Top,0,0,1,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,90.16872,-2.570135,1.885124,2021.340766,150.77281,11:00:00,6.27118,-0.76558,5.65011,-15.78206,19.09804,-10.02934,2.55592,0.15754,82.08967,-5.5722950000000004,0.093932,0.42507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.63118,10.78028,0.61223,50,6.04327,-3.85901,-130.71047,-6.34061,9.70196,28.61585,-13.60068,PEN_QUA,LEH_MOU,UofPennsylvania,D1,IVY,20260318-UofPennsylvania-1,acd150c0-230a-11f1-a3d6-4175ae59f255,88.67352,NA,NA,8.07905,NA,NA,NA,NA,NA,NA,3c272d2b-dedd-420c-92dd-77de0f5a2752,2026-03-18,20:40:17,2026-03-18T20:40:17Z,2026-03-18T20:40:17Z,NA,v3,526523,471335,135179c91cd44ac49b15198de9ef5f7f,"Echevarria, Ernie",813925,Right,PEN_QUA,2af9099a-e5c3-4392-9d92-1751862b2a7a,54.84781,-131.76751,14.30793,6.26821,-5.83822,-6.80034,0.76139,-4.21739,4.85098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,2026-03-18,16:40:30,1,3,"Pokrovsky, Luke",1000463350,Left,PEN_QUA,"Grasso, Robby",1000142250,Right,LEH_MOU,Undefined,5,Top,0,0,2,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,89.15624,-1.995471,1.766467,2032.620481,151.058416,11:00:00,6.31396,-0.78334,5.94595,-16.28174,18.96914,-9.838,3.10464,0.03582,81.14394,-5.109636,-4.35e-4,0.427323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56996,10.66989,0.64823,50,6.1459,-3.57786,-129.36617,-4.96626,9.39352,28.2089,-14.17971,PEN_QUA,LEH_MOU,UofPennsylvania,D1,IVY,20260318-UofPennsylvania-1,b489f060-230a-11f1-a3d6-4175ae59f255,88.20596,NA,NA,8.0123,NA,NA,NA,NA,NA,NA,3c272d2b-dedd-420c-92dd-77de0f5a2752,2026-03-18,20:40:30,2026-03-18T20:40:30Z,2026-03-18T20:40:30Z,NA,v3,526523,471335,135179c91cd44ac49b15198de9ef5f7f,"Echevarria, Ernie",813925,Right,PEN_QUA,086813c6-7e3f-4843-9a7f-249f0a8375a9,54.55237,-130.35506,14.10445,6.31128,-4.46918,-7.08986,0.77943,-3.90716,4.69676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,2026-03-18,16:40:48,1,4,"Pokrovsky, Luke",1000463350,Left,PEN_QUA,"Grasso, Robby",1000142250,Right,LEH_MOU,Undefined,5,Top,0,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,76.67969,-2.171142,1.180073,1641.306482,108.233547,09:30:00,5.72206,-1.25714,6.26799,-39.28833,7.85,-19.05288,0.44503,-1.75679,70.37999,-9.458338,-2.272555,0.49415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2641,5.20839,1.17874,50,5.54234,-1.63913,-111.35167,-5.3168,12.78832,21.42519,-25.68478,PEN_QUA,LEH_MOU,UofPennsylvania,D1,IVY,20260318-UofPennsylvania-1,bf5ec420-230a-11f1-a3d6-4175ae59f255,76.27737,NA,NA,6.2997,NA,NA,NA,NA,NA,NA,3c272d2b-dedd-420c-92dd-77de0f5a2752,2026-03-18,20:40:48,2026-03-18T20:40:48Z,2026-03-18T20:40:48Z,NA,v3,526523,471335,135179c91cd44ac49b15198de9ef5f7f,"Echevarria, Ernie",813925,Right,PEN_QUA,dc38c877-ed20-40c3-918e-3ebec414f101,54.23156,-112.16291,10.7126,5.72524,-4.34428,-12.84239,1.24997,-2.12334,6.39416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,2026-03-18,16:41:09,1,5,"Pokrovsky, Luke",1000463350,Left,PEN_QUA,"Grasso, Robby",1000142250,Right,LEH_MOU,Undefined,5,Top,0,1,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,78.26523,-1.045838,2.358526,1736.492524,120.05442,10:00:00,5.68681,-1.41671,6.5972,-34.68592,9.4756,-14.09324,1.83723,-0.4291,72.29327,-7.540457,-0.205907,0.478292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.09327,5.65654,1.26133,50,5.60079,-4.23024,-113.82176,-2.9908,10.66601,19.9944,-24.71937,PEN_QUA,LEH_MOU,UofPennsylvania,D1,IVY,20260318-UofPennsylvania-1,cbd5d630-230a-11f1-a3d6-4175ae59f255,78.80628,NA,NA,5.97197,NA,NA,NA,NA,NA,NA,3c272d2b-dedd-420c-92dd-77de0f5a2752,2026-03-18,20:41:09,2026-03-18T20:41:09Z,2026-03-18T20:41:09Z,NA,v3,526523,471335,135179c91cd44ac49b15198de9ef5f7f,"Echevarria, Ernie",813925,Right,PEN_QUA,b9bd0e21-a8a6-45f6-ab58-4843f6f96d26,53.90385,-114.50547,9.9972,5.68861,-2.14552,-12.35969,1.41222,-4.59496,5.33301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,2026-03-18,16:41:28,1,6,"Pokrovsky, Luke",1000463350,Left,PEN_QUA,"Grasso, Robby",1000142250,Right,LEH_MOU,Undefined,5,Top,0,1,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.66072,-1.960085,3.085971,2226.834739,149.014043,11:00:00,6.2557,-0.78731,5.72144,-13.07213,22.36033,-12.66847,3.33725,1.03424,80.96901,-4.508137,0.824029,0.428422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.35819,12.31091,0.53712,50,6.08383,-6.43749,-129.83354,-4.77492,12.42829,29.84059,-11.38034,PEN_QUA,LEH_MOU,UofPennsylvania,D1,IVY,20260318-UofPennsylvania-1,d71b1f00-230a-11f1-a3d6-4175ae59f255,87.97969,NA,NA,8.69172,NA,NA,NA,NA,NA,NA,3c272d2b-dedd-420c-92dd-77de0f5a2752,2026-03-18,20:41:28,2026-03-18T20:41:28Z,2026-03-18T20:41:28Z,NA,v3,526523,471335,135179c91cd44ac49b15198de9ef5f7f,"Echevarria, Ernie",813925,Right,PEN_QUA,0ed1cc06-ae07-4a80-86d2-e09e7ba36afa,54.77517,-130.92645,14.9203,6.25108,-4.35812,-5.69017,0.78123,-6.89268,6.21415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,2026-03-18,16:41:43,1,7,"Pokrovsky, Luke",1000463350,Left,PEN_QUA,"Grasso, Robby",1000142250,Right,LEH_MOU,Undefined,5,Top,0,2,2,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,88.2172,-3.040746,0.578425,2147.572682,153.635999,11:00:00,6.27304,-0.51136,6.02018,-14.69103,21.66485,-10.06501,2.22952,-0.81433,79.46187,-5.895165,-1.232625,0.433969,74.94889,0.528877,168.865218,NA,NA,NA,NA,NA,32.3474,NA,NA,5.37429,12.53961,0.47154,50,6.02685,-0.87369,-127.81738,-7.1522,8.7363,30.61534,-11.78995,PEN_QUA,LEH_MOU,UofPennsylvania,D1,IVY,20260318-UofPennsylvania-1,e04501e0-230a-11f1-a3d6-4175ae59f255,86.85512,2.84115,NA,8.75533,NA,NA,NA,1.6402,2.27427,0.59729,3c272d2b-dedd-420c-92dd-77de0f5a2752,2026-03-18,20:41:43,2026-03-18T20:41:43Z,2026-03-18T20:41:43Z,NA,v3,526523,471335,135179c91cd44ac49b15198de9ef5f7f,"Echevarria, Ernie",813925,Right,PEN_QUA,80fba347-6cb9-4aef-9463-2d0218984639,54.4767,-128.8852,15.30767,6.26914,-6.74099,-5.89498,0.50732,-1.1784,4.36815,187.347326,1.63701,-107.72021,13.50667,NA,NA,NA,NA,NA,NA,2.26911,1.22879,1.7598800000000001,NA,NA,NA,NA,NA,NA,0.59884,21.16353,-4.88945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,2026-03-18,16:42:11,1,8,"Pokrovsky, Luke",1000463350,Left,PEN_QUA,"Grasso, Robby",1000142250,Right,LEH_MOU,Undefined,5,Top,0,2,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.26677,-2.947395,2.161102,2199.583778,171.295769,11:45:00,6.35592,-0.31,5.9164,-14.4582,20.96674,-3.01977,2.41136,1.44493,80.94432,-5.735617,1.619478,0.428377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20693,12.00969,0.1385,50,6.11131,-4.75269,-129.32789,-7.04175,3.70332,29.29585,-12.02136,PEN_QUA,LEH_MOU,UofPennsylvania,D1,IVY,20260318-UofPennsylvania-1,f0c232e0-230a-11f1-a3d6-4175ae59f255,87.989,NA,NA,8.32245,NA,NA,NA,NA,NA,NA,3c272d2b-dedd-420c-92dd-77de0f5a2752,2026-03-18,20:42:11,2026-03-18T20:42:11Z,2026-03-18T20:42:11Z,NA,v3,526523,471335,135179c91cd44ac49b15198de9ef5f7f,"Echevarria, Ernie",813925,Right,PEN_QUA,e3eddff0-669f-453e-b278-dc7cd344aee8,54.58091,-130.36145,14.64793,6.35225,-6.61764,-6.01068,0.30848,-4.88334,1.85166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,2026-03-18,16:42:27,1,9,"Pokrovsky, Luke",1000463350,Left,PEN_QUA,"Grasso, Robby",1000142250,Right,LEH_MOU,Undefined,5,Top,0,3,2,Curveball,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,78.06452,-1.259476,3.060544,1613.144989,104.320301,09:30:00,5.67458,-1.32021,6.52596,-39.40337,6.04441,-17.2532,1.23367,0.0525,70.8517,-8.643443,-0.074892,0.485208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0919,4.03496,1.11443,50,5.57015,-5.47413,-113.25314,-3.55906,12.89084,23.87004,-27.02001,PEN_QUA,LEH_MOU,UofPennsylvania,D1,IVY,20260318-UofPennsylvania-1,fa288280-230a-11f1-a3d6-4175ae59f255,77.6831,NA,NA,7.21282,NA,NA,NA,NA,NA,NA,3c272d2b-dedd-420c-92dd-77de0f5a2752,2026-03-18,20:42:27,2026-03-18T20:42:27Z,2026-03-18T20:42:27Z,NA,v3,526523,471335,135179c91cd44ac49b15198de9ef5f7f,"Echevarria, Ernie",813925,Right,PEN_QUA,44415d20-b52f-4530-95ec-bf691d65cd88,53.97336,-114.08752,11.93502,5.67805,-2.61457,-13.51001,1.31365,-5.92473,6.44542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.12489,2.490255,1.298995,1.19126,2.59483,1.41084,-0.05332,-1.61617,6.41386,0.23663,70.6154,7.5798,-54.17517,-1.54854,65.73971,-4.32311,6.50666,18.02487,-14.35834,0.08662,-53.31526,6.49651,High,High,High,NA,NA,High,Medium,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,2026-03-18,16:45:42,4,1,"Pokrovsky, Luke",1000463350,Left,PEN_QUA,"Walewander, Owen",1000189701,Right,LEH_MOU,Undefined,5,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,88.96005,-2.470826,2.153306,2244.431775,151.633514,11:00:00,6.3077,-0.58503,5.90136,-13.21993,22.45828,-11.44615,2.90928,0.46102,80.52341,-5.047727,0.100324,0.429905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.47461,12.58257,0.41823,50,6.10122,-4.35268,-128.91669,-5.88053,10.7944,29.13526,-11.19644,PEN_QUA,LEH_MOU,UofPennsylvania,D1,IVY,20260318-UofPennsylvania-1,6eb47a50-230b-11f1-a3d6-4175ae59f255,87.67614,NA,NA,8.43665,NA,NA,NA,NA,NA,NA,3c272d2b-dedd-420c-92dd-77de0f5a2752,2026-03-18,20:45:42,2026-03-18T20:45:42Z,2026-03-18T20:45:42Z,NA,v3,526523,471335,135179c91cd44ac49b15198de9ef5f7f,"Echevarria, Ernie",813925,Right,PEN_QUA,48d5c9f0-d373-4c32-95e0-5e7b367a4876,54.595,-129.95101,14.56763,6.30293,-5.48305,-5.59822,0.57955,-4.73589,5.3972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
