player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-03-20,15:47:45,1,1,"Roos, Colin",814160,Right,SLC_CCB,"Waterhouse, Wyatt",10123121,Right,COL_SPA,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,89.52819,-3.320515,-3.865294,2030.989579,233.734037,01:45:00,6.54849,1.9689,5.90814,-25.08781,9.63174,11.74221,1.36514,-0.64594,82.87323,-7.948595,-1.76102,0.42409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.01441,6.08591,-1.66491,50,6.26648,8.28208,-129.73392,-8.38964,-12.07297,24.62594,-21.69916,SLC_CCB,COL_SPA,SaltLakeCC,JUCO,NJCAA,20260320-SaltLakeCC-2,25a61b10-24a6-11f1-8c38-3796854b4b05,88.8783,NA,NA,6.65497,NA,NA,NA,NA,NA,NA,8b24f931-7c3c-4b79-8170-60ad07299e8f,2026-03-20,21:47:45,2026-03-20T21:47:45Z,2026-03-20T21:47:45Z,NA,v3,643-147550,643-147303,f6swm8hbnwaq9mu1,"Chavez, Lute",10249641,Right,SLC_CCB,7651a969-7a78-4387-a87c-19360899230b,54.59453,-130.60314,12.31297,6.54909,-7.62373,-10.84958,-1.96476,8.70822,-6.03649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-03-20,15:48:00,1,2,"Roos, Colin",814160,Right,SLC_CCB,"Waterhouse, Wyatt",10123121,Right,COL_SPA,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.47781,-0.922778,-3.073123,2096.858003,238.583452,02:00:00,6.54374,1.89072,5.84646,-25.96667,8.708,12.62371,3.52099,0.08407,82.6042,-5.731394,-0.812079,0.423816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.18784,5.00347,-1.64769,50,6.45326,6.4362,-129.94139,-2.98962,-12.418,24.56108,-23.52985,SLC_CCB,COL_SPA,SaltLakeCC,JUCO,NJCAA,20260320-SaltLakeCC-2,2e920a90-24a6-11f1-8c38-3796854b4b05,88.93586,NA,NA,6.87361,NA,NA,NA,NA,NA,NA,8b24f931-7c3c-4b79-8170-60ad07299e8f,2026-03-20,21:48:00,2026-03-20T21:48:00Z,2026-03-20T21:48:00Z,NA,v3,643-147550,643-147303,f6swm8hbnwaq9mu1,"Chavez, Lute",10249641,Right,SLC_CCB,90c8cba1-dd21-46f0-926a-66850be426ac,54.65497,-130.8183,12.28054,6.545,-2.14953,-11.76492,-1.8854,6.87956,-6.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-03-20,15:48:17,1,3,"Roos, Colin",814160,Right,SLC_CCB,"Waterhouse, Wyatt",10123121,Right,COL_SPA,Undefined,1,Top,0,1,1,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,79.11352,-0.294286,-3.237235,2055.633869,11.374134,06:30:00,6.34552,2.27867,5.1791,-49.98475,-3.62744,-1.04335,1.90277,-0.85762,72.33993,-9.336278,-3.421949,0.490039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.47016,-1.29591,-1.97639,50,6.27987,6.52303,-114.58199,-2.36037,-0.61895,23.10459,-33.88003,SLC_CCB,COL_SPA,SaltLakeCC,JUCO,NJCAA,20260320-SaltLakeCC-2,3938a260-24a6-11f1-8c38-3796854b4b05,76.91726,NA,NA,6.7736,NA,NA,NA,NA,NA,NA,8b24f931-7c3c-4b79-8170-60ad07299e8f,2026-03-20,21:48:17,2026-03-20T21:48:17Z,2026-03-20T21:48:17Z,NA,v3,643-147550,643-147303,f6swm8hbnwaq9mu1,"Chavez, Lute",10249641,Right,SLC_CCB,df52abe9-9682-448a-9d50-814eb17716a3,55.3224,-115.65023,11.5523,6.35279,-0.79392,-16.94001,-2.27865,6.55164,-0.30948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-03-20,15:48:39,1,4,"Roos, Colin",814160,Right,SLC_CCB,"Waterhouse, Wyatt",10123121,Right,COL_SPA,Undefined,1,Top,0,1,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,90.40238,-2.619476,-3.284783,2146.276122,225.272613,01:30:00,6.55768,1.8806,5.88871,-22.57096,11.44922,10.5489,2.2387,-0.29384,83.49314,-6.8087,-1.394232,0.419797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.25221,6.83965,-1.62164,50,6.33287,7.08486,-131.14377,-6.76451,-10.98777,25.36669,-20.15392,SLC_CCB,COL_SPA,SaltLakeCC,JUCO,NJCAA,20260320-SaltLakeCC-2,463b2b90-24a6-11f1-8c38-3796854b4b05,89.78726,NA,NA,6.90925,NA,NA,NA,NA,NA,NA,8b24f931-7c3c-4b79-8170-60ad07299e8f,2026-03-20,21:48:39,2026-03-20T21:48:39Z,2026-03-20T21:48:39Z,NA,v3,643-147550,643-147303,f6swm8hbnwaq9mu1,"Chavez, Lute",10249641,Right,SLC_CCB,f472d7cb-805c-4b1c-bea7-9c34d8db3cba,54.61353,-132.03314,12.68334,6.55764,-6.05791,-10.07696,-1.87679,7.4701,-5.49388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-03-20,15:48:58,1,5,"Roos, Colin",814160,Right,SLC_CCB,"Waterhouse, Wyatt",10123121,Right,COL_SPA,Undefined,1,Top,0,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,80.91105,-1.843753,-3.5596,2191.707723,337.585405,05:15:00,6.36494,2.42435,5.69736,-44.24782,-0.97453,0.9715,0.9555,-0.81619,74.51777,-9.89624,-3.385903,0.473458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.52606,0.43732,-2.12568,50,6.18209,7.25612,-117.2487,-5.26208,-2.11618,22.96334,-31.56763,SLC_CCB,COL_SPA,SaltLakeCC,JUCO,NJCAA,20260320-SaltLakeCC-2,513b5510-24a6-11f1-8c38-3796854b4b05,79.61098,NA,NA,6.39327,NA,NA,NA,NA,NA,NA,8b24f931-7c3c-4b79-8170-60ad07299e8f,2026-03-20,21:48:58,2026-03-20T21:48:58Z,2026-03-20T21:48:58Z,NA,v3,643-147550,643-147303,f6swm8hbnwaq9mu1,"Chavez, Lute",10249641,Right,SLC_CCB,7d847463-26b1-475c-b839-f8ef7f6e5cba,54.80438,-118.1859,11.48167,6.37056,-3.97372,-15.78382,-2.42358,7.34249,-1.05809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-03-20,15:49:24,2,1,"Roos, Colin",814160,Right,SLC_CCB,"Gull, Corbin",10307372,Left,COL_SPA,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.00425,-2.999111,-4.656541,2187.159758,243.45059,02:00:00,6.4648,2.02058,5.8807,-27.49155,7.91666,13.64119,1.37675,-1.17678,81.92549,-8.068448,-2.216643,0.428276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.20347,5.19819,-1.65144,50,6.20563,9.91597,-128.79788,-7.71018,-13.84063,25.65173,-23.40379,SLC_CCB,COL_SPA,SaltLakeCC,JUCO,NJCAA,20260320-SaltLakeCC-2,60fd7370-24a6-11f1-8c38-3796854b4b05,88.00974,NA,NA,7.07875,NA,NA,NA,NA,NA,NA,8b24f931-7c3c-4b79-8170-60ad07299e8f,2026-03-20,21:49:24,2026-03-20T21:49:24Z,2026-03-20T21:49:24Z,NA,v3,643-147550,643-147303,f6swm8hbnwaq9mu1,"Chavez, Lute",10249641,Right,SLC_CCB,c258e9ad-00e8-4e18-84ec-bd5deeaa1107,54.62066,-129.71488,12.82587,6.4663,-6.87354,-11.70189,-2.01476,10.41075,-6.92032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-03-20,15:49:41,2,2,"Roos, Colin",814160,Right,SLC_CCB,"Gull, Corbin",10307372,Left,COL_SPA,Undefined,1,Top,1,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,81.97275,-3.161303,-5.729564,2120.981963,231.611191,01:45:00,6.33455,2.24499,5.86071,-31.47183,10.38347,11.47583,0.75711,-2.13962,75.7351,-8.942471,-3.6838,0.465636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.34741,6.54544,-1.78529,50,6.05818,11.43617,-118.40686,-7.56069,-10.49997,21.20996,-22.82016,SLC_CCB,COL_SPA,SaltLakeCC,JUCO,NJCAA,20260320-SaltLakeCC-2,6abeb450-24a6-11f1-8c38-3796854b4b05,80.94826,NA,NA,6.23765,NA,NA,NA,NA,NA,NA,8b24f931-7c3c-4b79-8170-60ad07299e8f,2026-03-20,21:49:41,2026-03-20T21:49:41Z,2026-03-20T21:49:41Z,NA,v3,643-147550,643-147303,f6swm8hbnwaq9mu1,"Chavez, Lute",10249641,Right,SLC_CCB,7e391614-5066-4021-a7eb-39ce8899e2de,54.64025,-119.23516,10.60498,6.33604,-6.66951,-11.41008,-2.2399,11.84621,-5.24999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-03-20,15:49:58,2,3,"Roos, Colin",814160,Right,SLC_CCB,"Gull, Corbin",10307372,Left,COL_SPA,Undefined,1,Top,1,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.61934,-1.043656,-2.245817,1998.114391,239.678724,02:00:00,6.53281,2.1123,5.95729,-26.06092,9.27804,14.03576,3.39236,1.19816,81.46221,-5.89179,0.276321,0.427857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.77933,5.37496,-1.94151,50,6.43523,4.46289,-128.73508,-3.21206,-13.11528,25.56915,-23.11232,SLC_CCB,COL_SPA,SaltLakeCC,JUCO,NJCAA,20260320-SaltLakeCC-2,75571b50-24a6-11f1-8c38-3796854b4b05,88.09597,NA,NA,7.15713,NA,NA,NA,NA,NA,NA,8b24f931-7c3c-4b79-8170-60ad07299e8f,2026-03-20,21:49:58,2026-03-20T21:49:58Z,2026-03-20T21:49:58Z,NA,v3,643-147550,643-147303,f6swm8hbnwaq9mu1,"Chavez, Lute",10249641,Right,SLC_CCB,04c889f8-8869-447f-94ec-f42c2c8171a8,54.54394,-129.63445,12.78457,6.53391,-2.3991,-11.55616,-2.1066,4.9242,-6.55764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-03-20,15:50:14,2,4,"Roos, Colin",814160,Right,SLC_CCB,"Gull, Corbin",10307372,Left,COL_SPA,Undefined,1,Top,1,3,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,88.44623,-1.998117,-2.732153,2040.278104,237.702009,02:00:00,6.50584,1.92263,6.02627,-25.86344,9.44119,13.29981,2.4971,0.49859,81.69695,-6.798278,-0.339759,0.427649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.53044,5.69626,-1.71581,50,6.33514,5.5858,-128.44426,-5.33374,-12.68897,24.45109,-22.57573,SLC_CCB,COL_SPA,SaltLakeCC,JUCO,NJCAA,20260320-SaltLakeCC-2,7eea6e60-24a6-11f1-8c38-3796854b4b05,88.13879,NA,NA,6.74928,NA,NA,NA,NA,NA,NA,8b24f931-7c3c-4b79-8170-60ad07299e8f,2026-03-20,21:50:14,2026-03-20T21:50:14Z,2026-03-20T21:50:14Z,NA,v3,643-147550,643-147303,f6swm8hbnwaq9mu1,"Chavez, Lute",10249641,Right,SLC_CCB,ce65f905-9143-43a0-aa06-835cb9431857,54.47558,-129.29344,12.22555,6.50677,-4.54969,-11.28786,-1.91746,6.02648,-6.34448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-03-20,15:50:30,2,5,"Roos, Colin",814160,Right,SLC_CCB,"Gull, Corbin",10307372,Left,COL_SPA,Undefined,1,Top,1,3,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,89.1853,-3.635301,-4.330526,2052.327721,240.815851,02:00:00,6.52774,1.99853,6.04862,-25.40171,9.37914,14.99918,1.03127,-0.76832,82.7405,-8.324414,-1.636849,0.424465,93.98759,-1.209831,39.026019,NA,NA,NA,NA,54.40869,33.19818,38.767959,0.383782,-8.86449,6.03055,-1.66913,50,6.22967,9.19019,-129.19442,-9.06467,-15.16022,23.92321,-21.86048,SLC_CCB,COL_SPA,SaltLakeCC,JUCO,NJCAA,20260320-SaltLakeCC-2,8877f510-24a6-11f1-8c38-3796854b4b05,88.79997,1.11652,NA,6.44481,NA,NA,NA,1.35016,1.11652,0.77891,8b24f931-7c3c-4b79-8170-60ad07299e8f,2026-03-20,21:50:30,2026-03-20T21:50:30Z,2026-03-20T21:50:30Z,GroundBall,v3,643-147550,643-147303,f6swm8hbnwaq9mu1,"Chavez, Lute",10249641,Right,SLC_CCB,e14515e6-d4bb-4a53-be55-4bcccfd4240c,54.45531,-130.0168,11.9616,6.52836,-8.3132,-10.93024,-1.99401,9.71134,-7.58011,180,1.35304,107.01824,NA,NA,NA,NA,NA,NA,NA,1.11644,-2.90926,NA,NA,NA,NA,NA,NA,NA,0.78124,86.74216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
