player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,"McLaughlin, Logan",1000237525,Right,HIL_COL2,"Gumino, Robert",1000469177,Right,MAL_UNI,Undefined,1,Top,1,0,0,Fastball,NA,InPlay,Undefined,LineDrive,Double,0,0,"1 out top 3rd
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HIL_COL2,MAL_UNI,LendaandGlendaHillStadium,D2,Team,20260321-LendaandGlendaHillStadium-3,548f8e40-2558-11f1-8e79-0ba4e8acb8f6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a0892457-e77d-4b4f-9a83-ad2936cdba9a,NA,NA,NA,NA,NA,v3,643-145023,643-145248,7016,"Wiehe, Ryan",10056649,Right,HIL_COL2,b9a493d8-82ee-4dbd-b02a-5bf8ac95bcfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-03-21,15:01:47,2,1,"McLaughlin, Logan",1000237525,Right,HIL_COL2,"Tyna, Reilly",1000469212,Left,MAL_UNI,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.40783,-1.032099,-0.370986,1950.134515,211.398773,01:00:00,5.72237,1.20149,6.3229,-22.82694,16.02312,8.97213,2.86946,1.60748,76.66668,-5.376735,1.252993,0.448608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.73681,9.03087,-1.17818,50,5.636,0.44381,-122.57769,-2.82444,-7.1453,26.1639,-18.55138,HIL_COL2,MAL_UNI,LendaandGlendaHillStadium,D2,Team,20260321-LendaandGlendaHillStadium-3,69a9c700-2558-11f1-8e79-0ba4e8acb8f6,84.02084,NA,NA,7.74115,NA,NA,NA,NA,NA,NA,a0892457-e77d-4b4f-9a83-ad2936cdba9a,2026-03-21,19:01:47,2026-03-21T19:01:47Z,2026-03-21T19:01:47Z,NA,v3,643-145023,643-145248,7016,"Wiehe, Ryan",10056649,Right,HIL_COL2,9c9fc934-4280-4877-9ef5-1c895b5e1ca4,54.17425,-123.46546,13.08195,5.72116,-2.19497,-9.27569,-1.19735,0.68626,-3.57265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-03-21,15:02:03,2,2,"McLaughlin, Logan",1000237525,Right,HIL_COL2,"Tyna, Reilly",1000469212,Left,MAL_UNI,Undefined,1,Top,1,1,0,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,75.16539,0.395453,-0.08798,2453.768388,93.930296,09:15:00,5.34619,1.78619,5.61869,-48.08487,2.99059,-15.19028,1.7082,0.43823,67.70211,-8.476154,-2.8045,0.514372,47.53324,49.200222,-66.613377,5284.622048,NA,NA,NA,116.54327,114.00386,-69.884513,2.949836,7.67469,1.9198,-1.76862,50,5.34935,0.73352,-108.93329,-0.73553,8.99183,23.58488,-29.92476,HIL_COL2,MAL_UNI,LendaandGlendaHillStadium,D2,Team,20260321-LendaandGlendaHillStadium-3,730cbb40-2558-11f1-8e79-0ba4e8acb8f6,73.2785,37.77604,NA,7.46329,NA,NA,NA,1.83537,1.77038,-0.45866,a0892457-e77d-4b4f-9a83-ad2936cdba9a,2026-03-21,19:02:03,2026-03-21T19:02:03Z,2026-03-21T19:02:03Z,Popup,v3,643-145023,643-145248,7016,"Wiehe, Ryan",10056649,Right,HIL_COL2,b59855be-31ad-45f5-998b-99ed303e2eb5,54.87995,-109.98476,11.79244,5.3524,0.59858,-14.96238,-1.79239,0.33264,4.49592,NA,1.83258,18.1991,-5.1664,3.98665,-3.88972,2.87678,-1.23621,0.27356,-0.02407,1.77045,52.76789,-21.20625,1.53312,0.09301,-0.3398,0.18158,-0.046,0.0046,-0.45794,-41.83895,2.95552,-1.07981,0.76423,-0.50345,0.19018,-0.03481,0.00233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-03-21,15:02:27,2,3,"McLaughlin, Logan",1000237525,Right,HIL_COL2,"Tyna, Reilly",1000469212,Left,MAL_UNI,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,77.68441,0.802963,0.749552,1497.601937,209.068096,01:00:00,5.76902,1.30215,6.12997,-28.11958,18.5091,9.34634,4.16805,2.7739,69.90043,-4.556092,2.433398,0.491471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.49658,9.75788,-1.36368,50,5.81587,-1.82837,-112.63477,0.85663,-5.67908,23.67775,-19.85007,HIL_COL2,MAL_UNI,LendaandGlendaHillStadium,D2,Team,20260321-LendaandGlendaHillStadium-3,819918c0-2558-11f1-8e79-0ba4e8acb8f6,76.6931,NA,NA,7.78398,NA,NA,NA,NA,NA,NA,a0892457-e77d-4b4f-9a83-ad2936cdba9a,2026-03-21,19:02:27,2026-03-21T19:02:27Z,2026-03-21T19:02:27Z,NA,v3,643-145023,643-145248,7016,"Wiehe, Ryan",10056649,Right,HIL_COL2,b4946b09-c083-48d5-b951-d787de0883a0,54.36346,-113.54834,11.83888,5.76804,1.62251,-9.92504,-1.29736,-1.60925,-2.83954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-03-21,15:02:46,2,4,"McLaughlin, Logan",1000237525,Right,HIL_COL2,"Tyna, Reilly",1000469212,Left,MAL_UNI,Undefined,1,Top,1,2,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,84.53414,-1.621199,-2.77144,2072.444955,230.223303,01:45:00,5.67154,1.26585,6.4419,-25.80029,12.70225,13.71953,2.02963,-0.13955,77.11581,-6.494874,-0.284863,0.446597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.9393,7.50126,-1.07452,50,5.54469,5.42014,-122.69325,-4.19715,-12.04321,25.3791,-20.79526,HIL_COL2,MAL_UNI,LendaandGlendaHillStadium,D2,Team,20260321-LendaandGlendaHillStadium-3,8ce56670-2558-11f1-8e79-0ba4e8acb8f6,84.39916,NA,NA,7.41833,NA,NA,NA,NA,NA,NA,a0892457-e77d-4b4f-9a83-ad2936cdba9a,2026-03-21,19:02:46,2026-03-21T19:02:46Z,2026-03-21T19:02:46Z,NA,v3,643-145023,643-145248,7016,"Wiehe, Ryan",10056649,Right,HIL_COL2,151dc250-7404-4c22-8e7d-aa47f5f45a8a,54.05729,-123.52964,12.68955,5.67171,-3.51182,-10.39763,-1.25969,5.81704,-6.0216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-03-21,15:03:04,2,5,"McLaughlin, Logan",1000237525,Right,HIL_COL2,"Tyna, Reilly",1000469212,Left,MAL_UNI,Undefined,1,Top,1,2,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,74.78366,0.645787,0.841082,2349.157515,120.276877,10:00:00,5.31718,1.92815,5.41335,-42.43172,9.04512,-12.3756,2.38632,1.68489,67.80428,-7.182482,-1.361603,0.516389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.40311,4.92922,-1.99439,50,5.3457,-1.10669,-108.38497,-0.10559,7.524,21.09628,-26.38196,HIL_COL2,MAL_UNI,LendaandGlendaHillStadium,D2,Team,20260321-LendaandGlendaHillStadium-3,9772a9e0-2558-11f1-8e79-0ba4e8acb8f6,72.99228,NA,NA,6.97939,NA,NA,NA,NA,NA,NA,a0892457-e77d-4b4f-9a83-ad2936cdba9a,2026-03-21,19:03:04,2026-03-21T19:03:04Z,2026-03-21T19:03:04Z,NA,v3,643-145023,643-145248,7016,"Wiehe, Ryan",10056649,Right,HIL_COL2,d770075c-2f0b-4706-8289-c22ffffb10aa,55.0826,-109.36979,10.54814,5.32188,1.12597,-13.19098,-1.93453,-1.45793,3.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-03-21,15:03:32,3,1,"McLaughlin, Logan",1000237525,Right,HIL_COL2,"Coblentz, Shane",1000469120,Right,MAL_UNI,Undefined,1,Top,2,0,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,85.47785,-2.394866,-4.028063,2078.088476,221.580843,01:30:00,5.77518,1.07571,6.42209,-24.16785,13.32036,10.79138,1.55296,-1.73395,78.64745,-6.938027,-2.077368,0.440675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.73067,7.95882,-0.79267,50,5.59273,8.33052,-123.95767,-5.87857,-10.51559,23.82194,-19.73965,HIL_COL2,MAL_UNI,LendaandGlendaHillStadium,D2,Team,20260321-LendaandGlendaHillStadium-3,a7e5efd0-2558-11f1-8e79-0ba4e8acb8f6,85.53336,NA,NA,6.8304,NA,NA,NA,NA,NA,NA,a0892457-e77d-4b4f-9a83-ad2936cdba9a,2026-03-21,19:03:32,2026-03-21T19:03:32Z,2026-03-21T19:03:32Z,NA,v3,643-145023,643-145248,7016,"Wiehe, Ryan",10056649,Right,HIL_COL2,cd2a9056-bafc-4d5f-ac2d-e7004d5c6555,54.07927,-124.73915,11.91097,5.77495,-5.23101,-9.86982,-1.07161,8.67548,-5.2578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-03-21,15:03:48,3,2,"McLaughlin, Logan",1000237525,Right,HIL_COL2,"Coblentz, Shane",1000469120,Right,MAL_UNI,Undefined,1,Top,2,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,83.71086,-0.601181,-2.015084,2105.118182,209.412767,01:00:00,5.78028,1.2522,6.48812,-19.14379,20.10033,10.58146,3.63265,0.28317,75.95003,-4.301226,-0.095886,0.450878,68.2136,61.390797,145.180079,4084.424599,NA,NA,NA,NA,23.23178,NA,NA,-6.16052,11.10595,-1.11513,50,5.72942,3.89124,-121.58431,-1.73119,-9.14332,25.73036,-15.69076,HIL_COL2,MAL_UNI,LendaandGlendaHillStadium,D2,Team,20260321-LendaandGlendaHillStadium-3,b1621160-2558-11f1-8e79-0ba4e8acb8f6,83.59794,41.18083,NA,7.76083,NA,NA,NA,0.44258,3.52786,-0.28232,a0892457-e77d-4b4f-9a83-ad2936cdba9a,2026-03-21,19:03:48,2026-03-21T19:03:48Z,2026-03-21T19:03:48Z,NA,v3,643-145023,643-145248,7016,"Wiehe, Ryan",10056649,Right,HIL_COL2,684f9300-bd56-45d8-a563-d02ffd99bbf5,54.01136,-122.43028,12.86518,5.77786,-1.21531,-7.84538,-1.24801,4.19185,-4.57166,331.328881,0.44258,-39.32808,-1.52049,1.64435,-0.60438,0.17533,-0.04688,0.011,-0.00161,3.52786,87.83139,-30.08035,3.96016,-0.71317,0.10519,-0.01031,-0.00466,0.00296,-0.28232,27.35401,-8.62615,3.33425,-0.89009,0.21053,-0.048280000000000003,0.00937,-0.00101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-03-21,15:04:10,3,3,"McLaughlin, Logan",1000237525,Right,HIL_COL2,"Coblentz, Shane",1000469120,Right,MAL_UNI,Undefined,1,Top,2,0,2,Slider,Curveball,InPlay,Undefined,Popup,Out,1,0,NA,73.76592,1.177136,-1.206506,2154.223506,75.986446,08:30:00,5.7435,1.28476,6.08867,-53.28873,0.04551,-9.40162,2.39211,-0.61499,65.0176,-8.792053,-2.901501,0.525623,81.50264,50.032673,12.059493,NA,105.54286,106.57976,30.9952,217.77214,214.16074,15.987359,5.390509,4.33457,0.16039,-1.18678,50,5.80705,2.57892,-106.7045,0.67807,4.75242,26.72488,-31.99821,HIL_COL2,MAL_UNI,LendaandGlendaHillStadium,D2,Team,20260321-LendaandGlendaHillStadium-3,bef23490-2558-11f1-8e79-0ba4e8acb8f6,71.71002,109.77775,NA,8.74833,NA,NA,NA,1.03561,2.41038,0.6388,a0892457-e77d-4b4f-9a83-ad2936cdba9a,2026-03-21,19:04:10,2026-03-21T19:04:10Z,2026-03-21T19:04:10Z,FlyBall,v3,643-145023,643-145248,7016,"Wiehe, Ryan",10056649,Right,HIL_COL2,d0bea74b-4ed3-46ac-85fe-52410a5a9bca,54.40685,-107.80258,13.36244,5.75218,1.99282,-15.9991,-1.28874,2.38365,2.37621,194.395474,1.03948,74.98474,-18.72162,4.07883,0.00771,-0.35583,0.1134,-0.0151,7.5e-4,2.39779,91.83987,-23.90072,3.16702,-1.11119,0.32698,-0.05501,0.00454,-1.4e-4,0.63633,16.09776,-0.1151,-0.21652,-0.22788,0.17085,-0.04775,0.00612,-3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-03-21,15:06:21,1,1,"Snyder, Ashton",1000468108,Right,MAL_UNI,"Jasiak, Aaron",10274457,Right,HIL_COL2,Undefined,1,Bottom,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,76.40114,0.085653000000000007,-1.336622,2070.155037,144.17839,10:45:00,5.18639,1.5338,5.96314,-44.18006,3.63677,-1.52469,1.58417,0.16711,70.1317,-8.070587,-1.610922,0.497693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40122,2.28102,-1.42688,50,5.16848,2.64361,-110.9879,-1.15016,0.49876,20.50599,-29.33866,HIL_COL2,MAL_UNI,LendaandGlendaHillStadium,D2,Team,20260321-LendaandGlendaHillStadium-3,0c9192e0-2559-11f1-8e79-0ba4e8acb8f6,75.73426,NA,NA,6.26944,NA,NA,NA,NA,NA,NA,a0892457-e77d-4b4f-9a83-ad2936cdba9a,2026-03-21,19:06:21,2026-03-21T19:06:21Z,2026-03-21T19:06:21Z,NA,v3,643-145023,643-145248,7016,"Alvarez, Vincent",1000469127,Right,MAL_UNI,c8c6dd1a-cd0c-4161-8b04-d196ad90f515,54.53771,-111.82314,10.253,5.19099,0.04485,-14.66933,-1.53415,2.6233,0.24938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
