player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-03-21,12:01:15,1,1,"Cruz, Brailyn",10073748,Right,MID_NAZ,"Hidalgo, Carlos",1000093391,Right,MIS_BAP,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,NA,91.84767,-0.13858,-3.402404,2061.974711,227.051187,01:30:00,4.84393,2.57747,5.75525,-21.68001,12.21268,11.78237,2.90803,0.3884,82.49137,-4.229493,-1.298024,0.41901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.02878,6.61107,-2.3019,50,4.81948,7.35897,-132.94569,-1.04713,-12.37999,32.72272,-20.52986,MID_NAZ,MIS_BAP,DixonField,NAIA,NAIA,20260321-DixonField-1,92d62710-2547-11f1-9ac9-ffc2081c6b19,89.95592,NA,NA,9.3563,NA,NA,NA,NA,NA,NA,591b66c2-f800-4a76-b067-da3b95de6cf4,2026-03-21,17:01:15,2026-03-21T17:01:15Z,2026-03-21T17:01:15Z,NA,v3,NA,643-146700,NA,"Ramos, Christian",1000516726,Right,MID_NAZ,6b54bc35-0a11-4413-8810-4fee4ae2e524,54.7395,-134.10718,16.36136,4.84371,-0.31842,-10.26493,-2.57091,7.79839,-6.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-03-21,12:01:29,1,2,"Cruz, Brailyn",10073748,Right,MID_NAZ,"Hidalgo, Carlos",1000093391,Right,MIS_BAP,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,NA,76.26352,4.113959,-1.076265,2190.549898,30.813788,07:00:00,4.92982,2.51677,5.55004,-61.30854,-11.74111,-8.05056,3.67238,0.84005,68.79301,-7.099159,-2.510279,0.506722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.64977,-6.54272,-2.41844,50,5.24686,2.39363,-110.35357,5.8567,4.42875,22.56664,-40.11318,MID_NAZ,MIS_BAP,DixonField,NAIA,NAIA,20260321-DixonField-1,9b493d10-2547-11f1-9ac9-ffc2081c6b19,74.38488,NA,NA,7.47051,NA,NA,NA,NA,NA,NA,591b66c2-f800-4a76-b067-da3b95de6cf4,2026-03-21,17:01:29,2026-03-21T17:01:29Z,2026-03-21T17:01:29Z,NA,v3,NA,643-146700,NA,"Ramos, Christian",1000516726,Right,MID_NAZ,27df8d9d-cecd-4797-b38b-8983e04bd41f,54.94939,-111.36109,11.28332,4.9454,7.64761,-20.05659,-2.5209,2.19591,2.21437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-03-21,12:01:46,1,3,"Cruz, Brailyn",10073748,Right,MID_NAZ,"Hidalgo, Carlos",1000093391,Right,MIS_BAP,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,NA,92.84672,-0.503501,-4.287373,2015.889328,223.042872,01:30:00,4.82657,2.41575,5.81384,-19.5371,13.46501,11.48225,2.72897,-0.62147,83.74587,-4.198669,-2.238132,0.413468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.13493,7.35225,-2.07055,50,4.77375,9.54419,-134.33998,-1.82108,-12.89483,32.10363,-18.88649,MID_NAZ,MIS_BAP,DixonField,NAIA,NAIA,20260321-DixonField-1,a5877620-2547-11f1-9ac9-ffc2081c6b19,91.16159,NA,NA,9.10086,NA,NA,NA,NA,NA,NA,591b66c2-f800-4a76-b067-da3b95de6cf4,2026-03-21,17:01:46,2026-03-21T17:01:46Z,2026-03-21T17:01:46Z,NA,v3,NA,643-146700,NA,"Ramos, Christian",1000516726,Right,MID_NAZ,82c3f140-8e91-4030-8060-4ac54ce7af73,54.68217,-135.45427,16.05181,4.82558,-1.16554,-9.44325,-2.40959,9.99176,-6.44741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-03-21,12:02:07,1,4,"Cruz, Brailyn",10073748,Right,MID_NAZ,"Hidalgo, Carlos",1000093391,Right,MIS_BAP,Undefined,1,Top,0,0,0,Undefined,Splitter,Undefined,Undefined,Undefined,Undefined,0,0,NA,83.65437,2.942006,-1.657476,908.019892,298.840704,04:00:00,4.88666,2.57236,5.56663,-45.62585,-5.00851,11.46827,3.83639,1.97926,76.14057,-5.413789,0.386895,0.458698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.3304,-3.08858,-2.4374,50,5.11015,3.0454,-121.32079,4.6161,-9.39401,24.69723,-36.75735,MID_NAZ,MIS_BAP,DixonField,NAIA,NAIA,20260321-DixonField-1,b1807e90-2547-11f1-9ac9-ffc2081c6b19,82.17263,NA,NA,7.51381,NA,NA,NA,NA,NA,NA,591b66c2-f800-4a76-b067-da3b95de6cf4,2026-03-21,17:02:07,2026-03-21T17:02:07Z,2026-03-21T17:02:07Z,NA,v3,NA,643-146700,NA,"Ramos, Christian",1000516726,Right,MID_NAZ,57785269-bea2-47e4-ae08-f79d3e72573f,54.93516,-122.32131,12.34862,4.89299,6.1052,-18.37868,-2.56848,3.42597,-4.697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-03-21,12:02:42,1,5,"Cruz, Brailyn",10073748,Right,MID_NAZ,"Hidalgo, Carlos",1000093391,Right,MIS_BAP,Undefined,1,Top,0,0,0,Undefined,Sinker,Undefined,Undefined,Undefined,Undefined,0,0,NA,90.60227,-1.304487,-5.09759,2209.050993,226.520622,01:30:00,4.72905,2.62874,6.06753,-18.788,15.57548,15.1367,1.95118,-0.83978,81.82655,-4.88582,-2.387298,0.42191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.33189,8.76808,-2.24053,50,4.61755,11.03924,-131.01145,-3.54803,-16.05351,30.31678,-17.09046,MID_NAZ,MIS_BAP,DixonField,NAIA,NAIA,20260321-DixonField-1,c67d4440-2547-11f1-9ac9-ffc2081c6b19,89.33763,NA,NA,8.77572,NA,NA,NA,NA,NA,NA,591b66c2-f800-4a76-b067-da3b95de6cf4,2026-03-21,17:02:42,2026-03-21T17:02:42Z,2026-03-21T17:02:42Z,NA,v3,NA,643-146700,NA,"Ramos, Christian",1000516726,Right,MID_NAZ,10723a74-4b62-4a06-892b-414b4658360f,54.42999,-132.0326,15.15839,4.72736,-2.97238,-8.54523,-2.62147,11.57996,-8.02676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-03-21,12:02:57,1,6,"Cruz, Brailyn",10073748,Right,MID_NAZ,"Hidalgo, Carlos",1000093391,Right,MIS_BAP,Undefined,1,Top,0,0,0,Undefined,Sinker,Undefined,Undefined,Undefined,Undefined,0,0,NA,89.99256,0.31275,-3.242418,2013.363032,240.300891,02:00:00,4.8231,2.77903,5.57266,-25.90049,9.27788,14.19705,2.95733,0.93027,81.64753,-4.503795,-0.714296,0.426883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.12776,4.94571,-2.50905,50,4.83327,6.75381,-130.425,-0.20734,-13.91712,28.95055,-23.70552,MID_NAZ,MIS_BAP,DixonField,NAIA,NAIA,20260321-DixonField-1,cf52eca0-2547-11f1-9ac9-ffc2081c6b19,88.29681,NA,NA,8.34503,NA,NA,NA,NA,NA,NA,591b66c2-f800-4a76-b067-da3b95de6cf4,2026-03-21,17:02:57,2026-03-21T17:02:57Z,2026-03-21T17:02:57Z,NA,v3,NA,643-146700,NA,"Ramos, Christian",1000516726,Right,MID_NAZ,05668a43-a94d-40e6-b052-b8575eebd1ac,54.92577,-131.51383,14.47528,4.82431,0.68423,-11.85276,-2.7729,7.27723,-6.95856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-03-21,12:03:39,1,7,"Cruz, Brailyn",10073748,Right,MID_NAZ,"Hidalgo, Carlos",1000093391,Right,MIS_BAP,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,NA,74.83376,1.705292,-4.318255,2180.444701,56.731089,08:00:00,5.02446,2.40874,5.81331,-57.99039,-7.3426,-13.64674,1.78259,-2.75148,68.68308,-8.876493,-6.750465,0.512214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.60796,-3.69004,-2.04645,50,5.1308,8.67941,-108.36498,1.42497,6.60957,20.49615,-36.52314,MID_NAZ,MIS_BAP,DixonField,NAIA,NAIA,20260321-DixonField-1,e8848260-2547-11f1-9ac9-ffc2081c6b19,73.58728,NA,NA,6.15069,NA,NA,NA,NA,NA,NA,591b66c2-f800-4a76-b067-da3b95de6cf4,2026-03-21,17:03:39,2026-03-21T17:03:39Z,2026-03-21T17:03:39Z,NA,v3,NA,643-146700,NA,"Ramos, Christian",1000516726,Right,MID_NAZ,7e2a6310-cb27-490b-9113-b0c877f1838e,54.68762,-109.248,10.24808,5.03552,2.99847,-18.26157,-2.41425,8.39465,3.30479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-03-21,12:03:56,1,8,"Cruz, Brailyn",10073748,Right,MID_NAZ,"Hidalgo, Carlos",1000093391,Right,MIS_BAP,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,NA,72.29997,3.314024,0.072687,2020.336772,37.700778,07:15:00,4.96889,2.36771,6.01203,-65.81354,-12.11481,-10.73627,2.55794,1.54035,65.97289,-8.792424,-1.860139,0.527416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.48051,-6.55768,-2.3679,50,5.19436,0.2432,-104.92091,4.10856,6.0477,19.42029,-39.4104,MID_NAZ,MIS_BAP,DixonField,NAIA,NAIA,20260321-DixonField-1,f2ddbd80-2547-11f1-9ac9-ffc2081c6b19,71.46622,NA,NA,6.32708,NA,NA,NA,NA,NA,NA,591b66c2-f800-4a76-b067-da3b95de6cf4,2026-03-21,17:03:56,2026-03-21T17:03:56Z,2026-03-21T17:03:56Z,NA,v3,NA,643-146700,NA,"Ramos, Christian",1000516726,Right,MID_NAZ,50b42858-59a5-4453-9249-55d136ce9670,54.49019,-105.74875,9.71014,4.98342,5.78853,-19.7052,-2.37278,-0.0146,3.02385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-03-21,12:04:15,1,9,"Cruz, Brailyn",10073748,Right,MID_NAZ,"Hidalgo, Carlos",1000093391,Right,MIS_BAP,Undefined,1,Top,0,0,0,Undefined,Sinker,Undefined,Undefined,Undefined,Undefined,0,0,NA,91.15702,-0.159919,-4.956705,2189.816581,228.229668,01:30:00,4.88243,2.46497,5.97296,-20.99686,12.85993,13.13005,2.98388,-1.04759,82.72552,-4.118858,-2.609972,0.418788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.11662,6.97335,-2.0787,50,4.85808,10.86302,-131.91069,-1.03844,-14.24302,29.12707,-19.9372,MID_NAZ,MIS_BAP,DixonField,NAIA,NAIA,20260321-DixonField-1,fddd98e0-2547-11f1-9ac9-ffc2081c6b19,90.00365,NA,NA,8.4315,NA,NA,NA,NA,NA,NA,591b66c2-f800-4a76-b067-da3b95de6cf4,2026-03-21,17:04:15,2026-03-21T17:04:15Z,2026-03-21T17:04:15Z,NA,v3,NA,643-146700,NA,"Ramos, Christian",1000516726,Right,MID_NAZ,74259216-5458-43ca-b0d8-17d631b1dc1f,54.52427,-132.90594,14.56353,4.88192,-0.35721,-9.9686,-2.4582,11.34969,-7.12151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-03-21,12:04:34,1,10,"Cruz, Brailyn",10073748,Right,MID_NAZ,"Hidalgo, Carlos",1000093391,Right,MIS_BAP,Undefined,1,Top,2,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,NA,91.79359,-1.223098,-4.106033,2196.603861,216.035478,01:15:00,4.93602,2.41955,5.88755,-17.26438,16.34253,11.03138,2.3585,-0.48043,82.97953,-4.515098,-2.133783,0.41724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.84937,9.05623,-2.09407,50,4.82723,9.04326,-132.86172,-3.36139,-12.12934,30.93382,-16.13661,MID_NAZ,MIS_BAP,DixonField,NAIA,NAIA,20260321-DixonField-1,09732490-2548-11f1-9ac9-ffc2081c6b19,90.33764,NA,NA,8.81405,NA,NA,NA,NA,NA,NA,591b66c2-f800-4a76-b067-da3b95de6cf4,2026-03-21,17:04:34,2026-03-21T17:04:34Z,2026-03-21T17:04:34Z,NA,v3,NA,643-146700,NA,"Ramos, Christian",1000516726,Right,MID_NAZ,660170e4-1f13-46ba-adc2-9ca6bb43e522,54.60871,-133.93046,15.46691,4.93373,-2.80388,-8.06831,-2.41375,9.46232,-6.06467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
