player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,2026-03-22,14:01:31,1,1,"Casabella, Carter",10050471,Right,TEN_TEC,"Cano, Angel",1000227393,Right,LIT_TRO,Undefined,4,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,88.25821,-0.087646,-2.197954,1575.149977,303.629507,04:00:00,6.13937,1.40977,6.06615,-42.69183,-6.94949,12.16776,2.50055,0.38874,80.79711,-7.940272,-0.003409,0.430292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.93607,-3.23929,-1.24588,50,6.10984,4.42868,-128.22567,-1.70389,-11.4873,27.81347,-37.53886,TEN_TEC,LIT_TRO,BushStadium,D1,OVC,20260322-BushStadium-1,8a869c90-2621-11f1-8c46-0f82e26629fe,87.59741,NA,NA,7.4611,NA,NA,NA,NA,NA,NA,ee609c34-04f5-4929-bf61-dd8900ac6ab8,2026-03-22,19:01:31,2026-03-22T19:01:31Z,2026-03-22T19:01:31Z,NA,v3,471458,471235,14c49e41c7ae4a25b79e7047b61234d5,"Garza, Manny",801845,Right,TEN_TEC,a8c903aa-4c78-415c-b7b7-98b1cbed2d4d,54.43341,-129.18375,13.90674,6.14627,-0.41081,-18.76943,-1.40524,4.82437,-5.74365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,2026-03-22,14:01:44,1,2,"Casabella, Carter",10050471,Right,TEN_TEC,"Cano, Angel",1000227393,Right,LIT_TRO,Undefined,4,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,76.76453,-1.105113,-3.189708,2140.243082,39.705779,07:15:00,5.93978,1.30261,5.78027,-56.04239,-8.11457,-7.98575,0.23966,-2.33364,70.99394,-11.266073,-4.621628,0.498271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15197,-3.4183500000000002,-1.0344,50,5.81457,6.49348,-111.36722,-3.93271,3.9318,21.26252,-36.43813,TEN_TEC,LIT_TRO,BushStadium,D1,OVC,20260322-BushStadium-1,91d5a4f0-2621-11f1-8c46-0f82e26629fe,75.64651,NA,NA,5.77059,NA,NA,NA,NA,NA,NA,ee609c34-04f5-4929-bf61-dd8900ac6ab8,2026-03-22,19:01:44,2026-03-22T19:01:44Z,2026-03-22T19:01:44Z,NA,v3,471458,471235,14c49e41c7ae4a25b79e7047b61234d5,"Garza, Manny",801845,Right,TEN_TEC,aac4f5be-3ac4-417a-b0dd-ee919e62a49c,54.71992,-112.26474,10.63126,5.94812,-2.39461,-18.21907,-1.305,6.32752,1.9659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,2026-03-22,14:01:59,1,3,"Casabella, Carter",10050471,Right,TEN_TEC,"Cano, Angel",1000227393,Right,LIT_TRO,Undefined,4,Top,0,1,1,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,87.97545,-0.824144,-2.178829,1667.860058,267.66043,03:00:00,5.82186,1.16877,6.33964,-33.88734,1.78973,15.00891,2.23858,0.41264,80.27443,-7.134429,0.540449,0.429898,97.28283,-2.187708,-14.56981,NA,NA,NA,NA,34.73896,34.3833,-14.603017,0.240172,-8.50099,1.51067,-1.01718,50,5.74602,4.27995,-127.8057,-2.93317,-13.95755,28.14596,-29.69373,TEN_TEC,LIT_TRO,BushStadium,D1,OVC,20260322-BushStadium-1,9ad4a740-2621-11f1-8c46-0f82e26629fe,87.67753,2.21172,NA,7.70103,NA,NA,NA,1.39945,2.21172,-0.42971,ee609c34-04f5-4929-bf61-dd8900ac6ab8,2026-03-22,19:01:59,2026-03-22T19:01:59Z,2026-03-22T19:01:59Z,GroundBall,v3,471458,471235,14c49e41c7ae4a25b79e7047b61234d5,"Garza, Manny",801845,Right,TEN_TEC,9714bab2-9d76-4c78-93af-bbaef316e049,54.15874,-128.7183,14.07298,5.82552,-1.97039,-14.84687,-1.16329,4.73251,-6.97878,303.717111,1.40093,137.91038,-15.73926,NA,NA,NA,NA,NA,NA,2.21249,-5.48912,-15.51443,NA,NA,NA,NA,NA,NA,-0.43021,-35.83927,4.85229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,2026-03-22,14:02:29,2,1,"Casabella, Carter",10050471,Right,TEN_TEC,"Bilski, Jack",1000394479,Right,LIT_TRO,Undefined,4,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.57457,0.15232,-0.838751,1614.738004,252.070117,02:30:00,6.02925,1.13839,6.20757,-29.74423,5.22374,12.94843,3.69116,1.44325,81.46204,-5.386521,1.500479,0.425605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.9189,2.9978,-1.08166,50,6.02583,1.3652,-128.83564,-0.6324,-11.68013,25.668,-27.11331,TEN_TEC,LIT_TRO,BushStadium,D1,OVC,20260322-BushStadium-1,acd25dc0-2621-11f1-8c46-0f82e26629fe,88.56202,NA,NA,7.11253,NA,NA,NA,NA,NA,NA,ee609c34-04f5-4929-bf61-dd8900ac6ab8,2026-03-22,19:02:29,2026-03-22T19:02:29Z,2026-03-22T19:02:29Z,NA,v3,471458,471235,14c49e41c7ae4a25b79e7047b61234d5,"Garza, Manny",801845,Right,TEN_TEC,69ca60e4-c83b-430c-a5c5-f2703b522abd,54.2904,-129.68761,12.834,6.03188,0.26754,-13.55665,-1.1334,1.75288,-5.84007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,2026-03-22,14:02:43,2,2,"Casabella, Carter",10050471,Right,TEN_TEC,"Bilski, Jack",1000394479,Right,LIT_TRO,Undefined,4,Top,1,1,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,88.81374,-0.733796,-2.73253,1659.886873,249.554322,02:15:00,5.80229,1.26041,6.36111,-28.64801,5.83677,13.01576,2.73886,-0.1715,82.06292,-6.071654,-0.376683,0.422654,87.26803,-27.658764,9.900978,NA,NA,NA,NA,6.29963,6.22502,9.877937,0.045249,-7.52685,3.51886,-1.06867,50,5.7356,5.66784,-129.14886,-2.56146,-12.82578,24.65393,-26.17788,TEN_TEC,LIT_TRO,BushStadium,D1,OVC,20260322-BushStadium-1,b551a8c0-2621-11f1-8c46-0f82e26629fe,89.18037,2.69511,NA,6.75082,NA,NA,NA,1.14042,2.69511,0.19648,ee609c34-04f5-4929-bf61-dd8900ac6ab8,2026-03-22,19:02:43,2026-03-22T19:02:43Z,2026-03-22T19:02:43Z,GroundBall,v3,471458,471235,14c49e41c7ae4a25b79e7047b61234d5,"Garza, Manny",801845,Right,TEN_TEC,66c50805-5bf0-4611-901e-d816cf86d168,54.13866,-129.93651,12.32697,5.80408,-1.72512,-13.08894,-1.25629,6.0776,-6.41289,180,1.13841,111.95504,NA,NA,NA,NA,NA,NA,NA,2.69617,-59.56206,NA,NA,NA,NA,NA,NA,NA,0.19613,19.54125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,2026-03-22,14:03:14,3,1,"Casabella, Carter",10050471,Right,TEN_TEC,"Baumbach, Nico",1000121291,Right,LIT_TRO,Undefined,4,Top,2,0,0,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,75.29826,0.407129,-0.322658,2120.751872,58.312102,08:00:00,5.77544,1.23991,6.17218,-53.9455,-5.20122,-10.86906,1.65601,0.03616,69.45915,-9.5219,-2.289127,0.502497,59.52415,51.522606,157.996886,3850.885742,-102.27969,35.60391,40.48262,140.60948,68.29733,158.194475,3.13536,5.60016,-2.47559,-1.20984,50,5.77843,0.97639,-109.5264,-0.78165,6.77706,20.02389,-35.16989,TEN_TEC,LIT_TRO,BushStadium,D1,OVC,20260322-BushStadium-1,c7ba7d20-2621-11f1-8c46-0f82e26629fe,75.01034,49.22345,NA,5.83912,NA,NA,NA,3.67799,2.16619,-0.11313,ee609c34-04f5-4929-bf61-dd8900ac6ab8,2026-03-22,19:03:14,2026-03-22T19:03:14Z,2026-03-22T19:03:14Z,Popup,v3,471458,471235,14c49e41c7ae4a25b79e7047b61234d5,"Garza, Manny",801845,Right,TEN_TEC,e23d2a80-5f6d-49d1-826d-5242e43954ac,54.32856,-110.31492,10.01195,5.78194,0.6033,-17.58494,-1.24303,0.70952,3.38853,353.192416,3.67839,-50.3813,0.82006,0.57492,0.29007,-0.33949,0.14826,-0.0303,0.00238,2.16615,68.34591,-28.65884,3.52377,-0.80149,0.24072,-0.08017,0.0174,-0.00155,-0.11321,20.35448,-1.70689,0.3136,-0.13923,0.0916,-0.03872,0.00819,-6.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,2026-03-22,14:03:36,3,2,"Casabella, Carter",10050471,Right,TEN_TEC,"Baumbach, Nico",1000121291,Right,LIT_TRO,Undefined,4,Top,2,0,1,Fastball,Sinker,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,90.40048,-3.326794,-3.47295,1878.974534,230.711836,01:45:00,5.88555,0.95013,6.26778,-25.11997,8.81729,9.42689,0.71618,-1.4699,82.81443,-8.009015,-1.770779,0.419286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.87957,5.87075,-0.69734,50,5.62659,7.56456,-130.9599,-8.42772,-10.18747,28.24801,-22.00186,TEN_TEC,LIT_TRO,BushStadium,D1,OVC,20260322-BushStadium-1,d4e9bba0-2621-11f1-8c46-0f82e26629fe,89.89683,NA,NA,7.58605,NA,NA,NA,NA,NA,NA,ee609c34-04f5-4929-bf61-dd8900ac6ab8,2026-03-22,19:03:36,2026-03-22T19:03:36Z,2026-03-22T19:03:36Z,NA,v3,471458,471235,14c49e41c7ae4a25b79e7047b61234d5,"Garza, Manny",801845,Right,TEN_TEC,2129c385-5ca1-413a-a29b-509b6c6ed550,54.22895,-131.86892,14.124,5.8864,-7.71969,-11.00093,-0.94604,7.8924,-5.09373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,2026-03-22,14:04:26,4,1,"Casabella, Carter",10050471,Right,TEN_TEC,"Lopez, Jerdy",10298774,Left,LIT_TRO,Undefined,4,Top,2,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.98756,-1.450736,-3.140116,1928.188576,230.895971,01:45:00,5.65863,1.22492,6.19375,-25.75718,8.15811,8.52776,2.1706,-0.96624,82.12699,-6.290304,-1.60268,0.41915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.3978,5.06225,-0.9924,50,5.53654,6.86859,-131.83202,-4.18266,-9.35333,32.04762,-23.40214,TEN_TEC,LIT_TRO,BushStadium,D1,OVC,20260322-BushStadium-1,f293ba20-2621-11f1-8c46-0f82e26629fe,89.92597,NA,NA,8.86057,NA,NA,NA,NA,NA,NA,ee609c34-04f5-4929-bf61-dd8900ac6ab8,2026-03-22,19:04:26,2026-03-22T19:04:26Z,2026-03-22T19:04:26Z,NA,v3,471458,471235,14c49e41c7ae4a25b79e7047b61234d5,"Garza, Manny",801845,Right,TEN_TEC,50a30b5f-f922-4f59-aea4-7c9bb132b366,54.3003,-132.87328,16.02381,5.66008,-3.4223,-11.70107,-1.2205,7.17249,-4.67666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,2026-03-22,14:04:41,4,2,"Casabella, Carter",10050471,Right,TEN_TEC,"Lopez, Jerdy",10298774,Left,LIT_TRO,Undefined,4,Top,2,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,77.62825,-2.575862,-3.40444,2160.89208,57.505064,08:00:00,5.77371,1.56,6.02175,-51.29688,-4.86618,-9.8678,-0.89258,-2.41918,72.12192,-11.876283,-5.181713,0.490427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.17941,-1.4902,-1.28768,50,5.54322,7.03135,-112.57462,-6.62313,5.33672,21.38384,-34.07687,TEN_TEC,LIT_TRO,BushStadium,D1,OVC,20260322-BushStadium-1,fb84d9c0-2621-11f1-8c46-0f82e26629fe,76.85643,NA,NA,5.50633,NA,NA,NA,NA,NA,NA,ee609c34-04f5-4929-bf61-dd8900ac6ab8,2026-03-22,19:04:41,2026-03-22T19:04:41Z,2026-03-22T19:04:41Z,NA,v3,471458,471235,14c49e41c7ae4a25b79e7047b61234d5,"Garza, Manny",801845,Right,TEN_TEC,c7196871-c6c0-41e3-b32c-2bd42a53cf02,54.47926,-113.42227,10.69192,5.77899,-5.27232,-17.03844,-1.56221,6.8198,2.66836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.33019,NA,NA,0.876904,NA,NA,NA,-1.87142,4.09326,5.58242,62.0001,7.32408,62.77641,-1.8499,80.04701,-8.2826,4.12597,19.94873,-18.64197,5.57051,66.3157,-1.21229,High,High,High,NA,NA,High,Medium,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,2026-03-22,14:05:13,4,3,"Casabella, Carter",10050471,Right,TEN_TEC,"Lopez, Jerdy",10298774,Left,LIT_TRO,Undefined,4,Top,2,2,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.69659,-2.450319,-1.22787,1823.813035,244.478331,02:15:00,5.82963,1.4185,6.03998,-29.56742,5.67189,9.62418,1.09511,1.08349,81.72356,-7.91164,0.507336,0.427253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.33244,3.90032,-1.32809,50,5.62243,2.37698,-128.837,-6.50417,-8.98036,26.27795,-25.60552,TEN_TEC,LIT_TRO,BushStadium,D1,OVC,20260322-BushStadium-1,0ed66070-2622-11f1-8c46-0f82e26629fe,88.22046,NA,NA,6.97304,NA,NA,NA,NA,NA,NA,ee609c34-04f5-4929-bf61-dd8900ac6ab8,2026-03-22,19:05:13,2026-03-22T19:05:13Z,2026-03-22T19:05:13Z,NA,v3,471458,471235,14c49e41c7ae4a25b79e7047b61234d5,"Garza, Manny",801845,Right,TEN_TEC,56af7f93-4481-4dfe-b255-2347168e97fb,54.45878,-129.74324,13.13897,5.83152,-5.62113,-12.80276,-1.41541,2.68669,-4.49018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
