player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-03-22,11:06:26,1,5,"Daniel, Ben",10117966,Right,RHO_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Top,0,1,2,FourSeamFastBall,NA,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RHO_COL,CEN_COL,StaufferField,D3,Team,20260322-StaufferField-1,0ae02960-2609-11f1-b170-01fab5cc9621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bea1ee8c-941e-4160-85af-4671d2c6c237,2026-03-22,16:06:26,2026-03-22T16:06:26Z,2026-03-22T16:06:26Z,NA,v3,643-145680,643-144624,10282,"Angilly, Cooper",1000091554,Right,RHO_COL,f9e71ae5-16e7-4b80-9b58-e5821bff45f0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-03-22,11:06:27,2,1,"Daniel, Ben",10117966,Right,RHO_COL,"Lohr, Ayden",10022392,Right,CEN_COL,Undefined,1,Top,1,0,0,FourSeamFastBall,NA,InPlay,Undefined,GroundBall,Out,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RHO_COL,CEN_COL,StaufferField,D3,Team,20260322-StaufferField-1,0ff76a30-2609-11f1-b170-01fab5cc9621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bea1ee8c-941e-4160-85af-4671d2c6c237,2026-03-22,16:06:27,2026-03-22T16:06:27Z,2026-03-22T16:06:27Z,NA,v3,643-145680,643-144624,10282,"Angilly, Cooper",1000091554,Right,RHO_COL,e213c4b5-277e-4ff6-8512-82002182f529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-03-22,11:06:54,4,1,"Daniel, Ben",10117966,Right,RHO_COL,"Lopez, Aaron",1000190334,Right,CEN_COL,Undefined,1,Top,2,0,0,Fastball,NA,InPlay,Undefined,GroundBall,Single,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RHO_COL,CEN_COL,StaufferField,D3,Team,20260322-StaufferField-1,1c320f80-2609-11f1-b170-01fab5cc9621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bea1ee8c-941e-4160-85af-4671d2c6c237,2026-03-22,16:06:54,2026-03-22T16:06:54Z,2026-03-22T16:06:54Z,NA,v3,643-145680,643-144624,10282,"Angilly, Cooper",1000091554,Right,RHO_COL,d888923d-9b2b-4954-a7cf-4562445fbd0d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2026-03-22,11:11:50,1,1,"Zimmerman, Andrew",1000357314,Right,CEN_COL,"Larson, Brad",1000361203,Left,RHO_COL,Undefined,1,Bottom,0,0,0,Fastball,NA,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RHO_COL,CEN_COL,StaufferField,D3,Team,20260322-StaufferField-1,d2b674d0-2609-11f1-b170-01fab5cc9621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bea1ee8c-941e-4160-85af-4671d2c6c237,2026-03-22,16:11:50,2026-03-22T16:11:50Z,2026-03-22T16:11:50Z,NA,v3,643-145680,643-144624,10282,"Weyler, Evan",1000190342,Right,CEN_COL,4fc91b6f-53df-4fbc-be29-06d4bb860842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2026-03-22,11:21:59,1,1,"Daniel, Ben",10117966,Right,RHO_COL,"Day, Forrest",1000416696,Left,CEN_COL,Undefined,2,Top,0,0,0,Fastball,NA,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RHO_COL,CEN_COL,StaufferField,D3,Team,20260322-StaufferField-1,3ef9f3a0-260b-11f1-b170-01fab5cc9621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bea1ee8c-941e-4160-85af-4671d2c6c237,2026-03-22,16:21:59,2026-03-22T16:21:59Z,2026-03-22T16:21:59Z,NA,v3,643-145680,643-144624,10282,"Angilly, Cooper",1000091554,Right,RHO_COL,400d9f54-6cb0-4914-a850-a873f852f7cc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,2026-03-22,11:52:04,1,1,"Kosobud, John",1000271869,Right,CEN_COL,"Kruger, Myles",10006336,Right,RHO_COL,Undefined,3,Bottom,0,0,0,Fastball,NA,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RHO_COL,CEN_COL,StaufferField,D3,Team,20260322-StaufferField-1,6dfba7d0-260f-11f1-b170-01fab5cc9621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bea1ee8c-941e-4160-85af-4671d2c6c237,2026-03-22,16:52:04,2026-03-22T16:52:04Z,2026-03-22T16:52:04Z,NA,v3,643-145680,643-144624,10282,"Weyler, Evan",1000190342,Right,CEN_COL,a5fae7cc-f955-486a-8a58-277078be5a8a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,2026-03-22,11:53:40,2,2,"Kosobud, John",1000271869,Right,CEN_COL,"Reardon, Sam",10110441,Right,RHO_COL,Undefined,3,Bottom,1,1,0,Fastball,NA,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RHO_COL,CEN_COL,StaufferField,D3,Team,20260322-StaufferField-1,a93cb910-260f-11f1-b170-01fab5cc9621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bea1ee8c-941e-4160-85af-4671d2c6c237,2026-03-22,16:53:40,2026-03-22T16:53:40Z,2026-03-22T16:53:40Z,NA,v3,643-145680,643-144624,10282,"Weyler, Evan",1000190342,Right,CEN_COL,3b7ea4b3-de12-4671-8e29-cbda44d90b20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,2026-03-22,12:22:39,1,1,"Daniel, Ben",10117966,Right,RHO_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,5,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,68.53466,4.565323,2.984188,2356.249073,56.004577,07:45:00,6.23485,1.22415,5.91789,-74.16878,-12.70138,-22.46108,4.30596,2.12453,61.19639,-9.118852,-1.042577,0.564279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.37111,-7.20847,-1.45162,50,6.5617,-4.37682,-98.99467,5.76947,11.90858,20.21332,-39.113,RHO_COL,CEN_COL,StaufferField,D3,Team,20260322-StaufferField-1,ba93ab70-2613-11f1-b170-01fab5cc9621,66.79753,NA,NA,7.33827,NA,NA,NA,NA,NA,NA,bea1ee8c-941e-4160-85af-4671d2c6c237,2026-03-22,17:22:39,2026-03-22T17:22:39Z,2026-03-22T17:22:39Z,NA,v3,643-145680,643-144624,10282,"Angilly, Cooper",1000091554,Right,RHO_COL,b540db09-a86d-4f41-af7d-fb60fb677407,54.58696,-99.92687,10.10666,6.25403,7.57329,-19.5565,-1.2371,-4.92602,5.95429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,2026-03-22,12:22:52,1,2,"Daniel, Ben",10117966,Right,RHO_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,5,Top,0,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,70.02094,3.646786,0.986019,2370.465833,60.286521,08:00:00,6.14438,1.44015,5.51206,-71.33437,-11.75886,-24.70289,3.61539,0.30378,62.75168,-9.41661,-3.419402,0.555527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.63709,-6.40193,-1.5097,50,6.41622,-0.83417,-101.29297,4.23957,12.73063,21.22592,-38.62336,RHO_COL,CEN_COL,StaufferField,D3,Team,20260322-StaufferField-1,c2474200-2613-11f1-b170-01fab5cc9621,67.84985,NA,NA,7.26927,NA,NA,NA,NA,NA,NA,bea1ee8c-941e-4160-85af-4671d2c6c237,2026-03-22,17:22:52,2026-03-22T17:22:52Z,2026-03-22T17:22:52Z,NA,v3,643-145680,643-144624,10282,"Angilly, Cooper",1000091554,Right,RHO_COL,06781a22-4813-402c-bebb-b3fdcab48cf8,54.9927,-102.33384,10.61296,6.16188,6.13357,-19.31168,-1.45349,-1.45845,6.36531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,2026-03-22,12:23:05,1,3,"Daniel, Ben",10117966,Right,RHO_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,5,Top,0,1,1,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,69.80795,2.019529,0.897517,2386.192818,53.148604,07:45:00,6.1267,1.32983,5.98018,-70.41374,-12.207090000000001,-19.10324,2.13203,0.56997,63.46551,-10.918816,-2.54769,0.549108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.05095,-6.24071,-1.3906,50,6.24847,-0.94234,-101.31208,1.54585,10.21445,19.97906,-38.51626,RHO_COL,CEN_COL,StaufferField,D3,Team,20260322-StaufferField-1,ca0511c0-2613-11f1-b170-01fab5cc9621,68.64304,NA,NA,6.34244,NA,NA,NA,NA,NA,NA,bea1ee8c-941e-4160-85af-4671d2c6c237,2026-03-22,17:23:05,2026-03-22T17:23:05Z,2026-03-22T17:23:05Z,NA,v3,643-145680,643-144624,10282,"Angilly, Cooper",1000091554,Right,RHO_COL,a3ed6c5f-0474-47f5-910e-b0a1a46f8ddc,54.52616,-102.20076,9.98953,6.14161,3.25907,-19.25813,-1.33858,-1.39668,5.10722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
